Date,size14ema
2010/07/17,694.505
2010/07/18,703.943
2010/07/19,710.889
2010/07/20,747.398
2010/07/21,720.076
2010/07/22,689.653
2010/07/23,657.321
2010/07/24,762.418
2010/07/25,1080
2010/07/26,1058
2010/07/27,1008
2010/07/28,1319
2010/07/29,1459
2010/07/30,1337
2010/07/31,1210
2010/08/01,1096
2010/08/02,997.225
2010/08/03,963.449
2010/08/04,889.395
2010/08/05,883.73
2010/08/06,856.049
2010/08/07,816.572
2010/08/08,767.455
2010/08/09,862.883
2010/08/10,800.474
2010/08/11,749.192
2010/08/12,699.807
2010/08/13,707.345
2010/08/14,667.861
2010/08/15,621.873
2010/08/16,668.14
2010/08/17,658.325
2010/08/18,827.149
2010/08/19,789.216
2010/08/20,752.632
2010/08/21,713.404
2010/08/22,670.491
2010/08/23,635.373
2010/08/24,651.34
2010/08/25,609.089
2010/08/26,592.084
2010/08/27,565.672
2010/08/28,560.444
2010/08/29,530.077
2010/08/30,538.131
2010/08/31,585.829
2010/09/01,616.197
2010/09/02,604.301
2010/09/03,580.55
2010/09/04,546.932
2010/09/05,536.026
2010/09/06,521.207
2010/09/07,503.283
2010/09/08,500.153
2010/09/09,517.963
2010/09/10,512.928
2010/09/11,501.164
2010/09/12,516.932
2010/09/13,540.786
2010/09/14,537.657
2010/09/15,557.526
2010/09/16,545.932
2010/09/17,559.213
2010/09/18,534.199
2010/09/19,520.13
2010/09/20,532.298
2010/09/21,657.921
2010/09/22,725.236
2010/09/23,728.889
2010/09/24,702.663
2010/09/25,701.809
2010/09/26,675.521
2010/09/27,702.341
2010/09/28,760.83
2010/09/29,941.933
2010/09/30,905.936
2010/10/01,921.692
2010/10/02,1030
2010/10/03,1007
2010/10/04,983.794
2010/10/05,975.298
2010/10/06,929.214
2010/10/07,883.654
2010/10/08,870.288
2010/10/09,864.106
2010/10/10,822.171
2010/10/11,789.293
2010/10/12,766.42
2010/10/13,769.391
2010/10/14,731.847
2010/10/15,694.367
2010/10/16,666.849
2010/10/17,632.136
2010/10/18,635.009
2010/10/19,694.812
2010/10/20,707.192
2010/10/21,731.687
2010/10/22,791.662
2010/10/23,795.645
2010/10/24,783.849
2010/10/25,756.134
2010/10/26,729.293
2010/10/27,742.498
2010/10/28,729.788
2010/10/29,718.994
2010/10/30,675.766
2010/10/31,647.014
2010/11/01,627.448
2010/11/02,592.901
2010/11/03,572.574
2010/11/04,553.926
2010/11/05,563.354
2010/11/06,547.926
2010/11/07,534.495
2010/11/08,565.037
2010/11/09,551.768
2010/11/10,540.602
2010/11/11,525.769
2010/11/12,507.245
2010/11/13,488.24
2010/11/14,487.137
2010/11/15,1583
2010/11/16,2822
2010/11/17,2502
2010/11/18,2341
2010/11/19,3962
2010/11/20,5963
2010/11/21,7349
2010/11/22,6442
2010/11/23,5672
2010/11/24,5639
2010/11/25,6145
2010/11/26,5570
2010/11/27,4916
2010/11/28,4345
2010/11/29,3847
2010/11/30,3410
2010/12/01,3060
2010/12/02,2734
2010/12/03,2450
2010/12/04,2190
2010/12/05,1952
2010/12/06,1748
2010/12/07,1605
2010/12/08,1463
2010/12/09,1344
2010/12/10,1248
2010/12/11,1199
2010/12/12,1169
2010/12/13,1236
2010/12/14,1198
2010/12/15,1150
2010/12/16,1104
2010/12/17,1078
2010/12/18,1039
2010/12/19,1028
2010/12/20,1105
2010/12/21,1071
2010/12/22,1082
2010/12/23,1076
2010/12/24,1055
2010/12/25,1036
2010/12/26,1040
2010/12/27,1038
2010/12/28,1037
2010/12/29,1019
2010/12/30,1013
2010/12/31,993.732
2011/01/01,998.423
2011/01/02,990.992
2011/01/03,1179
2011/01/04,1248
2011/01/05,1399
2011/01/06,1407
2011/01/07,1432
2011/01/08,1534
2011/01/09,1605
2011/01/10,1685
2011/01/11,1757
2011/01/12,1768
2011/01/13,1791
2011/01/14,1814
2011/01/15,1817
2011/01/16,1789
2011/01/17,1718
2011/01/18,1724
2011/01/19,1710
2011/01/20,1660
2011/01/21,1720
2011/01/22,1900
2011/01/23,1931
2011/01/24,1971
2011/01/25,1918
2011/01/26,1877
2011/01/27,1865
2011/01/28,1885
2011/01/29,2024
2011/01/30,2601
2011/01/31,2648
2011/02/01,2628
2011/02/02,2519
2011/02/03,2376
2011/02/04,2252
2011/02/05,2149
2011/02/06,2086
2011/02/07,1973
2011/02/08,1908
2011/02/09,1902
2011/02/10,2128
2011/02/11,2346
2011/02/12,2430
2011/02/13,2461
2011/02/14,2625
2011/02/15,2659
2011/02/16,2639
2011/02/17,2666
2011/02/18,2741
2011/02/19,2776
2011/02/20,2779
2011/02/21,2782
2011/02/22,2829
2011/02/23,2822
2011/02/24,2861
2011/02/25,2843
2011/02/26,2751
2011/02/27,2766
2011/02/28,2887
2011/03/01,3394
2011/03/02,3441
2011/03/03,3645
2011/03/04,3566
2011/03/05,3485
2011/03/06,3324
2011/03/07,3272
2011/03/08,3420
2011/03/09,3481
2011/03/10,3664
2011/03/11,3807
2011/03/12,4105
2011/03/13,4453
2011/03/14,4862
2011/03/15,5302
2011/03/16,5514
2011/03/17,5660
2011/03/18,5723
2011/03/19,6027
2011/03/20,6576
2011/03/21,7121
2011/03/22,6964
2011/03/23,7252
2011/03/24,6965
2011/03/25,6602
2011/03/26,6797
2011/03/27,6768
2011/03/28,6706
2011/03/29,6555
2011/03/30,6220
2011/03/31,5905
2011/04/01,5575
2011/04/02,5294
2011/04/03,5049
2011/04/04,4983
2011/04/05,4831
2011/04/06,4777
2011/04/07,4676
2011/04/08,4594
2011/04/09,4507
2011/04/10,4411
2011/04/11,4446
2011/04/12,4592
2011/04/13,4614
2011/04/14,4829
2011/04/15,5121
2011/04/16,5250
2011/04/17,5154
2011/04/18,5445
2011/04/19,5807
2011/04/20,6235
2011/04/21,6015
2011/04/22,5792
2011/04/23,5741
2011/04/24,5739
2011/04/25,5763
2011/04/26,5853
2011/04/27,6482
2011/04/28,6612
2011/04/29,6620
2011/04/30,7006
2011/05/01,7313
2011/05/02,7100
2011/05/03,6959
2011/05/04,6816
2011/05/05,6784
2011/05/06,6689
2011/05/07,6638
2011/05/08,6459
2011/05/09,6410
2011/05/10,6609
2011/05/11,6667
2011/05/12,6891
2011/05/13,7216
2011/05/14,7268
2011/05/15,7323
2011/05/16,7405
2011/05/17,7396
2011/05/18,7491
2011/05/19,8023
2011/05/20,8205
2011/05/21,8301
2011/05/22,8272
2011/05/23,8249
2011/05/24,8161
2011/05/25,8202
2011/05/26,8382
2011/05/27,8762
2011/05/28,9285
2011/05/29,9463
2011/05/30,10104
2011/05/31,11034
2011/06/01,11495
2011/06/02,12101
2011/06/03,13151
2011/06/04,13621
2011/06/05,13898
2011/06/06,14474
2011/06/07,15347
2011/06/08,17380
2011/06/09,18191
2011/06/10,18574
2011/06/11,18421
2011/06/12,18983
2011/06/13,19338
2011/06/14,19763
2011/06/15,19708
2011/06/16,21093
2011/06/17,21795
2011/06/18,22117
2011/06/19,22107
2011/06/20,21616
2011/06/21,20836
2011/06/22,20283
2011/06/23,19816
2011/06/24,19819
2011/06/25,20903
2011/06/26,21952
2011/06/27,23337
2011/06/28,23951
2011/06/29,23961
2011/06/30,23576
2011/07/01,23953
2011/07/02,23671
2011/07/03,23266
2011/07/04,23332
2011/07/05,24064
2011/07/06,24867
2011/07/07,25428
2011/07/08,24955
2011/07/09,24660
2011/07/10,25183
2011/07/11,25445
2011/07/12,25339
2011/07/13,24593
2011/07/14,24815
2011/07/15,24212
2011/07/16,24120
2011/07/17,23766
2011/07/18,24187
2011/07/19,24858
2011/07/20,24989
2011/07/21,24886
2011/07/22,24934
2011/07/23,24593
2011/07/24,24192
2011/07/25,24459
2011/07/26,24058
2011/07/27,23626
2011/07/28,23671
2011/07/29,23002
2011/07/30,22208
2011/07/31,21865
2011/08/01,21949
2011/08/02,22360
2011/08/03,22324
2011/08/04,22950
2011/08/05,22851
2011/08/06,23268
2011/08/07,23145
2011/08/08,23675
2011/08/09,24265
2011/08/10,24092
2011/08/11,23886
2011/08/12,23666
2011/08/13,23717
2011/08/14,24013
2011/08/15,24766
2011/08/16,25138
2011/08/17,25188
2011/08/18,24750
2011/08/19,25045
2011/08/20,24430
2011/08/21,23868
2011/08/22,23455
2011/08/23,23071
2011/08/24,23133
2011/08/25,23171
2011/08/26,23134
2011/08/27,23365
2011/08/28,23070
2011/08/29,23296
2011/08/30,23083
2011/08/31,22540
2011/09/01,22698
2011/09/02,22111
2011/09/03,21435
2011/09/04,23921
2011/09/05,23365
2011/09/06,23329
2011/09/07,23184
2011/09/08,23005
2011/09/09,23321
2011/09/10,23112
2011/09/11,23147
2011/09/12,23147
2011/09/13,22584
2011/09/14,21963
2011/09/15,21456
2011/09/16,21536
2011/09/17,20936
2011/09/18,20231
2011/09/19,20760
2011/09/20,21730
2011/09/21,22241
2011/09/22,21664
2011/09/23,21447
2011/09/24,21355
2011/09/25,21038
2011/09/26,20626
2011/09/27,20518
2011/09/28,20017
2011/09/29,19745
2011/09/30,19742
2011/10/01,19257
2011/10/02,18987
2011/10/03,18851
2011/10/04,19346
2011/10/05,19015
2011/10/06,19177
2011/10/07,18996
2011/10/08,19011
2011/10/09,18893
2011/10/10,18989
2011/10/11,20316
2011/10/12,20470
2011/10/13,20656
2011/10/14,20416
2011/10/15,20004
2011/10/16,19736
2011/10/17,20131
2011/10/18,19802
2011/10/19,19355
2011/10/20,18936
2011/10/21,18562
2011/10/22,19016
2011/10/23,19274
2011/10/24,19263
2011/10/25,18946
2011/10/26,18942
2011/10/27,18970
2011/10/28,19281
2011/10/29,19594
2011/10/30,19438
2011/10/31,18955
2011/11/01,18473
2011/11/02,18035
2011/11/03,18205
2011/11/04,18292
2011/11/05,18126
2011/11/06,17472
2011/11/07,17538
2011/11/08,17591
2011/11/09,17496
2011/11/10,17795
2011/11/11,17936
2011/11/12,17580
2011/11/13,17195
2011/11/14,17345
2011/11/15,17207
2011/11/16,17489
2011/11/17,17305
2011/11/18,17204
2011/11/19,17132
2011/11/20,17089
2011/11/21,17008
2011/11/22,16977
2011/11/23,16962
2011/11/24,17373
2011/11/25,17298
2011/11/26,17291
2011/11/27,17385
2011/11/28,17740
2011/11/29,18269
2011/11/30,18543
