Date,confirmationtime14ema
2010/07/17,5.675
2010/07/18,6.035
2010/07/19,6.334
2010/07/20,6.55
2010/07/21,6.604
2010/07/22,6.815
2010/07/23,6.896
2010/07/24,6.992
2010/07/25,6.891
2010/07/26,6.762
2010/07/27,7.017
2010/07/28,7.289
2010/07/29,7.384
2010/07/30,7.454
2010/07/31,7.406
2010/08/01,7.222
2010/08/02,7.053
2010/08/03,6.958
2010/08/04,6.82
2010/08/05,6.792
2010/08/06,7.192
2010/08/07,7.472
2010/08/08,7.441
2010/08/09,7.459
2010/08/10,7.47
2010/08/11,7.298
2010/08/12,7.21
2010/08/13,7.141
2010/08/14,6.872
2010/08/15,6.884
2010/08/16,7.272
2010/08/17,7.791
2010/08/18,8.196
2010/08/19,8.525
2010/08/20,8.383
2010/08/21,8.375
2010/08/22,8.164
2010/08/23,7.977
2010/08/24,7.806
2010/08/25,7.655
2010/08/26,7.548
2010/08/27,7.665
2010/08/28,7.772
2010/08/29,7.921
2010/08/30,8.153
2010/08/31,8.11
2010/09/01,8.251
2010/09/02,8.382
2010/09/03,8.435
2010/09/04,8.371
2010/09/05,8.419
2010/09/06,8.511
2010/09/07,8.577
2010/09/08,8.597
2010/09/09,8.873
2010/09/10,8.774
2010/09/11,8.804
2010/09/12,8.715
2010/09/13,8.676
2010/09/14,8.465
2010/09/15,8.472
2010/09/16,8.22
2010/09/17,8.047
2010/09/18,7.784
2010/09/19,7.665
2010/09/20,7.589
2010/09/21,7.693
2010/09/22,7.771
2010/09/23,7.555
2010/09/24,7.39
2010/09/25,7.332
2010/09/26,7.291
2010/09/27,7.157
2010/09/28,7.109
2010/09/29,7.332
2010/09/30,7.669
2010/10/01,7.893
2010/10/02,8.761
2010/10/03,9.167
2010/10/04,9.199
2010/10/05,9.496
2010/10/06,9.353
2010/10/07,9.306
2010/10/08,9.312
2010/10/09,9.286
2010/10/10,9.126
2010/10/11,9.117
2010/10/12,9.14
2010/10/13,9.012
2010/10/14,8.747
2010/10/15,8.666
2010/10/16,8.254
2010/10/17,7.865
2010/10/18,7.587
2010/10/19,7.326
2010/10/20,7.076
2010/10/21,7.165
2010/10/22,7.456
2010/10/23,7.559
2010/10/24,7.488
2010/10/25,7.435
2010/10/26,7.241
2010/10/27,7.177
2010/10/28,7.097
2010/10/29,7.011
2010/10/30,6.838
2010/10/31,6.999
2010/11/01,7.151
2010/11/02,7.288
2010/11/03,7.327
2010/11/04,7.305
2010/11/05,7.208
2010/11/06,7.128
2010/11/07,6.974
2010/11/08,6.742
2010/11/09,6.728
2010/11/10,6.777
2010/11/11,6.75
2010/11/12,6.986
2010/11/13,6.916
2010/11/14,6.743
2010/11/15,6.804
2010/11/16,6.872
2010/11/17,6.733
2010/11/18,6.582
2010/11/19,6.985
2010/11/20,7.708
2010/11/21,8.052
2010/11/22,8.156
2010/11/23,8.44
2010/11/24,8.4
2010/11/25,8.34
2010/11/26,8.218
2010/11/27,8.189
2010/11/28,8.213
2010/11/29,8.037
2010/11/30,7.916
2010/12/01,7.882
2010/12/02,7.852
2010/12/03,7.821
2010/12/04,7.617
2010/12/05,7.404
2010/12/06,7.214
2010/12/07,7.055
2010/12/08,6.921
2010/12/09,6.86
2010/12/10,7.251
2010/12/11,7.381
2010/12/12,7.52
2010/12/13,7.879
2010/12/14,7.951
2010/12/15,7.871
2010/12/16,7.931
2010/12/17,8.03
2010/12/18,8.152
2010/12/19,8.109
2010/12/20,8.235
2010/12/21,8.122
2010/12/22,8.254
2010/12/23,8.478
2010/12/24,8.645
2010/12/25,8.635
2010/12/26,8.808
2010/12/27,8.79
2010/12/28,8.754
2010/12/29,8.75
2010/12/30,8.72
2010/12/31,8.742
2011/01/01,8.637
2011/01/02,8.583
2011/01/03,8.669
2011/01/04,8.875
2011/01/05,8.939
2011/01/06,9.108
2011/01/07,9.065
2011/01/08,8.985
2011/01/09,8.965
2011/01/10,8.955
2011/01/11,8.877
2011/01/12,8.843
2011/01/13,8.686
2011/01/14,8.588
2011/01/15,8.666
2011/01/16,8.614
2011/01/17,8.526
2011/01/18,8.751
2011/01/19,8.72
2011/01/20,8.59
2011/01/21,8.548
2011/01/22,8.572
2011/01/23,8.558
2011/01/24,8.439
2011/01/25,8.544
2011/01/26,8.472
2011/01/27,8.542
2011/01/28,8.618
2011/01/29,8.662
2011/01/30,8.738
2011/01/31,8.702
2011/02/01,8.713
2011/02/02,8.766
2011/02/03,8.797
2011/02/04,8.614
2011/02/05,8.538
2011/02/06,8.484
2011/02/07,8.299
2011/02/08,8.335
2011/02/09,8.224
2011/02/10,8.16
2011/02/11,8.104
2011/02/12,8.003
2011/02/13,7.906
2011/02/14,7.831
2011/02/15,7.64
2011/02/16,7.449
2011/02/17,7.287
2011/02/18,7.221
2011/02/19,7.451
2011/02/20,7.427
2011/02/21,7.427
2011/02/22,7.346
2011/02/23,7.157
2011/02/24,7.13
2011/02/25,7.033
2011/02/26,6.791
2011/02/27,6.672
2011/02/28,7.063
2011/03/01,7.598
2011/03/02,7.728
2011/03/03,7.73
2011/03/04,7.568
2011/03/05,7.252
2011/03/06,6.986
2011/03/07,6.964
2011/03/08,7.062
2011/03/09,7.321
2011/03/10,8.09
2011/03/11,8.488
2011/03/12,8.728
2011/03/13,9.205
2011/03/14,9.692
2011/03/15,10.114
2011/03/16,10.177
2011/03/17,10.182
2011/03/18,10.424
2011/03/19,10.704
2011/03/20,10.678
2011/03/21,10.552
2011/03/22,10.758
2011/03/23,10.547
2011/03/24,10.404
2011/03/25,10.126
2011/03/26,10.168
2011/03/27,10.155
2011/03/28,9.943
2011/03/29,9.796
2011/03/30,9.72
2011/03/31,9.379
2011/04/01,9.22
2011/04/02,9.057
2011/04/03,8.947
2011/04/04,8.832
2011/04/05,8.644
2011/04/06,8.789
2011/04/07,8.923
2011/04/08,8.89
2011/04/09,8.936
2011/04/10,8.854
2011/04/11,8.851
2011/04/12,8.849
2011/04/13,8.659
2011/04/14,8.704
2011/04/15,8.956
2011/04/16,8.871
2011/04/17,8.755
2011/04/18,8.885
2011/04/19,8.947
