Date,transactions7ema
2010/07/17,1046
2010/07/18,846.444
2010/07/19,723.333
2010/07/20,645.75
2010/07/21,548.312
2010/07/22,466.484
2010/07/23,404.113
2010/07/24,479.335
2010/07/25,757.501
2010/07/26,624.126
2010/07/27,533.094
2010/07/28,847.821
2010/07/29,1058
2010/07/30,828.962
2010/07/31,644.721
2010/08/01,514.791
2010/08/02,425.093
2010/08/03,424.07
2010/08/04,367.052
2010/08/05,349.539
2010/08/06,315.154
2010/08/07,265.866
2010/08/08,247.399
2010/08/09,244.05
2010/08/10,220.287
2010/08/11,209.965
2010/08/12,201.224
2010/08/13,226.168
2010/08/14,207.876
2010/08/15,182.907
2010/08/16,213.68
2010/08/17,207.51
2010/08/18,216.633
2010/08/19,209.974
2010/08/20,214.981
2010/08/21,203.486
2010/08/22,191.114
2010/08/23,182.336
2010/08/24,177.752
2010/08/25,170.564
2010/08/26,167.423
2010/08/27,156.317
2010/08/28,159.488
2010/08/29,144.116
2010/08/30,153.087
2010/08/31,179.065
2010/09/01,190.049
2010/09/02,183.787
2010/09/03,176.59
2010/09/04,155.693
2010/09/05,153.269
2010/09/06,144.952
2010/09/07,139.214
2010/09/08,147.911
2010/09/09,158.183
2010/09/10,164.387
2010/09/11,159.54
2010/09/12,170.155
2010/09/13,193.866
2010/09/14,200.65
2010/09/15,215.737
2010/09/16,216.553
2010/09/17,200.665
2010/09/18,190.999
2010/09/19,179.749
2010/09/20,200.312
2010/09/21,309.734
2010/09/22,357.05
2010/09/23,373.038
2010/09/24,348.028
2010/09/25,342.271
2010/09/26,305.453
2010/09/27,322.59
2010/09/28,311.693
2010/09/29,436.519
2010/09/30,382.14
2010/10/01,394.105
2010/10/02,395.829
2010/10/03,360.621
2010/10/04,333.966
2010/10/05,311.725
2010/10/06,292.793
2010/10/07,264.595
2010/10/08,250.696
2010/10/09,248.772
2010/10/10,232.829
2010/10/11,220.372
2010/10/12,214.529
2010/10/13,207.897
2010/10/14,196.423
2010/10/15,185.067
2010/10/16,184.55
2010/10/17,185.163
2010/10/18,221.372
2010/10/19,333.029
2010/10/20,362.022
2010/10/21,363.016
2010/10/22,384.262
2010/10/23,373.697
2010/10/24,367.023
2010/10/25,327.017
2010/10/26,314.513
2010/10/27,324.634
2010/10/28,310.226
2010/10/29,293.669
2010/10/30,263.752
2010/10/31,229.814
2010/11/01,215.861
2010/11/02,189.395
2010/11/03,181.297
2010/11/04,171.222
2010/11/05,184.167
2010/11/06,182.125
2010/11/07,189.094
2010/11/08,201.82
2010/11/09,199.365
2010/11/10,198.024
2010/11/11,192.518
2010/11/12,173.638
2010/11/13,160.229
2010/11/14,160.172
2010/11/15,1288
2010/11/16,3193
2010/11/17,2442
2010/11/18,2141
2010/11/19,3976
2010/11/20,5386
2010/11/21,6515
2010/11/22,4931
2010/11/23,3749
2010/11/24,3751
2010/11/25,4014
2010/11/26,3291
2010/11/27,2534
2010/11/28,1971
2010/11/29,1540
2010/11/30,1218
2010/12/01,994.263
2010/12/02,813.697
2010/12/03,659.023
2010/12/04,541.517
2010/12/05,454.888
2010/12/06,397.166
2010/12/07,381.374
2010/12/08,357.281
2010/12/09,333.711
2010/12/10,306.783
2010/12/11,323.837
2010/12/12,360.878
2010/12/13,396.908
2010/12/14,418.181
2010/12/15,425.136
2010/12/16,408.352
2010/12/17,380.264
2010/12/18,369.698
2010/12/19,369.024
2010/12/20,470.018
2010/12/21,461.013
2010/12/22,471.26
2010/12/23,446.945
2010/12/24,430.959
2010/12/25,439.719
2010/12/26,439.539
2010/12/27,419.654
2010/12/28,437.741
2010/12/29,415.306
2010/12/30,417.479
2010/12/31,411.359
2011/01/01,428.02
2011/01/02,419.515
2011/01/03,557.636
2011/01/04,627.727
2011/01/05,759.795
2011/01/06,708.096
2011/01/07,745.072
2011/01/08,875.304
2011/01/09,921.478
2011/01/10,978.609
2011/01/11,1031
2011/01/12,1022
2011/01/13,1036
2011/01/14,1047
2011/01/15,986.832
2011/01/16,929.374
2011/01/17,859.28
2011/01/18,813.71
2011/01/19,797.283
2011/01/20,782.462
2011/01/21,834.847
2011/01/22,940.385
2011/01/23,933.039
2011/01/24,982.529
2011/01/25,920.147
2011/01/26,896.36
2011/01/27,842.52
2011/01/28,862.64
2011/01/29,943.48
2011/01/30,1317
2011/01/31,1293
2011/02/01,1182
2011/02/02,1071
2011/02/03,960.588
2011/02/04,910.441
2011/02/05,846.08
2011/02/06,817.56
2011/02/07,785.42
2011/02/08,758.565
2011/02/09,827.674
2011/02/10,1083
2011/02/11,1354
2011/02/12,1445
2011/02/13,1490
2011/02/14,1570
2011/02/15,1677
2011/02/16,1722
2011/02/17,1796
2011/02/18,1808
2011/02/19,1712
2011/02/20,1719
2011/02/21,1733
2011/02/22,1796
2011/02/23,1852
2011/02/24,1865
2011/02/25,1857
2011/02/26,1812
2011/02/27,1865
2011/02/28,1791
2011/03/01,1993
2011/03/02,1955
2011/03/03,2221
2011/03/04,2106
2011/03/05,2022
2011/03/06,1956
2011/03/07,1896
2011/03/08,1985
2011/03/09,1907
2011/03/10,1818
2011/03/11,1802
2011/03/12,2056
2011/03/13,2190
2011/03/14,2275
2011/03/15,2392
2011/03/16,2556
2011/03/17,2723
2011/03/18,2605
2011/03/19,2722
2011/03/20,3027
2011/03/21,3697
2011/03/22,3302
2011/03/23,3580
2011/03/24,3188
2011/03/25,2847
2011/03/26,2935
2011/03/27,2781
2011/03/28,2777
2011/03/29,2721
2011/03/30,2441
2011/03/31,2304
2011/04/01,2079
2011/04/02,1957
2011/04/03,1875
2011/04/04,1939
2011/04/05,1936
2011/04/06,1881
2011/04/07,1793
2011/04/08,1745
2011/04/09,1703
2011/04/10,1670
2011/04/11,1698
2011/04/12,1752
2011/04/13,1858
2011/04/14,2074
2011/04/15,2026
2011/04/16,2015
2011/04/17,2030
2011/04/18,2244
2011/04/19,2544
2011/04/20,2614
2011/04/21,2403
2011/04/22,2282
2011/04/23,2246
2011/04/24,2212
2011/04/25,2259
2011/04/26,2510
2011/04/27,2981
2011/04/28,2954
2011/04/29,3049
2011/04/30,3358
2011/05/01,3461
2011/05/02,3320
2011/05/03,3175
2011/05/04,3032
2011/05/05,3085
2011/05/06,3082
2011/05/07,3230
2011/05/08,3092
2011/05/09,3138
2011/05/10,3096
2011/05/11,3047
2011/05/12,3083
2011/05/13,3276
2011/05/14,3500
2011/05/15,3513
2011/05/16,3660
2011/05/17,3797
2011/05/18,4171
2011/05/19,4251
2011/05/20,4332
2011/05/21,4435
2011/05/22,4584
2011/05/23,4803
2011/05/24,4993
2011/05/25,5233
2011/05/26,5592
2011/05/27,5366
2011/05/28,5239
2011/05/29,5072
2011/05/30,5100
2011/05/31,5303
2011/06/01,5565
2011/06/02,5911
2011/06/03,6493
2011/06/04,7016
2011/06/05,7358
2011/06/06,7886
2011/06/07,8123
2011/06/08,8999
2011/06/09,9738
2011/06/10,10065
2011/06/11,10210
2011/06/12,10709
2011/06/13,10787
2011/06/14,11568
2011/06/15,11757
2011/06/16,11960
2011/06/17,11747
2011/06/18,11652
2011/06/19,11551
2011/06/20,11411
2011/06/21,10921
2011/06/22,11006
2011/06/23,10799
2011/06/24,10776
2011/06/25,10469
2011/06/26,10311
2011/06/27,10629
2011/06/28,10611
2011/06/29,10416
2011/06/30,10173
2011/07/01,10237
2011/07/02,9640
2011/07/03,9280
2011/07/04,9318
2011/07/05,9195
2011/07/06,9487
2011/07/07,9378
2011/07/08,9124
2011/07/09,8768
2011/07/10,8640
2011/07/11,9072
2011/07/12,8805
2011/07/13,8854
2011/07/14,8784
2011/07/15,8547
2011/07/16,8590
2011/07/17,8495
2011/07/18,8572
2011/07/19,8690
2011/07/20,8696
2011/07/21,8525
2011/07/22,8604
2011/07/23,8270
2011/07/24,8216
2011/07/25,8492
2011/07/26,8417
2011/07/27,8268
2011/07/28,8192
2011/07/29,7932
2011/07/30,7463
2011/07/31,7578
2011/08/01,7691
2011/08/02,7934
2011/08/03,7846
2011/08/04,7929
2011/08/05,7752
2011/08/06,7492
2011/08/07,7265
2011/08/08,7231
2011/08/09,7692
2011/08/10,7815
2011/08/11,7726
2011/08/12,7553
2011/08/13,7482
2011/08/14,7446
2011/08/15,7647
2011/08/16,8108
2011/08/17,7978
2011/08/18,7801
2011/08/19,7722
2011/08/20,7551
2011/08/21,7540
2011/08/22,7566
2011/08/23,7455
2011/08/24,7400
2011/08/25,7326
2011/08/26,7313
2011/08/27,7045
2011/08/28,6652
2011/08/29,6978
2011/08/30,7148
2011/08/31,7145
2011/09/01,7127
2011/09/02,7063
2011/09/03,6742
2011/09/04,6838
2011/09/05,6849
2011/09/06,7057
2011/09/07,7031
2011/09/08,6865
2011/09/09,6954
2011/09/10,6681
2011/09/11,6590
2011/09/12,6553
2011/09/13,6509
2011/09/14,6395
2011/09/15,6376
2011/09/16,6304
2011/09/17,6058
2011/09/18,6001
2011/09/19,6132
2011/09/20,6600
2011/09/21,6835
2011/09/22,6624
2011/09/23,6517
2011/09/24,6287
2011/09/25,6112
2011/09/26,5960
2011/09/27,5962
2011/09/28,5939
2011/09/29,5820
2011/09/30,5801
2011/10/01,5658
2011/10/02,5472
2011/10/03,5698
2011/10/04,5698
2011/10/05,5680
2011/10/06,5706
2011/10/07,5663
2011/10/08,5568
2011/10/09,5509
2011/10/10,5571
2011/10/11,5638
2011/10/12,5686
2011/10/13,5486
2011/10/14,5607
2011/10/15,5567
2011/10/16,5391
2011/10/17,5459
2011/10/18,5280
2011/10/19,5209
2011/10/20,5040
2011/10/21,5051
2011/10/22,5043
2011/10/23,5157
2011/10/24,5319
2011/10/25,5264
2011/10/26,5237
2011/10/27,5072
2011/10/28,5057
2011/10/29,5164
2011/10/30,5090
2011/10/31,5080
2011/11/01,5217
2011/11/02,5372
2011/11/03,5561
2011/11/04,5769
2011/11/05,5772
2011/11/06,5552
2011/11/07,5505
2011/11/08,5590
2011/11/09,5764
2011/11/10,5923
2011/11/11,5686
2011/11/12,5510
2011/11/13,5440
2011/11/14,5521
2011/11/15,5626
2011/11/16,5698
2011/11/17,5479
2011/11/18,5368
2011/11/19,5176
2011/11/20,5128
2011/11/21,5009
2011/11/22,5094
2011/11/23,5187
2011/11/24,5116
2011/11/25,5175
2011/11/26,5039
2011/11/27,5016
2011/11/28,5213
2011/11/29,5479
2011/11/30,5783
2011/12/01,5880
2011/12/02,5953
2011/12/03,5834
2011/12/04,5688
2011/12/05,5786
2011/12/06,6291
2011/12/07,6218
2011/12/08,6077
2011/12/09,5918
2011/12/10,5822
2011/12/11,5644
2011/12/12,5417
2011/12/13,5381
2011/12/14,5420
2011/12/15,5250
2011/12/16,5199
2011/12/17,5110
2011/12/18,4954
2011/12/19,5137
2011/12/20,5393
2011/12/21,5402
2011/12/22,5479
2011/12/23,5494
2011/12/24,5249
2011/12/25,5215
2011/12/26,5277
2011/12/27,5224
2011/12/28,5129
2011/12/29,5116
2011/12/30,5064
2011/12/31,5044
2012/01/01,4995
2012/01/02,5061
2012/01/03,5199
2012/01/04,5295
2012/01/05,5683
2012/01/06,5881
2012/01/07,5841
2012/01/08,5941
2012/01/09,5943
2012/01/10,6091
2012/01/11,6315
2012/01/12,6371
2012/01/13,6455
2012/01/14,6506
2012/01/15,6422
2012/01/16,6517
2012/01/17,6536
2012/01/18,6532
2012/01/19,6587
2012/01/20,6599
2012/01/21,6500
2012/01/22,6172
2012/01/23,6112
2012/01/24,6366
2012/01/25,6728
2012/01/26,6661
2012/01/27,6545
2012/01/28,6350
2012/01/29,6327
2012/01/30,6241
2012/01/31,6374
2012/02/01,6371
2012/02/02,6529
2012/02/03,6620
2012/02/04,6735
2012/02/05,6709
2012/02/06,6529
2012/02/07,6616
2012/02/08,6682
