Date,hashrate7rsi
2010/07/17,98.954
2010/07/18,57.712
2010/07/19,57.639
2010/07/20,59.322
2010/07/21,61.005
2010/07/22,60.373
2010/07/23,60.654
2010/07/24,58.338
2010/07/25,65.613
2010/07/26,72.829
2010/07/27,76.522
2010/07/28,55.774
2010/07/29,59.655
2010/07/30,62.17
2010/07/31,64.27
2010/08/01,73.456
2010/08/02,78.415
2010/08/03,74.357
2010/08/04,66.017
2010/08/05,74.276
2010/08/06,75.277
2010/08/07,51.222
2010/08/08,63.271
2010/08/09,68.855
2010/08/10,64.335
2010/08/11,71.694
2010/08/12,73.506
2010/08/13,74.076
2010/08/14,78.27
2010/08/15,89.532
2010/08/16,50.166
2010/08/17,48.063
2010/08/18,45.295
2010/08/19,47.369
2010/08/20,57.157
2010/08/21,63.438
2010/08/22,66.85
2010/08/23,71.179
2010/08/24,71.348
2010/08/25,73.618
2010/08/26,68.066
2010/08/27,72.947
2010/08/28,64.024
2010/08/29,51.859
2010/08/30,45.152
2010/08/31,56.842
2010/09/01,57.636
2010/09/02,46.739
2010/09/03,48.848
2010/09/04,57.709
2010/09/05,57.268
2010/09/06,50.055
2010/09/07,42.406
2010/09/08,59.054
2010/09/09,57.204
2010/09/10,61.768
2010/09/11,67.407
2010/09/12,70.306
2010/09/13,71.823
2010/09/14,76.83
2010/09/15,71.632
2010/09/16,78.048
2010/09/17,85.769
2010/09/18,86.73
2010/09/19,93.411
2010/09/20,82.495
2010/09/21,65.757
2010/09/22,53.589
2010/09/23,65.506
2010/09/24,74.782
2010/09/25,66.617
2010/09/26,56.453
2010/09/27,63.104
2010/09/28,67.531
2010/09/29,76.241
2010/09/30,50.293
2010/10/01,54.706
2010/10/02,42.027
2010/10/03,37.285
2010/10/04,49.784
2010/10/05,48.683
2010/10/06,53.371
2010/10/07,61.394
2010/10/08,57.238
2010/10/09,54.556
2010/10/10,59.696
2010/10/11,60.666
2010/10/12,58.155
2010/10/13,62.514
2010/10/14,72.174
2010/10/15,74.333
2010/10/16,80.94
2010/10/17,89.747
2010/10/18,77.348
2010/10/19,64.978
2010/10/20,69.107
2010/10/21,82.443
2010/10/22,54.654
2010/10/23,56.901
2010/10/24,59.825
2010/10/25,67.783
2010/10/26,71.466
2010/10/27,72.344
2010/10/28,61.787
2010/10/29,66.957
2010/10/30,69.924
2010/10/31,81.999
2010/11/01,59.381
2010/11/02,59.577
2010/11/03,63.658
2010/11/04,65.619
2010/11/05,70.735
2010/11/06,70.357
2010/11/07,78.424
2010/11/08,81.241
2010/11/09,88.031
2010/11/10,74.394
2010/11/11,81.393
2010/11/12,60.252
2010/11/13,61.753
2010/11/14,73.785
2010/11/15,63.869
2010/11/16,51.835
2010/11/17,62.488
2010/11/18,72.028
2010/11/19,75.304
2010/11/20,44.269
2010/11/21,47.684
2010/11/22,53.606
2010/11/23,52.586
2010/11/24,57.556
2010/11/25,54.968
2010/11/26,66.773
2010/11/27,64.382
2010/11/28,52.795
2010/11/29,61.123
2010/11/30,69.289
2010/12/01,63.539
2010/12/02,67.799
2010/12/03,64.782
2010/12/04,71.923
2010/12/05,76.43
2010/12/06,78.427
2010/12/07,70.246
2010/12/08,73.21
2010/12/09,76.843
2010/12/10,78.354
2010/12/11,67.245
2010/12/12,74.306
2010/12/13,57.923
2010/12/14,53.021
2010/12/15,67.328
2010/12/16,69.954
2010/12/17,60.006
2010/12/18,49.253
2010/12/19,54.767
2010/12/20,60.013
2010/12/21,63.37
2010/12/22,74.85
2010/12/23,48.684
2010/12/24,50.931
2010/12/25,55.99
2010/12/26,51.352
2010/12/27,54.684
2010/12/28,65.28
2010/12/29,60.529
2010/12/30,55.226
2010/12/31,57.87
2011/01/01,62.707
2011/01/02,66.349
2011/01/03,71.928
2011/01/04,48.156
2011/01/05,49.703
2011/01/06,57.137
2011/01/07,47.838
2011/01/08,66.853
2011/01/09,52.161
2011/01/10,59.761
2011/01/11,54
2011/01/12,57.152
2011/01/13,62.129
2011/01/14,62.99
2011/01/15,67.037
2011/01/16,70.248
2011/01/17,72.38
2011/01/18,56.081
2011/01/19,54.953
2011/01/20,65.048
2011/01/21,74.322
2011/01/22,48.257
2011/01/23,56.839
2011/01/24,57.1
2011/01/25,49.535
2011/01/26,60.577
2011/01/27,65.114
2011/01/28,63.114
2011/01/29,56.446
2011/01/30,64.155
2011/01/31,52.941
2011/02/01,68.385
2011/02/02,54.537
2011/02/03,51.017
2011/02/04,63.158
2011/02/05,68.835
2011/02/06,58.643
2011/02/07,63.667
2011/02/08,73.381
2011/02/09,69.619
2011/02/10,73.132
2011/02/11,73.023
2011/02/12,76.162
2011/02/13,77.045
2011/02/14,77.586
2011/02/15,81.977
2011/02/16,86.47
2011/02/17,90.741
2011/02/18,94.302
2011/02/19,71.007
2011/02/20,71.495
2011/02/21,74.952
2011/02/22,79.635
2011/02/23,83.809
2011/02/24,84.061
2011/02/25,79.721
2011/02/26,86.395
2011/02/27,94.34
2011/02/28,62.187
2011/03/01,47.978
2011/03/02,52.623
2011/03/03,57.526
2011/03/04,66.13
2011/03/05,74.602
2011/03/06,79.329
2011/03/07,67.969
2011/03/08,50.19
2011/03/09,48.429
2011/03/10,46.357
2011/03/11,42.567
2011/03/12,46.086
2011/03/13,46.331
2011/03/14,37.454
2011/03/15,35.556
2011/03/16,52.027
2011/03/17,49.751
2011/03/18,55.532
2011/03/19,41.442
2011/03/20,48.089
2011/03/21,58.124
