Date,top100cap3std
2010/07/17,0.115
2010/07/18,0.112
2010/07/19,0.08
2010/07/20,0.147
2010/07/21,0.068
2010/07/22,0.033
2010/07/23,0.109
2010/07/24,0.082
2010/07/25,0.019
2010/07/26,0.748
2010/07/27,0.784
2010/07/28,0.048
2010/07/29,0.012
2010/07/30,0.012
2010/07/31,0.063
2010/08/01,0.059
2010/08/02,0.064
2010/08/03,0.057
2010/08/04,0.082
2010/08/05,0.082
2010/08/06,0.041
2010/08/07,0.047
2010/08/08,0.036
2010/08/09,0.158
2010/08/10,0.146
2010/08/11,0.152
2010/08/12,0.154
2010/08/13,0.109
2010/08/14,0.076
2010/08/15,0.085
2010/08/16,0.116
2010/08/17,0.221
2010/08/18,0.112
2010/08/19,0.045
2010/08/20,0.037
2010/08/21,0.039
2010/08/22,0.029
2010/08/23,0.016
2010/08/24,0.033
2010/08/25,0.066
2010/08/26,0.076
2010/08/27,0.053
2010/08/28,0.07
2010/08/29,0.14
2010/08/30,0.119
2010/08/31,0.073
2010/09/01,0.073
2010/09/02,0.039
2010/09/03,0.018
2010/09/04,0.014
2010/09/05,0.078
2010/09/06,0.059
2010/09/07,0.056
2010/09/08,0.088
2010/09/09,0.084
2010/09/10,0.038
2010/09/11,0.05
2010/09/12,0.053
2010/09/13,0.128
2010/09/14,0.196
2010/09/15,0.109
2010/09/16,0.083
2010/09/17,0.604
2010/09/18,0.573
2010/09/19,0.157
2010/09/20,0.16
2010/09/21,0.043
2010/09/22,0.087
2010/09/23,0.174
2010/09/24,0.228
2010/09/25,0.148
2010/09/26,0.165
2010/09/27,0.386
2010/09/28,1.276
2010/09/29,1.064
2010/09/30,0.076
2010/10/01,0.093
2010/10/02,0.499
2010/10/03,0.515
2010/10/04,0.265
2010/10/05,0.24
2010/10/06,0.062
2010/10/07,0.471
2010/10/08,0.608
2010/10/09,0.353
2010/10/10,0.369
2010/10/11,0.173
2010/10/12,0.101
2010/10/13,0.125
2010/10/14,0.254
2010/10/15,0.141
2010/10/16,0.146
2010/10/17,0.183
2010/10/18,0.181
2010/10/19,0.179
2010/10/20,0.169
2010/10/21,0.047
2010/10/22,0.023
2010/10/23,0.03
2010/10/24,0.018
2010/10/25,0.019
2010/10/26,0.148
2010/10/27,0.207
2010/10/28,0.081
