Date,size90var
2011/04/08,4461947
2011/04/09,4431916
2011/04/10,4405813
2011/04/11,4388793
2011/04/12,4379829
2011/04/13,4349381
2011/04/14,4370681
2011/04/15,4428675
2011/04/16,4415458
2011/04/17,4333215
2011/04/18,4392733
2011/04/19,4501402
2011/04/20,4665818
2011/04/21,4614613
2011/04/22,4597958
2011/04/23,4558189
2011/04/24,4528570
2011/04/25,4465394
2011/04/26,4419148
2011/04/27,4741795
2011/04/28,4757394
2011/04/29,4769278
2011/04/30,4997023
2011/05/01,5192465
2011/05/02,5142868
2011/05/03,5056616
2011/05/04,4935434
2011/05/05,4828804
2011/05/06,4704147
2011/05/07,4595272
2011/05/08,4430291
2011/05/09,4291033
2011/05/10,4247737
2011/05/11,4252520
2011/05/12,4329008
2011/05/13,4440641
2011/05/14,4408533
2011/05/15,4426822
2011/05/16,4413876
2011/05/17,4343156
2011/05/18,4323990
2011/05/19,4625611
2011/05/20,4682574
2011/05/21,4682152
2011/05/22,4625224
2011/05/23,4584559
2011/05/24,4493248
2011/05/25,4457678
2011/05/26,4453970
2011/05/27,4543128
2011/05/28,4852594
2011/05/29,4960236
2011/05/30,5625444
2011/05/31,6740679
2011/06/01,7367445
2011/06/02,8131347
2011/06/03,9796218
2011/06/04,10511875
2011/06/05,11057982
2011/06/06,12215953
2011/06/07,14022092
2011/06/08,19612049
2011/06/09,22069479
2011/06/10,23794649
2011/06/11,24639523
2011/06/12,26791742
2011/06/13,28611115
2011/06/14,30599812
2011/06/15,31684300
2011/06/16,36351340
2011/06/17,39449738
2011/06/18,41765947
2011/06/19,43395644
2011/06/20,43989735
2011/06/21,44329103
2011/06/22,44495419
2011/06/23,44531053
2011/06/24,45430631
2011/06/25,48546759
2011/06/26,51836546
2011/06/27,56441041
2011/06/28,58825644
2011/06/29,59810675
2011/06/30,59927791
2011/07/01,61332121
2011/07/02,61428754
2011/07/03,61425998
2011/07/04,61869386
2011/07/05,63806916
2011/07/06,65966256
2011/07/07,67610928
2011/07/08,67235896
2011/07/09,66902727
2011/07/10,68144374
2011/07/11,69007631
2011/07/12,68975025
2011/07/13,68381523
2011/07/14,69021141
2011/07/15,68345087
2011/07/16,67716105
2011/07/17,67309417
2011/07/18,68001317
2011/07/19,69357373
2011/07/20,68830054
2011/07/21,67824545
2011/07/22,67186868
2011/07/23,66101894
2011/07/24,64916317
2011/07/25,64459029
2011/07/26,64093230
2011/07/27,63047351
2011/07/28,62080364
2011/07/29,61289760
2011/07/30,60448675
2011/07/31,58743033
2011/08/01,57245118
2011/08/02,55927899
2011/08/03,54404523
2011/08/04,53282357
2011/08/05,51552144
2011/08/06,49840028
2011/08/07,47907020
2011/08/08,46946304
2011/08/09,45815535
2011/08/10,44343970
2011/08/11,43051642
2011/08/12,41239248
2011/08/13,39491202
2011/08/14,37923636
2011/08/15,36641094
2011/08/16,35136372
2011/08/17,34200839
2011/08/18,32530294
2011/08/19,30978159
2011/08/20,28857518
2011/08/21,26712452
2011/08/22,24344946
2011/08/23,22226205
2011/08/24,20360531
2011/08/25,18906743
2011/08/26,17765816
2011/08/27,16116422
2011/08/28,15296376
2011/08/29,14914970
2011/08/30,14092596
2011/08/31,13711870
2011/09/01,13588750
2011/09/02,13377390
2011/09/03,13167631
2011/09/04,15911380
2011/09/05,16002735
2011/09/06,15457613
2011/09/07,15475831
2011/09/08,15439930
2011/09/09,15058047
2011/09/10,15085808
2011/09/11,15043320
2011/09/12,15032573
2011/09/13,15074322
2011/09/14,14950858
2011/09/15,15166465
2011/09/16,15178558
2011/09/17,15602090
2011/09/18,15988170
2011/09/19,15360347
2011/09/20,15088050
2011/09/21,14622747
2011/09/22,14824376
2011/09/23,14744505
2011/09/24,14511035
2011/09/25,13819247
2011/09/26,13876468
2011/09/27,13988930
2011/09/28,14387921
2011/09/29,14539746
2011/09/30,14641834
2011/10/01,15098254
2011/10/02,15439094
2011/10/03,15285048
2011/10/04,14670017
2011/10/05,14553042
2011/10/06,14604552
2011/10/07,14839530
2011/10/08,14523717
2011/10/09,14444577
2011/10/10,14448088
2011/10/11,14888410
2011/10/12,14712644
2011/10/13,14673763
2011/10/14,14776162
2011/10/15,15027957
2011/10/16,14948078
2011/10/17,14370487
2011/10/18,14395753
2011/10/19,14648214
2011/10/20,14844588
2011/10/21,15173021
2011/10/22,15174616
2011/10/23,14940671
2011/10/24,15000878
2011/10/25,15230838
2011/10/26,15230861
2011/10/27,15203406
2011/10/28,14989073
2011/10/29,14952014
2011/10/30,15042272
2011/10/31,15239598
2011/11/01,15626511
2011/11/02,15650480
2011/11/03,15673290
2011/11/04,15457626
2011/11/05,15609792
2011/11/06,15828886
2011/11/07,15314911
2011/11/08,15338603
2011/11/09,15450727
2011/11/10,15427040
2011/11/11,15319215
2011/11/12,15278211
2011/11/13,14648620
2011/11/14,14076338
2011/11/15,13900070
2011/11/16,13864012
2011/11/17,13471453
2011/11/18,13586886
2011/11/19,13692764
2011/11/20,13776668
2011/11/21,13883251
2011/11/22,13805634
2011/11/23,13721038
2011/11/24,13597576
2011/11/25,13349333
2011/11/26,13365526
2011/11/27,13056590
2011/11/28,12997979
2011/11/29,13062367
2011/11/30,12854777
2011/12/01,12947676
2011/12/02,12900568
2011/12/03,8109248
2011/12/04,8155148
2011/12/05,8030995
2011/12/06,7913079
2011/12/07,7816307
2011/12/08,7377267
2011/12/09,7354859
2011/12/10,7159924
2011/12/11,6938776
2011/12/12,6938559
2011/12/13,6934496
2011/12/14,7028011
2011/12/15,6905281
2011/12/16,6901899
2011/12/17,6993033
2011/12/18,6901000
2011/12/19,5857165
2011/12/20,5753588
2011/12/21,5795693
2011/12/22,5767699
2011/12/23,5720398
2011/12/24,5969139
2011/12/25,6272361
2011/12/26,6441121
2011/12/27,6465105
2011/12/28,6611617
2011/12/29,6588378
2011/12/30,6652875
2011/12/31,6679973
2012/01/01,6687451
2012/01/02,6451895
2012/01/03,6443767
2012/01/04,6401817
2012/01/05,6911972
2012/01/06,7055431
2012/01/07,7072344
2012/01/08,7106184
2012/01/09,5802663
2012/01/10,7192762
2012/01/11,8027895
2012/01/12,8071407
2012/01/13,8219411
2012/01/14,8258829
2012/01/15,8100811
2012/01/16,8128464
2012/01/17,8124416
2012/01/18,8573942
2012/01/19,8626672
2012/01/20,8543600
2012/01/21,8458271
2012/01/22,8474640
2012/01/23,8555932
2012/01/24,8933200
2012/01/25,9431064
2012/01/26,9485087
