Date,sentbyaddress3wma
2010/07/17,763.5
2010/07/18,525.5
2010/07/19,482.833
2010/07/20,571
2010/07/21,522.833
2010/07/22,458
2010/07/23,413.167
2010/07/24,526.167
2010/07/25,1179
2010/07/26,909.167
2010/07/27,644.333
2010/07/28,379.167
2010/07/29,367.667
2010/07/30,326
2010/07/31,290.333
2010/08/01,302
2010/08/02,321.667
2010/08/03,464.833
2010/08/04,487
2010/08/05,526.333
2010/08/06,443.333
2010/08/07,336.167
2010/08/08,336.667
2010/08/09,390.833
2010/08/10,361.333
2010/08/11,354.333
2010/08/12,347
2010/08/13,442.5
2010/08/14,412.667
2010/08/15,319.5
2010/08/16,359
2010/08/17,347.333
2010/08/18,375
2010/08/19,332.833
2010/08/20,357.333
2010/08/21,344.5
2010/08/22,336.833
2010/08/23,339.333
2010/08/24,339.333
2010/08/25,339.667
2010/08/26,325.667
2010/08/27,287.5
2010/08/28,292.167
2010/08/29,266.333
2010/08/30,290.167
2010/08/31,339
2010/09/01,364.167
2010/09/02,315.667
2010/09/03,304.667
2010/09/04,269.167
2010/09/05,281.167
2010/09/06,269
2010/09/07,258.5
2010/09/08,278
2010/09/09,299.333
2010/09/10,311.333
2010/09/11,296.167
2010/09/12,331.833
2010/09/13,399.5
2010/09/14,408.5
2010/09/15,420.5
2010/09/16,389.5
2010/09/17,352.167
2010/09/18,335.833
2010/09/19,321.333
2010/09/20,389
2010/09/21,654
2010/09/22,767
2010/09/23,742
2010/09/24,616.333
2010/09/25,568.667
2010/09/26,469.5
2010/09/27,547.333
2010/09/28,495.333
2010/09/29,707.167
2010/09/30,565.5
2010/10/01,585.167
2010/10/02,548.167
2010/10/03,516.667
2010/10/04,473.167
2010/10/05,454.833
2010/10/06,444.833
2010/10/07,394.167
2010/10/08,384.167
2010/10/09,408.5
2010/10/10,410
2010/10/11,391.333
2010/10/12,388
2010/10/13,398
2010/10/14,396
2010/10/15,383.333
2010/10/16,416.167
2010/10/17,453.167
2010/10/18,557.5
2010/10/19,851
2010/10/20,899.333
2010/10/21,785.667
2010/10/22,708.333
2010/10/23,652.167
2010/10/24,637.333
2010/10/25,542.667
2010/10/26,568.333
2010/10/27,631.167
2010/10/28,631.5
2010/10/29,560.5
2010/10/30,472
2010/10/31,371.333
2010/11/01,346.5
2010/11/02,306
2010/11/03,328
2010/11/04,332
2010/11/05,393
2010/11/06,408.5
2010/11/07,429.333
2010/11/08,457.667
2010/11/09,431.833
2010/11/10,417.167
2010/11/11,391.667
2010/11/12,330.167
2010/11/13,320.5
2010/11/14,356.5
2010/11/15,2250
2010/11/16,2943
2010/11/17,1915
2010/11/18,858
2010/11/19,391.333
2010/11/20,492.667
2010/11/21,526.833
2010/11/22,462.667
2010/11/23,395.833
2010/11/24,456.667
2010/11/25,548.333
2010/11/26,729.333
2010/11/27,628.833
2010/11/28,543
2010/11/29,473.5
2010/11/30,485.333
2010/12/01,538.667
2010/12/02,517.833
2010/12/03,462.167
2010/12/04,445.667
2010/12/05,448.333
2010/12/06,474.333
2010/12/07,562
2010/12/08,584.333
2010/12/09,561
2010/12/10,485.5
2010/12/11,584.667
2010/12/12,681.167
2010/12/13,750
2010/12/14,776.833
2010/12/15,778.333
2010/12/16,692.667
2010/12/17,587.667
2010/12/18,566.833
2010/12/19,592
2010/12/20,818.333
2010/12/21,826.667
2010/12/22,824.667
2010/12/23,747.333
2010/12/24,682.167
2010/12/25,742.167
2010/12/26,767.833
2010/12/27,710.167
2010/12/28,732.667
2010/12/29,679.167
2010/12/30,698.167
2010/12/31,677.167
2011/01/01,753.833
2011/01/02,728.167
2011/01/03,843.5
2011/01/04,855.333
2011/01/05,958.5
2011/01/06,873.333
2011/01/07,898.333
2011/01/08,1040
2011/01/09,1090
2011/01/10,1119
2011/01/11,1141
2011/01/12,1066
2011/01/13,1062
2011/01/14,1044
2011/01/15,1081
2011/01/16,1108
2011/01/17,1074
2011/01/18,1057
2011/01/19,1101
2011/01/20,1130
2011/01/21,1277
2011/01/22,1457
2011/01/23,1426
2011/01/24,1498
2011/01/25,1286
2011/01/26,1208
2011/01/27,1099
2011/01/28,1217
2011/01/29,1430
2011/01/30,2163
2011/01/31,2039
2011/02/01,1657
2011/02/02,1239
2011/02/03,1046
2011/02/04,1058
2011/02/05,1037
2011/02/06,1052
2011/02/07,1044
2011/02/08,1044
2011/02/09,1314
2011/02/10,2015
2011/02/11,2622
2011/02/12,2653
2011/02/13,2468
2011/02/14,2438
2011/02/15,2564
2011/02/16,2517
2011/02/17,2626
2011/02/18,2639
2011/02/19,2354
2011/02/20,2337
2011/02/21,2413
2011/02/22,2649
2011/02/23,2807
2011/02/24,2809
2011/02/25,2699
2011/02/26,2540
2011/02/27,2625
2011/02/28,2424
2011/03/01,3003
2011/03/02,2860
