Date,confirmationtime3rsi
2011/05/02,36.107
2011/05/03,37.777
2011/05/04,36.352
2011/05/05,17.196
2011/05/06,19.8
2011/05/07,32.78
2011/05/08,25.175
2011/05/09,11.207
2011/05/10,76.564
2011/05/11,63.944
2011/05/12,79.233
2011/05/13,39.346
2011/05/14,26.483
2011/05/15,43.011
2011/05/16,30.602
2011/05/17,26.91
2011/05/18,18.168
2011/05/19,78.259
2011/05/20,48.793
2011/05/21,48.793
2011/05/22,35.475
2011/05/23,26.581
2011/05/24,23.707
2011/05/25,21.691
2011/05/26,33.478
2011/05/27,88.663
2011/05/28,90.715
2011/05/29,59.49
2011/05/30,73.703
2011/05/31,76.031
2011/06/01,37.386
2011/06/02,36.238
2011/06/03,28.825
2011/06/04,19.513
2011/06/05,40.036
2011/06/06,25.427
2011/06/07,72.253
2011/06/08,56.34
2011/06/09,34.692
2011/06/10,34.249
2011/06/11,23.003
2011/06/12,41.172
2011/06/13,47.666
2011/06/14,31.346
2011/06/15,18.786
2011/06/16,77.133
2011/06/17,70.251
2011/06/18,57.385
2011/06/19,37.225
2011/06/20,31.342
2011/06/21,23.03
2011/06/22,20.347
2011/06/23,47.818
2011/06/24,70.135
2011/06/25,93.014
2011/06/26,81.812
2011/06/27,54.198
2011/06/28,62.215
2011/06/29,46.292
2011/06/30,30.674
2011/07/01,53.053
2011/07/02,58.143
2011/07/03,64.24
2011/07/04,50.522
2011/07/05,85.263
2011/07/06,51.296
2011/07/07,74.579
2011/07/08,39.413
2011/07/09,53.129
2011/07/10,64.131
2011/07/11,41.191
2011/07/12,58.5
2011/07/13,27.413
2011/07/14,58.131
2011/07/15,45.181
2011/07/16,49.482
2011/07/17,38.311
2011/07/18,38.311
2011/07/19,72.082
2011/07/20,58.403
2011/07/21,52.427
2011/07/22,54.713
2011/07/23,67.069
2011/07/24,26.945
2011/07/25,29.735
2011/07/26,18.651
2011/07/27,25.804
2011/07/28,69.374
2011/07/29,48.087
2011/07/30,68.069
2011/07/31,33.415
2011/08/01,49.011
2011/08/02,64.57
2011/08/03,57.081
2011/08/04,85.394
2011/08/05,59.469
2011/08/06,77.331
2011/08/07,66.48
2011/08/08,45.162
2011/08/09,31.914
2011/08/10,25.816
2011/08/11,57.937
2011/08/12,67.679
2011/08/13,69.538
2011/08/14,59.372
2011/08/15,69.487
2011/08/16,23.07
2011/08/17,51.335
2011/08/18,36.429
2011/08/19,63.355
2011/08/20,32.123
2011/08/21,26.102
2011/08/22,20.322
2011/08/23,48.038
2011/08/24,73.851
2011/08/25,70.96
2011/08/26,43.208
2011/08/27,75.858
2011/08/28,80.874
2011/08/29,40.23
2011/08/30,33.035
2011/08/31,26.039
2011/09/01,63.721
2011/09/02,35.627
2011/09/03,48.074
2011/09/04,61.181
2011/09/05,35.907
2011/09/06,43.027
2011/09/07,63.791
2011/09/08,72.117
2011/09/09,34.541
2011/09/10,60.007
2011/09/11,68.606
2011/09/12,51.876
2011/09/13,38.081
2011/09/14,32.786
2011/09/15,22.234
2011/09/16,75.634
2011/09/17,50.893
2011/09/18,31.983
2011/09/19,61.345
2011/09/20,46.955
2011/09/21,41.143
2011/09/22,38.868
2011/09/23,63.677
2011/09/24,69.379
2011/09/25,47.61
2011/09/26,55.219
2011/09/27,58.335
2011/09/28,25.012
2011/09/29,69.174
2011/09/30,73.082
2011/10/01,33.782
2011/10/02,64.245
2011/10/03,36.871
2011/10/04,67.617
2011/10/05,39.073
2011/10/06,52.601
2011/10/07,43.621
2011/10/08,62.99
2011/10/09,50.972
2011/10/10,56.934
2011/10/11,84.985
2011/10/12,44.698
2011/10/13,65.015
2011/10/14,34.791
2011/10/15,38.487
2011/10/16,52.608
2011/10/17,53.812
2011/10/18,50.031
2011/10/19,31.116
2011/10/20,62.138
2011/10/21,49.81
2011/10/22,78.539
2011/10/23,55.378
2011/10/24,33.592
2011/10/25,31.931
2011/10/26,54.098
2011/10/27,75.748
2011/10/28,61.491
2011/10/29,43.929
2011/10/30,49.087
2011/10/31,22.412
2011/11/01,14.247
2011/11/02,12.977
2011/11/03,59.772
2011/11/04,36.423
2011/11/05,37.841
2011/11/06,41.813
2011/11/07,64.439
2011/11/08,35.828
2011/11/09,25.86
2011/11/10,57.268
2011/11/11,78.037
2011/11/12,43.738
2011/11/13,42.767
2011/11/14,44.611
2011/11/15,23.138
2011/11/16,62.376
2011/11/17,55.633
2011/11/18,64.418
2011/11/19,77.182
2011/11/20,38.574
2011/11/21,68.94
2011/11/22,41.367
2011/11/23,48.751
2011/11/24,71.828
2011/11/25,42.193
2011/11/26,58.631
2011/11/27,65.584
2011/11/28,43.257
2011/11/29,31.878
2011/11/30,19.033
2011/12/01,13.773
2011/12/02,52.829
2011/12/03,46.521
2011/12/04,64.647
2011/12/05,38.653
2011/12/06,30.116
2011/12/07,64.396
2011/12/08,40.136
2011/12/09,55.553
2011/12/10,58.755
2011/12/11,45.949
2011/12/12,74.958
2011/12/13,63.234
2011/12/14,34.784
2011/12/15,74.454
2011/12/16,63.466
2011/12/17,33.731
2011/12/18,40.189
2011/12/19,29.885
2011/12/20,58.482
2011/12/21,42.022
2011/12/22,43.463
2011/12/23,54.209
2011/12/24,47.323
2011/12/25,18.906
2011/12/26,17.565
2011/12/27,65.095
2011/12/28,49.743
2011/12/29,69.203
2011/12/30,60.22
2011/12/31,43.002
2012/01/01,39.507
2012/01/02,46.08
2012/01/03,28.317
2012/01/04,58.624
2012/01/05,63.616
2012/01/06,21.996
2012/01/07,15.439
2012/01/08,51.892
2012/01/09,50.159
2012/01/10,78.626
2012/01/11,53.157
2012/01/12,49.51
2012/01/13,72.613
2012/01/14,49.302
2012/01/15,66.94
2012/01/16,27.168
2012/01/17,47.773
2012/01/18,73.005
2012/01/19,46.34
2012/01/20,51.654
2012/01/21,34.066
2012/01/22,63.421
2012/01/23,35.584
2012/01/24,59.419
2012/01/25,50.139
2012/01/26,60.496
2012/01/27,55.091
2012/01/28,47.083
2012/01/29,23.396
2012/01/30,20.44
2012/01/31,58.739
2012/02/01,69.669
