Date,sentbyaddress7trx
2010/07/17,16.294
2010/07/18,9.252
2010/07/19,4.567
2010/07/20,1.447
2010/07/21,-0.957
2010/07/22,-2.81
2010/07/23,-4.212
2010/07/24,-4.875
2010/07/25,-3.233
2010/07/26,-2.883
2010/07/27,-3.156
2010/07/28,-3.792
2010/07/29,-4.452
2010/07/30,-5.16
2010/07/31,-5.846
2010/08/01,-6.275
2010/08/02,-6.477
2010/08/03,-5.853
2010/08/04,-5.122
2010/08/05,-4.145
2010/08/06,-3.608
2010/08/07,-3.683
2010/08/08,-3.575
2010/08/09,-3.174
2010/08/10,-3.114
2010/08/11,-2.974
2010/08/12,-2.81
2010/08/13,-1.988
2010/08/14,-1.581
2010/08/15,-1.884
2010/08/16,-1.595
2010/08/17,-1.554
2010/08/18,-1.347
2010/08/19,-1.418
2010/08/20,-1.245
2010/08/21,-1.187
2010/08/22,-1.205
2010/08/23,-1.12
2010/08/24,-1.053
2010/08/25,-0.981
2010/08/26,-1.006
2010/08/27,-1.322
2010/08/28,-1.448
2010/08/29,-1.767
2010/08/30,-1.765
2010/08/31,-1.264
2010/09/01,-0.695
2010/09/02,-0.677
2010/09/03,-0.623
2010/09/04,-0.904
2010/09/05,-1.014
2010/09/06,-1.197
2010/09/07,-1.444
2010/09/08,-1.358
2010/09/09,-1.082
2010/09/10,-0.751
2010/09/11,-0.601
2010/09/12,-0.057
2010/09/13,1.011
2010/09/14,1.736
2010/09/15,2.371
2010/09/16,2.47
2010/09/17,2.082
2010/09/18,1.629
2010/09/19,1.074
2010/09/20,1.232
2010/09/21,3.643
2010/09/22,5.839
2010/09/23,6.781
2010/09/24,6.363
2010/09/25,5.555
2010/09/26,4.052
2010/09/27,3.4
2010/09/28,2.396
2010/09/29,2.921
2010/09/30,2.235
2010/10/01,1.871
2010/10/02,1.507
2010/10/03,0.873
2010/10/04,0.222
2010/10/05,-0.344
2010/10/06,-0.842
2010/10/07,-1.483
2010/10/08,-1.949
2010/10/09,-2.109
2010/10/10,-2.217
2010/10/11,-2.335
2010/10/12,-2.337
2010/10/13,-2.215
2010/10/14,-2.092
2010/10/15,-2.012
2010/10/16,-1.645
2010/10/17,-1.091
2010/10/18,0.077
2010/10/19,3.01
2010/10/20,5.049
2010/10/21,5.474
2010/10/22,5.325
2010/10/23,4.61
2010/10/24,3.769
2010/10/25,2.518
2010/10/26,1.722
2010/10/27,1.401
2010/10/28,1.03
2010/10/29,0.427
2010/10/30,-0.379
2010/10/31,-1.449
2010/11/01,-2.333
2010/11/02,-3.21
2010/11/03,-3.737
2010/11/04,-4.055
