Date,size30wma
2010/07/17,572.868
2010/07/18,592.091
2010/07/19,609.615
2010/07/20,641.126
2010/07/21,642.454
2010/07/22,640.026
2010/07/23,634.315
2010/07/24,692.637
2010/07/25,858.076
2010/07/26,873.624
2010/07/27,872.213
2010/07/28,1042
2010/07/29,1142
2010/07/30,1119
2010/07/31,1089
2010/08/01,1055
2010/08/02,1023
2010/08/03,1015
2010/08/04,984.641
2010/08/05,982.465
2010/08/06,967.915
2010/08/07,945.149
2010/08/08,914.537
2010/08/09,950.226
2010/08/10,913.069
2010/08/11,877.329
2010/08/12,840.093
2010/08/13,827.345
2010/08/14,796.652
2010/08/15,761.081
2010/08/16,767.631
2010/08/17,749.343
2010/08/18,817.226
2010/08/19,793.445
2010/08/20,768.82
2010/08/21,740.616
2010/08/22,708.169
2010/08/23,676.845
2010/08/24,670.207
2010/08/25,641.568
2010/08/26,623.674
2010/08/27,600.557
2010/08/28,592.33
2010/08/29,575.566
2010/08/30,575.877
2010/08/31,595.457
2010/09/01,608.558
2010/09/02,602.184
2010/09/03,589.774
2010/09/04,571.017
2010/09/05,562.197
2010/09/06,551.233
2010/09/07,538.101
2010/09/08,531.103
2010/09/09,536.193
2010/09/10,530.865
2010/09/11,521.818
2010/09/12,525.234
2010/09/13,533.875
2010/09/14,530.387
2010/09/15,537.406
2010/09/16,531.091
2010/09/17,536.33
2010/09/18,526.647
2010/09/19,521.013
2010/09/20,527.353
2010/09/21,589.046
2010/09/22,628.302
2010/09/23,639.471
2010/09/24,636.424
2010/09/25,643.536
2010/09/26,637.825
2010/09/27,655.877
2010/09/28,690.23
2010/09/29,785.947
2010/09/30,785.013
2010/10/01,807.28
2010/10/02,875.013
2010/10/03,883.476
2010/10/04,889.343
2010/10/05,899.835
2010/10/06,890.614
2010/10/07,878.233
2010/10/08,878.058
2010/10/09,879.845
2010/10/10,863.523
2010/10/11,848.729
2010/10/12,836.331
2010/10/13,834.966
2010/10/14,813.989
2010/10/15,790.684
2010/10/16,770.288
