Date,transactionvalue3stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,3.972
2010/07/20,3.07
2010/07/21,3.252
2010/07/22,2.151
2010/07/23,2.971
2010/07/24,3.427
2010/07/25,1.387
2010/07/26,7.418
2010/07/27,7.044
2010/07/28,6.557
2010/07/29,3.035
2010/07/30,2.832
2010/07/31,2.997
2010/08/01,39.138
2010/08/02,36.823
2010/08/03,36.664
2010/08/04,5.343
2010/08/05,0.853
2010/08/06,1.351
2010/08/07,1.927
2010/08/08,3.25
2010/08/09,8.615
2010/08/10,8.532
2010/08/11,4.316
2010/08/12,4.8
2010/08/13,4.778
2010/08/14,1.744
2010/08/15,1.617
2010/08/16,6.484
2010/08/17,6.34
2010/08/18,3.272
2010/08/19,5.277
2010/08/20,2.304
2010/08/21,2.88
2010/08/22,3.229
2010/08/23,3.845
2010/08/24,0.455
2010/08/25,0.622
2010/08/26,0.934
2010/08/27,3.425
2010/08/28,3.314
2010/08/29,3.542
2010/08/30,0.85
2010/08/31,3.077
2010/09/01,2.442
2010/09/02,1.639
2010/09/03,1.637
2010/09/04,0.991
2010/09/05,19.938
2010/09/06,16.813
2010/09/07,19.141
2010/09/08,12.572
2010/09/09,2.768
2010/09/10,3.486
2010/09/11,3.953
2010/09/12,0.767
2010/09/13,13.334
2010/09/14,12.27
2010/09/15,11.004
2010/09/16,1.054
2010/09/17,6.828
2010/09/18,6.536
2010/09/19,4.889
2010/09/20,2.808
2010/09/21,5.512
2010/09/22,2.787
2010/09/23,8.528
2010/09/24,8.376
2010/09/25,8.603
2010/09/26,1.03
2010/09/27,0.051
2010/09/28,6.448
2010/09/29,5.667
2010/09/30,3.68
2010/10/01,0.931
2010/10/02,35.981
2010/10/03,33.866
2010/10/04,58.344
2010/10/05,60.169
2010/10/06,56.117
2010/10/07,11.061
2010/10/08,11.397
2010/10/09,13.508
2010/10/10,8.805
2010/10/11,21.425
2010/10/12,13.195
2010/10/13,13.195
2010/10/14,24.152
2010/10/15,16.399
2010/10/16,4.35
2010/10/17,20.044
2010/10/18,17.497
2010/10/19,12.09
2010/10/20,9.904
2010/10/21,6.017
