Date,mediantransactionvalue7rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,51.04
2010/07/25,51.115
2010/07/26,62.769
2010/07/27,47.861
2010/07/28,46.845
2010/07/29,46.847
2010/07/30,53.066
2010/07/31,56.164
2010/08/01,65.99
2010/08/02,66.042
2010/08/03,47.56
2010/08/04,60.114
2010/08/05,60.063
2010/08/06,42.272
2010/08/07,49.802
2010/08/08,42.723
2010/08/09,60.247
2010/08/10,59.5
2010/08/11,57.595
2010/08/12,59.122
2010/08/13,57.582
2010/08/14,57.857
2010/08/15,57.796
2010/08/16,67.628
2010/08/17,53.889
2010/08/18,54.442
2010/08/19,53.424
2010/08/20,52.611
2010/08/21,52.495
2010/08/22,52.091
2010/08/23,52.044
2010/08/24,51.447
2010/08/25,52.272
2010/08/26,18.53
2010/08/27,53.154
2010/08/28,36.917
2010/08/29,35.464
2010/08/30,34.918
2010/08/31,56.836
2010/09/01,42.651
2010/09/02,55.652
2010/09/03,66.677
2010/09/04,66.688
2010/09/05,49.75
2010/09/06,49.772
2010/09/07,49.535
2010/09/08,35.71
2010/09/09,51.462
2010/09/10,40.628
2010/09/11,40.404
2010/09/12,39.72
2010/09/13,44.145
2010/09/14,57.125
2010/09/15,51.462
2010/09/16,56.471
2010/09/17,55.781
2010/09/18,55.798
2010/09/19,67.079
2010/09/20,41.125
2010/09/21,38.711
2010/09/22,38.182
2010/09/23,45.606
2010/09/24,46.644
2010/09/25,39.529
2010/09/26,41.22
2010/09/27,40.517
2010/09/28,59.383
2010/09/29,75.293
2010/09/30,47.11
2010/10/01,45.467
2010/10/02,42.87
2010/10/03,62.525
2010/10/04,80.918
2010/10/05,72.18
2010/10/06,45.905
2010/10/07,59.87
2010/10/08,59.621
2010/10/09,58.721
2010/10/10,53.084
2010/10/11,46.264
2010/10/12,42.161
2010/10/13,44.312
2010/10/14,90.258
2010/10/15,67.6
2010/10/16,78.93
2010/10/17,47.131
2010/10/18,44.844
2010/10/19,42.135
2010/10/20,42.501
2010/10/21,42.554
2010/10/22,41.19
