Date,transactionfees3rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,48.893
2010/07/21,48.893
2010/07/22,48.893
2010/07/23,49.821
2010/07/24,48.499
2010/07/25,79.173
2010/07/26,93.9
2010/07/27,50.887
2010/07/28,36.902
2010/07/29,36.816
2010/07/30,58.948
2010/07/31,71.321
2010/08/01,52.504
2010/08/02,37.014
2010/08/03,24.204
2010/08/04,24.204
2010/08/05,24.204
2010/08/06,24.204
2010/08/07,97.075
2010/08/08,39.75
2010/08/09,68.616
2010/08/10,39.924
2010/08/11,39.924
2010/08/12,39.924
2010/08/13,39.924
2010/08/14,39.924
2010/08/15,39.924
2010/08/16,61.269
2010/08/17,39.968
2010/08/18,77.198
2010/08/19,39.994
2010/08/20,39.994
2010/08/21,39.994
2010/08/22,39.994
2010/08/23,39.994
2010/08/24,83.464
2010/08/25,39.999
2010/08/26,39.999
2010/08/27,39.999
2010/08/28,39.999
2010/08/29,73.411
2010/08/30,65.624
2010/08/31,40.944
2010/09/01,34.708
2010/09/02,28.978
2010/09/03,28.978
2010/09/04,28.978
2010/09/05,35.765
2010/09/06,31.281
2010/09/07,31.281
2010/09/08,31.281
2010/09/09,84.87
2010/09/10,39.115
2010/09/11,39.115
2010/09/12,76.266
2010/09/13,39.82
2010/09/14,42.25
2010/09/15,39.837
2010/09/16,39.837
2010/09/17,39.837
2010/09/18,89.573
2010/09/19,39.987
2010/09/20,39.987
2010/09/21,39.987
2010/09/22,39.987
2010/09/23,39.987
2010/09/24,39.987
2010/09/25,39.987
2010/09/26,39.987
2010/09/27,64.845
2010/09/28,99.416
2010/09/29,39.917
2010/09/30,39.917
2010/10/01,55.155
2010/10/02,40.119
2010/10/03,40.325
2010/10/04,39.755
2010/10/05,39.754
2010/10/06,39.755
2010/10/07,39.754
2010/10/08,39.754
2010/10/09,39.754
2010/10/10,39.754
2010/10/11,39.759
2010/10/12,39.755
2010/10/13,98.894
2010/10/14,39.998
2010/10/15,39.998
2010/10/16,39.998
2010/10/17,39.998
2010/10/18,45.568
2010/10/19,39.999
2010/10/20,39.999
2010/10/21,45.24
