Date,confirmationtime7trx
2010/07/17,-5.395
2010/07/18,-3.814
2010/07/19,-1.984
2010/07/20,-0.362
2010/07/21,0.638
2010/07/22,1.5
2010/07/23,1.929
2010/07/24,2.118
2010/07/25,1.801
2010/07/26,1.236
2010/07/27,1.299
2010/07/28,1.667
2010/07/29,1.819
2010/07/30,1.804
2010/07/31,1.513
2010/08/01,0.902
2010/08/02,0.234
2010/08/03,-0.274
2010/08/04,-0.726
2010/08/05,-0.931
2010/08/06,-0.284
2010/08/07,0.525
2010/08/08,0.807
2010/08/09,0.883
2010/08/10,0.839
2010/08/11,0.447
2010/08/12,0.066
2010/08/13,-0.24
2010/08/14,-0.8
2010/08/15,-0.984
2010/08/16,-0.346
2010/08/17,0.853
2010/08/18,1.996
2010/08/19,2.826
2010/08/20,2.652
2010/08/21,2.25
2010/08/22,1.492
2010/08/23,0.692
2010/08/24,-0.021
2010/08/25,-0.597
2010/08/26,-0.987
2010/08/27,-0.922
2010/08/28,-0.646
2010/08/29,-0.225
2010/08/30,0.349
2010/08/31,0.525
2010/09/01,0.761
2010/09/02,0.982
2010/09/03,1.054
2010/09/04,0.878
2010/09/05,0.762
2010/09/06,0.75
2010/09/07,0.749
2010/09/08,0.689
2010/09/09,0.962
2010/09/10,0.845
2010/09/11,0.731
2010/09/12,0.47
2010/09/13,0.234
2010/09/14,-0.196
2010/09/15,-0.383
2010/09/16,-0.784
2010/09/17,-1.145
2010/09/18,-1.577
2010/09/19,-1.81
2010/09/20,-1.862
2010/09/21,-1.553
2010/09/22,-1.121
2010/09/23,-1.102
2010/09/24,-1.221
2010/09/25,-1.237
2010/09/26,-1.174
2010/09/27,-1.222
2010/09/28,-1.189
2010/09/29,-0.683
2010/09/30,0.197
2010/10/01,0.981
2010/10/02,2.642
2010/10/03,3.738
2010/10/04,3.828
2010/10/05,3.835
2010/10/06,3.171
2010/10/07,2.431
2010/10/08,1.812
2010/10/09,1.273
2010/10/10,0.661
2010/10/11,0.269
2010/10/12,0.063
2010/10/13,-0.221
2010/10/14,-0.686
2010/10/15,-0.962
2010/10/16,-1.542
2010/10/17,-2.201
2010/10/18,-2.707
2010/10/19,-3.079
2010/10/20,-3.344
2010/10/21,-3.043
2010/10/22,-2.148
2010/10/23,-1.295
2010/10/24,-0.821
2010/10/25,-0.561
2010/10/26,-0.664
2010/10/27,-0.73
2010/10/28,-0.801
2010/10/29,-0.876
2010/10/30,-1.093
2010/10/31,-0.811
2010/11/01,-0.321
2010/11/02,0.2
2010/11/03,0.511
2010/11/04,0.582
2010/11/05,0.403
2010/11/06,0.15
2010/11/07,-0.235
2010/11/08,-0.776
2010/11/09,-0.985
2010/11/10,-0.906
2010/11/11,-0.814
2010/11/12,-0.278
2010/11/13,-0.098
2010/11/14,-0.286
2010/11/15,-0.239
2010/11/16,-0.069
2010/11/17,-0.212
2010/11/18,-0.515
2010/11/19,0.09
2010/11/20,1.634
2010/11/21,2.771
2010/11/22,3.141
2010/11/23,3.393
2010/11/24,3.033
2010/11/25,2.42
2010/11/26,1.672
2010/11/27,1.083
2010/11/28,0.707
2010/11/29,0.184
2010/11/30,-0.276
2010/12/01,-0.536
2010/12/02,-0.665
2010/12/03,-0.717
2010/12/04,-0.975
2010/12/05,-1.323
2010/12/06,-1.655
2010/12/07,-1.904
2010/12/08,-2.053
2010/12/09,-2.025
2010/12/10,-1.18
2010/12/11,-0.41
2010/12/12,0.253
2010/12/13,1.145
2010/12/14,1.57
2010/12/15,1.475
2010/12/16,1.366
2010/12/17,1.318
2010/12/18,1.335
2010/12/19,1.127
2010/12/20,1.089
2010/12/21,0.779
2010/12/22,0.733
2010/12/23,0.948
2010/12/24,1.178
2010/12/25,1.136
2010/12/26,1.225
2010/12/27,1.099
2010/12/28,0.86
2010/12/29,0.639
2010/12/30,0.413
2010/12/31,0.28
2011/01/01,0.036
2011/01/02,-0.168
2011/01/03,-0.143
2011/01/04,0.152
2011/01/05,0.359
2011/01/06,0.643
2011/01/07,0.647
2011/01/08,0.471
2011/01/09,0.304
2011/01/10,0.173
2011/01/11,-0.016
2011/01/12,-0.156
2011/01/13,-0.419
2011/01/14,-0.637
2011/01/15,-0.58
2011/01/16,-0.564
2011/01/17,-0.615
2011/01/18,-0.276
2011/01/19,-0.119
2011/01/20,-0.204
2011/01/21,-0.279
2011/01/22,-0.252
2011/01/23,-0.229
2011/01/24,-0.355
2011/01/25,-0.233
2011/01/26,-0.246
2011/01/27,-0.127
2011/01/28,0.052
2011/01/29,0.197
2011/01/30,0.353
2011/01/31,0.344
2011/02/01,0.319
2011/02/02,0.346
2011/02/03,0.365
2011/02/04,0.087
2011/02/05,-0.16
2011/02/06,-0.338
2011/02/07,-0.643
2011/02/08,-0.68
2011/02/09,-0.782
2011/02/10,-0.841
2011/02/11,-0.861
2011/02/12,-0.922
2011/02/13,-0.994
2011/02/14,-1.031
2011/02/15,-1.217
2011/02/16,-1.462
2011/02/17,-1.676
2011/02/18,-1.711
2011/02/19,-1.197
2011/02/20,-0.841
2011/02/21,-0.564
2011/02/22,-0.481
2011/02/23,-0.679
2011/02/24,-0.738
2011/02/25,-0.837
2011/02/26,-1.184
2011/02/27,-1.425
2011/02/28,-0.743
2011/03/01,0.588
2011/03/02,1.401
2011/03/03,1.644
2011/03/04,1.32
2011/03/05,0.523
2011/03/06,-0.336
2011/03/07,-0.755
2011/03/08,-0.73
2011/03/09,-0.224
2011/03/10,1.301
2011/03/11,2.526
2011/03/12,3.173
2011/03/13,3.811
2011/03/14,4.339
2011/03/15,4.616
2011/03/16,4.235
2011/03/17,3.542
2011/03/18,3.096
2011/03/19,2.846
2011/03/20,2.348
2011/03/21,1.682
2011/03/22,1.393
2011/03/23,0.843
2011/03/24,0.31
2011/03/25,-0.307
2011/03/26,-0.554
2011/03/27,-0.653
2011/03/28,-0.886
2011/03/29,-1.092
2011/03/30,-1.182
2011/03/31,-1.508
2011/04/01,-1.716
2011/04/02,-1.849
2011/04/03,-1.871
2011/04/04,-1.836
2011/04/05,-1.869
2011/04/06,-1.51
2011/04/07,-0.991
2011/04/08,-0.66
2011/04/09,-0.353
2011/04/10,-0.26
2011/04/11,-0.178
2011/04/12,-0.11
2011/04/13,-0.309
2011/04/14,-0.305
2011/04/15,0.074
2011/04/16,0.146
2011/04/17,0.017
2011/04/18,0.133
2011/04/19,0.262
2011/04/20,0.489
2011/04/21,0.674
2011/04/22,0.517
2011/04/23,0.27
2011/04/24,0.109
2011/04/25,-0.233
2011/04/26,-0.617
2011/04/27,-0.868
2011/04/28,-0.853
2011/04/29,-0.993
2011/04/30,-1.092
2011/05/01,-1.065
2011/05/02,-1.108
2011/05/03,-1.152
2011/05/04,-1.182
2011/05/05,-1.324
2011/05/06,-1.473
2011/05/07,-1.56
2011/05/08,-1.617
2011/05/09,-1.742
2011/05/10,-1.479
2011/05/11,-1.125
2011/05/12,-0.559
2011/05/13,-0.311
2011/05/14,-0.449
2011/05/15,-0.597
2011/05/16,-0.874
2011/05/17,-1.203
2011/05/18,-1.626
2011/05/19,-1.246
2011/05/20,-0.969
2011/05/21,-0.765
2011/05/22,-0.803
2011/05/23,-1.088
2011/05/24,-1.477
2011/05/25,-1.869
2011/05/26,-2.145
2011/05/27,-1.373
2011/05/28,-0.045
2011/05/29,0.986
2011/05/30,2.026
2011/05/31,2.897
2011/06/01,3.008
2011/06/02,2.73
2011/06/03,2.204
2011/06/04,1.484
2011/06/05,0.892
2011/06/06,0.272
2011/06/07,0.223
2011/06/08,0.269
2011/06/09,0.066
2011/06/10,-0.217
2011/06/11,-0.646
2011/06/12,-0.965
2011/06/13,-1.142
2011/06/14,-1.33
2011/06/15,-1.626
2011/06/16,-1.268
2011/06/17,-0.709
2011/06/18,-0.234
2011/06/19,-0.065
2011/06/20,-0.122
2011/06/21,-0.372
2011/06/22,-0.695
2011/06/23,-0.886
2011/06/24,-0.821
2011/06/25,0.168
2011/06/26,1.296
2011/06/27,1.987
2011/06/28,2.445
2011/06/29,2.537
2011/06/30,2.238
2011/07/01,1.971
2011/07/02,1.769
2011/07/03,1.638
2011/07/04,1.477
2011/07/05,1.683
2011/07/06,1.735
2011/07/07,2.037
2011/07/08,1.914
2011/07/09,1.787
2011/07/10,1.803
2011/07/11,1.598
2011/07/12,1.499
2011/07/13,0.966
2011/07/14,0.756
2011/07/15,0.508
2011/07/16,0.325
2011/07/17,0.073
2011/07/18,-0.169
2011/07/19,-0.085
2011/07/20,0.046
2011/07/21,0.142
2011/07/22,0.217
2011/07/23,0.322
2011/07/24,0.218
2011/07/25,0.048
2011/07/26,-0.215
2011/07/27,-0.459
