Date,top100cap30wma
2010/07/17,25.818
2010/07/18,25.823
2010/07/19,25.821
2010/07/20,25.812
2010/07/21,25.805
2010/07/22,25.795
2010/07/23,25.779
2010/07/24,25.764
2010/07/25,25.748
2010/07/26,25.783
2010/07/27,25.82
2010/07/28,25.854
2010/07/29,25.886
2010/07/30,25.917
2010/07/31,25.942
2010/08/01,25.966
2010/08/02,25.984
2010/08/03,26.004
2010/08/04,26.018
2010/08/05,26.034
2010/08/06,26.048
2010/08/07,26.061
2010/08/08,26.073
2010/08/09,26.096
2010/08/10,26.114
2010/08/11,26.145
2010/08/12,26.165
2010/08/13,26.19
2010/08/14,26.209
2010/08/15,26.224
2010/08/16,26.246
2010/08/17,26.276
2010/08/18,26.301
2010/08/19,26.323
2010/08/20,26.346
2010/08/21,26.365
2010/08/22,26.383
2010/08/23,26.398
2010/08/24,26.413
2010/08/25,26.421
2010/08/26,26.428
2010/08/27,26.439
2010/08/28,26.444
2010/08/29,26.443
2010/08/30,26.438
2010/08/31,26.439
2010/09/01,26.438
2010/09/02,26.435
2010/09/03,26.432
2010/09/04,26.429
2010/09/05,26.431
2010/09/06,26.43
2010/09/07,26.427
2010/09/08,26.418
2010/09/09,26.408
2010/09/10,26.397
2010/09/11,26.383
2010/09/12,26.373
2010/09/13,26.354
2010/09/14,26.33
2010/09/15,26.304
2010/09/16,26.284
2010/09/17,26.304
2010/09/18,26.326
2010/09/19,26.357
2010/09/20,26.39
2010/09/21,26.421
2010/09/22,26.446
2010/09/23,26.484
2010/09/24,26.525
2010/09/25,26.572
2010/09/26,26.623
2010/09/27,26.696
2010/09/28,26.839
2010/09/29,26.977
2010/09/30,27.105
2010/10/01,27.225
2010/10/02,27.376
2010/10/03,27.52
2010/10/04,27.641
2010/10/05,27.76
2010/10/06,27.87
2010/10/07,28.008
2010/10/08,28.152
2010/10/09,28.305
2010/10/10,28.463
2010/10/11,28.607
2010/10/12,28.741
2010/10/13,28.877
2010/10/14,29.015
2010/10/15,29.139
2010/10/16,29.265
2010/10/17,29.383
2010/10/18,29.505
2010/10/19,29.606
2010/10/20,29.703
2010/10/21,29.791
2010/10/22,29.873
2010/10/23,29.947
2010/10/24,30.013
2010/10/25,30.072
2010/10/26,30.134
2010/10/27,30.195
2010/10/28,30.245
2010/10/29,30.283
2010/10/30,30.315
2010/10/31,30.348
2010/11/01,30.377
2010/11/02,30.405
2010/11/03,30.425
2010/11/04,30.442
2010/11/05,30.459
2010/11/06,30.477
2010/11/07,30.487
2010/11/08,30.539
2010/11/09,30.585
2010/11/10,30.617
2010/11/11,30.644
2010/11/12,30.666
2010/11/13,30.679
2010/11/14,30.696
2010/11/15,30.709
2010/11/16,30.718
2010/11/17,30.731
2010/11/18,30.739
2010/11/19,30.745
2010/11/20,30.757
2010/11/21,30.768
2010/11/22,30.776
2010/11/23,30.789
2010/11/24,30.808
2010/11/25,30.83
2010/11/26,30.851
2010/11/27,30.87
2010/11/28,30.887
2010/11/29,30.9
2010/11/30,30.92
2010/12/01,30.952
2010/12/02,30.997
2010/12/03,31.056
2010/12/04,31.116
2010/12/05,31.174
2010/12/06,31.215
2010/12/07,31.249
2010/12/08,31.281
2010/12/09,31.307
2010/12/10,31.335
2010/12/11,31.363
2010/12/12,31.386
2010/12/13,31.426
2010/12/14,31.46
2010/12/15,31.489
2010/12/16,31.511
2010/12/17,31.532
2010/12/18,31.547
2010/12/19,31.551
2010/12/20,31.556
2010/12/21,31.542
2010/12/22,31.532
2010/12/23,31.518
2010/12/24,31.5
2010/12/25,31.484
2010/12/26,31.465
2010/12/27,31.454
2010/12/28,31.438
2010/12/29,31.408
2010/12/30,31.373
2010/12/31,31.331
2011/01/01,31.286
2011/01/02,31.24
2011/01/03,31.196
2011/01/04,31.153
2011/01/05,31.115
2011/01/06,31.075
2011/01/07,31.035
2011/01/08,30.996
2011/01/09,30.96
2011/01/10,30.917
2011/01/11,30.883
2011/01/12,30.848
2011/01/13,30.821
2011/01/14,30.797
2011/01/15,30.773
2011/01/16,30.758
2011/01/17,30.746
2011/01/18,30.731
2011/01/19,30.71
2011/01/20,30.691
2011/01/21,30.675
2011/01/22,30.658
2011/01/23,30.657
2011/01/24,30.653
2011/01/25,30.647
2011/01/26,30.634
2011/01/27,30.806
2011/01/28,30.971
2011/01/29,31.13
2011/01/30,31.28
2011/01/31,31.421
2011/02/01,31.564
2011/02/02,31.69
2011/02/03,31.816
2011/02/04,31.931
2011/02/05,32.044
2011/02/06,32.143
2011/02/07,32.247
2011/02/08,32.338
2011/02/09,32.43
2011/02/10,32.513
2011/02/11,32.585
2011/02/12,32.647
2011/02/13,32.702
2011/02/14,32.748
2011/02/15,32.79
2011/02/16,32.824
2011/02/17,32.849
2011/02/18,32.864
2011/02/19,32.872
2011/02/20,32.882
2011/02/21,32.883
2011/02/22,32.87
2011/02/23,32.851
2011/02/24,32.823
2011/02/25,32.789
2011/02/26,32.749
2011/02/27,32.744
2011/02/28,32.725
2011/03/01,32.721
2011/03/02,32.555
2011/03/03,32.388
2011/03/04,32.22
2011/03/05,32.061
2011/03/06,31.91
2011/03/07,31.763
2011/03/08,31.619
2011/03/09,31.48
2011/03/10,31.337
2011/03/11,31.191
2011/03/12,31.043
2011/03/13,30.9
2011/03/14,30.77
2011/03/15,30.643
2011/03/16,30.527
2011/03/17,30.423
2011/03/18,30.329
2011/03/19,30.24
2011/03/20,30.155
2011/03/21,30.08
2011/03/22,30.005
2011/03/23,29.939
2011/03/24,29.875
2011/03/25,29.813
2011/03/26,29.759
2011/03/27,29.704
2011/03/28,29.652
2011/03/29,29.606
2011/03/30,29.561
2011/03/31,29.518
2011/04/01,29.481
2011/04/02,29.433
2011/04/03,29.386
2011/04/04,29.335
2011/04/05,29.286
2011/04/06,29.24
2011/04/07,29.197
2011/04/08,29.154
2011/04/09,29.105
2011/04/10,29.056
2011/04/11,29.01
2011/04/12,28.959
2011/04/13,28.908
2011/04/14,28.889
2011/04/15,28.869
2011/04/16,28.847
2011/04/17,28.808
2011/04/18,28.764
2011/04/19,28.805
