Date,transactionvalue3rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,56
2010/07/21,60.497
2010/07/22,72.779
2010/07/23,38.367
2010/07/24,38.422
2010/07/25,26.856
2010/07/26,79.707
2010/07/27,46.763
2010/07/28,37.222
2010/07/29,31.354
2010/07/30,56.655
2010/07/31,51.422
2010/08/01,95.204
2010/08/02,44.321
2010/08/03,39.009
2010/08/04,40.467
2010/08/05,40.848
2010/08/06,37.215
2010/08/07,47.979
2010/08/08,33.378
2010/08/09,69.777
2010/08/10,49.674
2010/08/11,55.573
2010/08/12,34.06
2010/08/13,43.736
2010/08/14,34.765
2010/08/15,44.142
2010/08/16,75.214
2010/08/17,77.667
2010/08/18,46.101
2010/08/19,32.489
2010/08/20,36.741
2010/08/21,62.223
2010/08/22,34.369
2010/08/23,31.578
2010/08/24,38.49
2010/08/25,30.846
2010/08/26,26.953
2010/08/27,75.364
2010/08/28,41.451
2010/08/29,33.876
2010/08/30,42.87
2010/08/31,71.468
2010/09/01,57.766
2010/09/02,73.993
2010/09/03,57.105
2010/09/04,68.383
2010/09/05,96.313
2010/09/06,57.558
2010/09/07,32.96
2010/09/08,31.758
2010/09/09,44.618
2010/09/10,33.025
2010/09/11,32.051
2010/09/12,39.881
2010/09/13,83.085
2010/09/14,42.232
2010/09/15,46.347
2010/09/16,43.378
2010/09/17,70.142
2010/09/18,45.156
2010/09/19,54.695
2010/09/20,39.823
2010/09/21,28.175
2010/09/22,42.81
2010/09/23,74.199
2010/09/24,37.022
2010/09/25,41.993
2010/09/26,41.945
2010/09/27,41.625
2010/09/28,77.985
2010/09/29,49.075
2010/09/30,55.25
2010/10/01,48.171
2010/10/02,94.572
2010/10/03,44.407
2010/10/04,79.778
2010/10/05,47.2
2010/10/06,40.679
2010/10/07,45.552
2010/10/08,53.479
2010/10/09,62.162
2010/10/10,46.713
2010/10/11,29.274
2010/10/12,41.602
2010/10/13,59.222
2010/10/14,78.18
2010/10/15,67.628
2010/10/16,65.747
2010/10/17,26.893
2010/10/18,54.538
2010/10/19,38.808
2010/10/20,38.08
2010/10/21,56.054
