Date,difficulty14std
2010/07/17,81.713
2010/07/18,107.972
2010/07/19,124.764
2010/07/20,136.076
2010/07/21,143.026
2010/07/22,146.208
2010/07/23,145.868
2010/07/24,141.982
2010/07/25,134.241
2010/07/26,121.914
2010/07/27,115.463
2010/07/28,105.16
2010/07/29,84.687
2010/07/30,55.561
2010/07/31,59.163
2010/08/01,61.264
2010/08/02,62.016
2010/08/03,61.469
2010/08/04,59.586
2010/08/05,58.102
2010/08/06,81.642
2010/08/07,93.631
2010/08/08,98.387
2010/08/09,96.98
2010/08/10,102.141
2010/08/11,105.265
2010/08/12,106.081
2010/08/13,104.642
2010/08/14,100.851
2010/08/15,99.69
2010/08/16,128.714
2010/08/17,142.389
2010/08/18,145.12
2010/08/19,142.095
2010/08/20,150.148
2010/08/21,154.46
2010/08/22,155.344
2010/08/23,152.859
2010/08/24,146.833
2010/08/25,136.799
2010/08/26,122.15
2010/08/27,120.538
2010/08/28,105.526
2010/08/29,91.271
2010/08/30,100.441
2010/08/31,106.479
2010/09/01,109.903
2010/09/02,110.955
2010/09/03,109.704
2010/09/04,106.069
2010/09/05,99.788
2010/09/06,90.311
2010/09/07,76.461
2010/09/08,69.063
2010/09/09,57.273
2010/09/10,69.36
2010/09/11,77.553
2010/09/12,83.014
2010/09/13,86.262
2010/09/14,87.544
2010/09/15,86.948
2010/09/16,84.434
2010/09/17,79.82
2010/09/18,72.707
2010/09/19,118.109
2010/09/20,148.563
2010/09/21,163.259
2010/09/22,179.991
2010/09/23,192.062
2010/09/24,199.159
2010/09/25,201.809
2010/09/26,200.186
2010/09/27,194.186
2010/09/28,191.529
2010/09/29,287.193
2010/09/30,336.597
2010/10/01,359.356
2010/10/02,360.551
2010/10/03,378.917
2010/10/04,390.416
2010/10/05,393.337
2010/10/06,387.873
2010/10/07,373.655
2010/10/08,349.619
2010/10/09,313.513
2010/10/10,260.363
2010/10/11,175.299
2010/10/12,22.881
2010/10/13,36.752
2010/10/14,45.1
2010/10/15,50.73
2010/10/16,54.491
2010/10/17,56.755
2010/10/18,57.7
2010/10/19,57.389
2010/10/20,55.803
2010/10/21,315.339
2010/10/22,492.893
2010/10/23,598.586
2010/10/24,667.477
2010/10/25,710.354
2010/10/26,737.951
2010/10/27,750.048
2010/10/28,745.863
2010/10/29,725.112
2010/10/30,690.193
2010/10/31,852.442
2010/11/01,925.786
2010/11/02,931.469
2010/11/03,870.814
2010/11/04,899.632
2010/11/05,928.606
2010/11/06,937.554
2010/11/07,927.055
2010/11/08,896.426
2010/11/09,942.714
2010/11/10,1193
2010/11/11,1313
2010/11/12,1338
2010/11/13,1287
2010/11/14,1355
2010/11/15,1389
2010/11/16,1392
2010/11/17,1364
2010/11/18,1356
2010/11/19,1863
2010/11/20,2126
2010/11/21,2233
2010/11/22,2207
2010/11/23,2201
2010/11/24,2268
2010/11/25,2284
2010/11/26,2251
2010/11/27,2168
2010/11/28,2027
2010/11/29,1816
2010/11/30,1530
2010/12/01,1236
2010/12/02,844.305
2010/12/03,983.626
2010/12/04,1078
2010/12/05,1139
2010/12/06,1171
2010/12/07,1178
2010/12/08,1159
2010/12/09,1131
2010/12/10,2545
2010/12/11,3239
2010/12/12,3650
2010/12/13,3869
2010/12/14,3985
2010/12/15,4113
2010/12/16,4153
2010/12/17,4107
2010/12/18,3972
2010/12/19,3738
2010/12/20,3385
2010/12/21,2896
2010/12/22,2458
2010/12/23,1552
2010/12/24,1814
2010/12/25,1993
2010/12/26,2109
2010/12/27,2173
2010/12/28,2189
2010/12/29,2158
2010/12/30,2078
2010/12/31,1944
2011/01/01,1742
2011/01/02,1444
2011/01/03,1258
2011/01/04,1147
2011/01/05,1398
2011/01/06,1568
2011/01/07,1682
2011/01/08,1750
2011/01/09,1777
2011/01/10,1767
2011/01/11,1717
2011/01/12,1624
2011/01/13,1481
2011/01/14,1269
2011/01/15,1090
2011/01/16,1196
2011/01/17,1510
2011/01/18,1742
2011/01/19,1899
2011/01/20,1998
2011/01/21,2047
2011/01/22,2051
2011/01/23,2009
2011/01/24,1918
2011/01/25,1772
2011/01/26,1553
2011/01/27,1720
2011/01/28,2224
2011/01/29,2611
2011/01/30,2976
2011/01/31,3221
2011/02/01,3372
2011/02/02,3442
2011/02/03,3436
2011/02/04,3352
2011/02/05,3186
2011/02/06,2922
2011/02/07,2531
2011/02/08,2596
2011/02/09,2664
2011/02/10,3030
2011/02/11,3407
2011/02/12,3660
2011/02/13,3811
2011/02/14,3875
2011/02/15,3854
2011/02/16,3747
2011/02/17,3547
2011/02/18,5668
2011/02/19,7581
2011/02/20,8619
2011/02/21,9088
2011/02/22,9639
2011/02/23,10031
2011/02/24,10191
2011/02/25,10131
2011/02/26,9846
2011/02/27,10982
2011/02/28,14808
2011/03/01,16800
2011/03/02,17591
2011/03/03,17346
2011/03/04,17944
2011/03/05,18381
2011/03/06,18406
2011/03/07,18021
2011/03/08,17199
2011/03/09,16879
2011/03/10,19194
2011/03/11,19685
2011/03/12,18497
2011/03/13,18330
2011/03/14,19323
2011/03/15,19834
2011/03/16,19902
2011/03/17,19532
2011/03/18,18696
2011/03/19,17328
2011/03/20,15286
2011/03/21,12237
2011/03/22,6964
2011/03/23,0.003
2011/03/24,0.004
2011/03/25,3394
2011/03/26,4836
2011/03/27,5756
2011/03/28,6384
2011/03/29,6801
2011/03/30,7044
2011/03/31,7132
2011/04/01,7070
2011/04/02,6855
2011/04/03,6470
2011/04/04,5883
2011/04/05,4989
2011/04/06,7502
2011/04/07,9280
2011/04/08,10909
2011/04/09,12001
2011/04/10,12717
2011/04/11,13120
2011/04/12,13239
2011/04/13,13080
2011/04/14,12634
2011/04/15,11868
2011/04/16,10715
2011/04/17,9025
2011/04/18,7600
2011/04/19,6083
2011/04/20,7521
2011/04/21,8488
2011/04/22,9134
2011/04/23,9526
2011/04/24,9694
2011/04/25,9650
2011/04/26,9390
2011/04/27,8897
2011/04/28,8127
2011/04/29,6990
2011/04/30,9890
2011/05/01,11707
2011/05/02,13693
2011/05/03,15224
2011/05/04,16243
2011/05/05,16841
2011/05/06,17064
2011/05/07,16925
2011/05/08,16417
2011/05/09,16313
2011/05/10,30320
2011/05/11,37412
2011/05/12,41319
2011/05/13,42919
2011/05/14,45233
2011/05/15,46630
2011/05/16,47006
2011/05/17,46387
2011/05/18,45349
2011/05/19,66588
2011/05/20,77933
2011/05/21,83520
2011/05/22,84497
2011/05/23,82578
2011/05/24,85212
2011/05/25,86002
2011/05/26,90705
2011/05/27,142688
2011/05/28,171318
2011/05/29,187611
2011/05/30,194688
2011/05/31,193564
2011/06/01,185421
2011/06/02,186715
2011/06/03,184008
2011/06/04,177116
2011/06/05,165516
2011/06/06,153855
2011/06/07,150350
2011/06/08,131440
2011/06/09,107941
2011/06/10,117848
2011/06/11,124135
2011/06/12,127341
2011/06/13,127696
2011/06/14,125225
2011/06/15,145772
2011/06/16,220281
2011/06/17,260425
2011/06/18,281322
2011/06/19,287204
2011/06/20,290367
2011/06/21,297750
2011/06/22,298468
2011/06/23,292569
2011/06/24,314561
2011/06/25,413702
2011/06/26,465235
2011/06/27,484593
2011/06/28,475721
2011/06/29,470907
2011/06/30,482999
2011/07/01,484281
2011/07/02,474838
2011/07/03,454004
2011/07/04,420086
2011/07/05,369498
2011/07/06,295596
2011/07/07,193371
2011/07/08,127833
2011/07/09,149487
2011/07/10,164233
2011/07/11,173835
2011/07/12,179125
2011/07/13,180481
2011/07/14,177993
2011/07/15,171495
2011/07/16,160499
2011/07/17,143979
2011/07/18,119668
2011/07/19,82329
2011/07/20,65905
2011/07/21,88915
2011/07/22,103927
2011/07/23,114143
2011/07/24,120784
2011/07/25,124426
2011/07/26,125329
2011/07/27,123554
2011/07/28,118981
2011/07/29,111265
2011/07/30,99680
2011/07/31,82613
2011/08/01,84533
2011/08/02,114195
2011/08/03,144541
2011/08/04,164758
2011/08/05,178326
2011/08/06,186699
2011/08/07,190563
2011/08/08,190194
2011/08/09,185567
2011/08/10,176345
2011/08/11,161747
2011/08/12,140100
2011/08/13,107217
2011/08/14,42007
2011/08/15,663.5
2011/08/16,42750
2011/08/17,58077
2011/08/18,68092
2011/08/19,74955
2011/08/20,79488
2011/08/21,82077
2011/08/22,82904
2011/08/23,82024
2011/08/24,79378
2011/08/25,74780
2011/08/26,67835
2011/08/27,57699
2011/08/28,42132
2011/08/29,0.077
2011/08/30,11626
2011/08/31,17786
2011/09/01,21580
2011/09/02,24150
2011/09/03,25863
2011/09/04,26884
2011/09/05,27290
2011/09/06,27110
2011/09/07,26331
2011/09/08,24896
2011/09/09,22683
2011/09/10,19426
2011/09/11,14437
2011/09/12,2759
2011/09/13,6485
