Date,transactions30sma
2010/07/17,376.033
2010/07/18,382.867
2010/07/19,392.533
2010/07/20,404.867
2010/07/21,410.467
2010/07/22,415.467
2010/07/23,420.367
2010/07/24,441.5
2010/07/25,492.567
2010/07/26,498.633
2010/07/27,505.433
2010/07/28,562.567
2010/07/29,615.633
2010/07/30,617.367
2010/07/31,618
2010/08/01,619.7
2010/08/02,622.433
2010/08/03,634.533
2010/08/04,638.633
2010/08/05,647.233
2010/08/06,652.233
2010/08/07,653.767
2010/08/08,657.867
2010/08/09,664.267
2010/08/10,663.433
2010/08/11,614.7
2010/08/12,594.3
2010/08/13,419.2
2010/08/14,400.767
2010/08/15,381.833
2010/08/16,384.2
2010/08/17,382.233
2010/08/18,378.567
2010/08/19,371.133
2010/08/20,370.267
2010/08/21,368.533
2010/08/22,366.433
2010/08/23,348.133
2010/08/24,300.533
2010/08/25,298.033
2010/08/26,294.633
2010/08/27,239
2010/08/28,188.4
2010/08/29,186.9
2010/08/30,189.833
2010/08/31,194.233
2010/09/01,196.467
2010/09/02,187.933
2010/09/03,186.567
2010/09/04,179.767
2010/09/05,177.567
2010/09/06,177.633
2010/09/07,175.3
2010/09/08,173.3
2010/09/09,174.633
2010/09/10,174.767
2010/09/11,173.767
2010/09/12,170.467
2010/09/13,174.2
2010/09/14,177.967
2010/09/15,176.467
2010/09/16,177.467
2010/09/17,174.433
2010/09/18,173.5
2010/09/19,170.7
2010/09/20,173.8
2010/09/21,189.933
2010/09/22,201.367
2010/09/23,209.933
2010/09/24,214.067
2010/09/25,219.633
2010/09/26,222.033
2010/09/27,228.867
2010/09/28,234.9
2010/09/29,255.933
2010/09/30,254.667
2010/10/01,261.567
2010/10/02,269.433
2010/10/03,272.767
2010/10/04,278.133
2010/10/05,281.433
2010/10/06,285.3
2010/10/07,287.233
2010/10/08,288.4
2010/10/09,290.2
2010/10/10,290.267
2010/10/11,291.533
2010/10/12,291.367
2010/10/13,288.8
2010/10/14,286.833
2010/10/15,283.167
2010/10/16,281.967
2010/10/17,283.1
2010/10/18,288.7
2010/10/19,306.1
2010/10/20,312.333
2010/10/21,303.267
2010/10/22,301.567
2010/10/23,298.933
2010/10/24,301.4
2010/10/25,297.467
2010/10/26,300.2
2010/10/27,299.567
2010/10/28,299.167
2010/10/29,280.267
2010/10/30,278.767
2010/10/31,268.7
2010/11/01,261.133
2010/11/02,256.3
2010/11/03,253.067
2010/11/04,249.6
2010/11/05,249.167
2010/11/06,249.033
2010/11/07,249.067
2010/11/08,248.967
2010/11/09,249.2
2010/11/10,249.567
2010/11/11,248.867
2010/11/12,246.5
2010/11/13,245.1
2010/11/14,245.4
2010/11/15,395
2010/11/16,685.7
2010/11/17,680.967
2010/11/18,699.933
2010/11/19,1001
2010/11/20,1309
2010/11/21,1625
2010/11/22,1619
2010/11/23,1614
2010/11/24,1733
2010/11/25,1884
2010/11/26,1909
2010/11/27,1909
2010/11/28,1910
2010/11/29,1913
2010/11/30,1917
2010/12/01,1922
2010/12/02,1927
2010/12/03,1928
2010/12/04,1930
2010/12/05,1929
2010/12/06,1931
2010/12/07,1935
2010/12/08,1936
2010/12/09,1939
2010/12/10,1940
2010/12/11,1946
2010/12/12,1958
2010/12/13,1971
2010/12/14,1982
2010/12/15,1841
2010/12/16,1556
2010/12/17,1560
2010/12/18,1530
2010/12/19,1226
2010/12/20,930.967
2010/12/21,615.3
2010/12/22,626.033
2010/12/23,631.8
2010/12/24,519.267
2010/12/25,374.733
2010/12/26,352.033
2010/12/27,355.2
2010/12/28,362.2
2010/12/29,365.633
2010/12/30,371.367
2010/12/31,373.667
2011/01/01,380.533
2011/01/02,387.167
2011/01/03,413.267
2011/01/04,434.7
2011/01/05,465.767
2011/01/06,473.067
2011/01/07,492.1
2011/01/08,525.533
2011/01/09,553.333
2011/01/10,579.167
2011/01/11,603.1
2011/01/12,619.433
2011/01/13,639.3
2011/01/14,660.467
2011/01/15,675.367
2011/01/16,690.733
2011/01/17,701.1
2011/01/18,711.433
2011/01/19,710.6
2011/01/20,720.733
2011/01/21,737.067
2011/01/22,766.5
2011/01/23,784.1
2011/01/24,806.267
2011/01/25,816.067
2011/01/26,831.567
2011/01/27,837.867
2011/01/28,857.033
2011/01/29,882.433
2011/01/30,950.533
2011/01/31,975.367
2011/02/01,990.533
2011/02/02,982.733
2011/02/03,975.767
2011/02/04,962.567
2011/02/05,965.9
2011/02/06,961.767
2011/02/07,942.533
2011/02/08,929.8
2011/02/09,925.967
2011/02/10,947.9
2011/02/11,987.033
2011/02/12,1008
2011/02/13,1026
2011/02/14,1060
2011/02/15,1101
2011/02/16,1142
2011/02/17,1186
2011/02/18,1223
2011/02/19,1246
2011/02/20,1271
2011/02/21,1288
2011/02/22,1324
2011/02/23,1353
2011/02/24,1392
2011/02/25,1426
2011/02/26,1459
2011/02/27,1496
2011/02/28,1509
2011/03/01,1514
2011/03/02,1535
2011/03/03,1607
2011/03/04,1641
2011/03/05,1679
2011/03/06,1712
2011/03/07,1748
2011/03/08,1799
2011/03/09,1831
2011/03/10,1860
2011/03/11,1884
2011/03/12,1917
2011/03/13,1931
2011/03/14,1958
2011/03/15,1995
2011/03/16,2037
2011/03/17,2077
2011/03/18,2091
2011/03/19,2126
2011/03/20,2196
2011/03/21,2338
2011/03/22,2351
2011/03/23,2439
2011/03/24,2440
2011/03/25,2433
2011/03/26,2476
2011/03/27,2493
2011/03/28,2529
2011/03/29,2547
2011/03/30,2548
2011/03/31,2524
2011/04/01,2509
2011/04/02,2462
2011/04/03,2458
2011/04/04,2470
2011/04/05,2475
2011/04/06,2475
2011/04/07,2451
2011/04/08,2449
2011/04/09,2450
2011/04/10,2443
2011/04/11,2409
2011/04/12,2386
2011/04/13,2374
2011/04/14,2374
2011/04/15,2335
2011/04/16,2293
2011/04/17,2288
2011/04/18,2281
2011/04/19,2265
2011/04/20,2169
2011/04/21,2157
2011/04/22,2074
2011/04/23,2078
2011/04/24,2088
2011/04/25,2061
2011/04/26,2092
2011/04/27,2147
2011/04/28,2157
2011/04/29,2215
2011/04/30,2295
2011/05/01,2374
2011/05/02,2417
2011/05/03,2454
2011/05/04,2470
2011/05/05,2514
2011/05/06,2559
2011/05/07,2631
2011/05/08,2667
2011/05/09,2723
2011/05/10,2770
2011/05/11,2807
2011/05/12,2850
2011/05/13,2906
2011/05/14,2954
2011/05/15,3010
2011/05/16,3080
2011/05/17,3151
2011/05/18,3232
2011/05/19,3267
2011/05/20,3325
2011/05/21,3424
2011/05/22,3528
2011/05/23,3638
2011/05/24,3754
2011/05/25,3872
2011/05/26,3986
2011/05/27,3995
2011/05/28,4062
2011/05/29,4103
2011/05/30,4133
2011/05/31,4204
2011/06/01,4319
2011/06/02,4460
2011/06/03,4647
2011/06/04,4826
2011/06/05,5003
2011/06/06,5196
