Date,sentbyaddress30trx
2010/07/17,4.388
2010/07/18,4.719
2010/07/19,4.892
2010/07/20,4.951
2010/07/21,4.904
2010/07/22,4.779
2010/07/23,4.599
2010/07/24,4.405
2010/07/25,4.304
2010/07/26,4.15
2010/07/27,3.963
2010/07/28,3.748
2010/07/29,3.519
2010/07/30,3.28
2010/07/31,3.033
2010/08/01,2.792
2010/08/02,2.557
2010/08/03,2.347
2010/08/04,2.152
2010/08/05,1.974
2010/08/06,1.801
2010/08/07,1.627
2010/08/08,1.463
2010/08/09,1.312
2010/08/10,1.164
2010/08/11,1.024
2010/08/12,0.892
2010/08/13,0.777
2010/08/14,0.666
2010/08/15,0.554
2010/08/16,0.454
2010/08/17,0.358
2010/08/18,0.269
2010/08/19,0.182
2010/08/20,0.103
2010/08/21,0.028
2010/08/22,-0.043
2010/08/23,-0.11
2010/08/24,-0.172
2010/08/25,-0.231
2010/08/26,-0.286
2010/08/27,-0.342
2010/08/28,-0.395
2010/08/29,-0.448
2010/08/30,-0.497
2010/08/31,-0.539
2010/09/01,-0.574
2010/09/02,-0.61
2010/09/03,-0.643
2010/09/04,-0.676
2010/09/05,-0.708
2010/09/06,-0.739
2010/09/07,-0.769
2010/09/08,-0.797
2010/09/09,-0.82
2010/09/10,-0.839
2010/09/11,-0.857
2010/09/12,-0.869
2010/09/13,-0.868
2010/09/14,-0.863
2010/09/15,-0.85
2010/09/16,-0.835
2010/09/17,-0.821
2010/09/18,-0.806
2010/09/19,-0.793
2010/09/20,-0.771
2010/09/21,-0.715
2010/09/22,-0.637
2010/09/23,-0.549
2010/09/24,-0.462
2010/09/25,-0.376
2010/09/26,-0.301
2010/09/27,-0.221
2010/09/28,-0.15
2010/09/29,-0.058
2010/09/30,0.017
2010/10/01,0.091
2010/10/02,0.161
2010/10/03,0.218
2010/10/04,0.266
2010/10/05,0.303
2010/10/06,0.331
2010/10/07,0.346
2010/10/08,0.351
2010/10/09,0.353
2010/10/10,0.348
2010/10/11,0.337
2010/10/12,0.322
2010/10/13,0.305
2010/10/14,0.285
2010/10/15,0.262
2010/10/16,0.241
2010/10/17,0.225
2010/10/18,0.222
2010/10/19,0.26
2010/10/20,0.313
2010/10/21,0.365
2010/10/22,0.419
2010/10/23,0.469
2010/10/24,0.515
2010/10/25,0.547
2010/10/26,0.576
2010/10/27,0.607
2010/10/28,0.633
2010/10/29,0.648
2010/10/30,0.65
2010/10/31,0.633
2010/11/01,0.605
2010/11/02,0.564
2010/11/03,0.518
2010/11/04,0.466
2010/11/05,0.417
2010/11/06,0.368
2010/11/07,0.322
2010/11/08,0.281
2010/11/09,0.24
2010/11/10,0.2
2010/11/11,0.159
2010/11/12,0.113
2010/11/13,0.065
2010/11/14,0.021
2010/11/15,0.188
2010/11/16,0.463
2010/11/17,0.678
2010/11/18,0.838
2010/11/19,0.948
2010/11/20,1.028
2010/11/21,1.079
2010/11/22,1.098
2010/11/23,1.09
2010/11/24,1.07
2010/11/25,1.044
2010/11/26,1.026
2010/11/27,0.995
2010/11/28,0.953
2010/11/29,0.904
2010/11/30,0.85
2010/12/01,0.797
2010/12/02,0.74
2010/12/03,0.678
2010/12/04,0.614
2010/12/05,0.549
2010/12/06,0.486
2010/12/07,0.432
2010/12/08,0.383
2010/12/09,0.336
2010/12/10,0.287
2010/12/11,0.249
2010/12/12,0.222
2010/12/13,0.206
2010/12/14,0.2
2010/12/15,0.201
2010/12/16,0.201
2010/12/17,0.194
2010/12/18,0.186
2010/12/19,0.178
2010/12/20,0.19
2010/12/21,0.204
2010/12/22,0.222
2010/12/23,0.239
2010/12/24,0.252
2010/12/25,0.269
2010/12/26,0.287
2010/12/27,0.299
2010/12/28,0.313
2010/12/29,0.322
2010/12/30,0.329
2010/12/31,0.334
2011/01/01,0.342
2011/01/02,0.348
2011/01/03,0.363
2011/01/04,0.38
2011/01/05,0.407
2011/01/06,0.43
2011/01/07,0.457
2011/01/08,0.496
2011/01/09,0.541
2011/01/10,0.59
2011/01/11,0.644
2011/01/12,0.693
2011/01/13,0.741
2011/01/14,0.786
2011/01/15,0.829
2011/01/16,0.871
2011/01/17,0.907
2011/01/18,0.939
2011/01/19,0.97
2011/01/20,0.999
2011/01/21,1.036
2011/01/22,1.084
2011/01/23,1.131
2011/01/24,1.185
2011/01/25,1.223
2011/01/26,1.252
2011/01/27,1.268
2011/01/28,1.284
2011/01/29,1.307
2011/01/30,1.378
2011/01/31,1.443
2011/02/01,1.49
2011/02/02,1.513
2011/02/03,1.514
2011/02/04,1.501
2011/02/05,1.474
2011/02/06,1.438
2011/02/07,1.394
2011/02/08,1.344
2011/02/09,1.307
2011/02/10,1.309
2011/02/11,1.352
2011/02/12,1.411
2011/02/13,1.475
2011/02/14,1.548
2011/02/15,1.629
2011/02/16,1.706
2011/02/17,1.788
2011/02/18,1.866
2011/02/19,1.924
2011/02/20,1.973
2011/02/21,2.017
2011/02/22,2.06
2011/02/23,2.103
2011/02/24,2.14
2011/02/25,2.167
2011/02/26,2.181
2011/02/27,2.19
2011/02/28,2.183
2011/03/01,2.191
2011/03/02,2.188
2011/03/03,2.203
2011/03/04,2.201
2011/03/05,2.188
2011/03/06,2.165
2011/03/07,2.132
2011/03/08,2.105
2011/03/09,2.071
2011/03/10,2.026
2011/03/11,1.973
2011/03/12,1.917
2011/03/13,1.856
2011/03/14,1.785
2011/03/15,1.718
2011/03/16,1.651
2011/03/17,1.587
2011/03/18,1.522
2011/03/19,1.462
