Date,activeaddresses30roc
2010/07/17,185.106
2010/07/18,234.672
2010/07/19,156.464
2010/07/20,194.156
2010/07/21,133.815
2010/07/22,64.56
2010/07/23,86.286
2010/07/24,161.957
2010/07/25,756.225
2010/07/26,397.189
2010/07/27,143.987
2010/07/28,133.218
2010/07/29,31.671
2010/07/30,29.556
2010/07/31,17.284
2010/08/01,66.22
2010/08/02,75.14
2010/08/03,122.883
2010/08/04,90.862
2010/08/05,207.895
2010/08/06,66.58
2010/08/07,63.694
2010/08/08,67.816
2010/08/09,93.532
2010/08/10,0.511
2010/08/11,-80.259
2010/08/12,-71.021
2010/08/13,-87.476
2010/08/14,-72.115
2010/08/15,-75.146
2010/08/16,-3.98
2010/08/17,-46.129
2010/08/18,-25.309
2010/08/19,-48.124
2010/08/20,-18.912
2010/08/21,-11.853
2010/08/22,-10.123
2010/08/23,-32.261
2010/08/24,-70.356
2010/08/25,-59.693
2010/08/26,-15.435
2010/08/27,-26.261
2010/08/28,-0.189
2010/08/29,-33.105
2010/08/30,9.895
2010/08/31,18.387
2010/09/01,-3.828
2010/09/02,-44.251
2010/09/03,-31.601
2010/09/04,-44.933
2010/09/05,-14.107
2010/09/06,-0.584
2010/09/07,-30.993
2010/09/08,-29.949
2010/09/09,-12.881
2010/09/10,-22.825
2010/09/11,-25.216
2010/09/12,-16.057
2010/09/13,27.531
2010/09/14,56.235
2010/09/15,-14.249
2010/09/16,38.664
2010/09/17,38.154
2010/09/18,19.574
2010/09/19,-0.305
2010/09/20,33.523
2010/09/21,107.509
2010/09/22,59.112
2010/09/23,65.981
2010/09/24,61.723
2010/09/25,26.534
2010/09/26,25.352
2010/09/27,140.797
2010/09/28,335.641
2010/09/29,129.502
2010/09/30,-13.079
2010/10/01,40.464
2010/10/02,43.646
2010/10/03,34.4
2010/10/04,83.592
2010/10/05,28.467
2010/10/06,35.421
2010/10/07,60.546
2010/10/08,49.174
2010/10/09,45.914
2010/10/10,15.157
2010/10/11,45.727
2010/10/12,-9.142
2010/10/13,28.969
2010/10/14,-4.518
2010/10/15,-12.236
2010/10/16,36.204
2010/10/17,-25.025
2010/10/18,68.505
2010/10/19,115.291
2010/10/20,67.801
2010/10/21,-18.257
2010/10/22,-6.449
2010/10/23,-20.4
2010/10/24,5.452
2010/10/25,-8.848
2010/10/26,39.005
2010/10/27,-11.978
2010/10/28,-41.26
2010/10/29,-29.215
2010/10/30,3.292
2010/10/31,-32.468
2010/11/01,-23.462
2010/11/02,-31.845
2010/11/03,-30.676
2010/11/04,-13.778
2010/11/05,20.665
2010/11/06,-7.883
2010/11/07,-15.129
2010/11/08,109.467
2010/11/09,4.013
2010/11/10,3.17
2010/11/11,-6.966
2010/11/12,-50.756
2010/11/13,-8.675
2010/11/14,55.077
2010/11/15,371.168
2010/11/16,347.473
2010/11/17,-28.722
2010/11/18,-55.114
2010/11/19,-45.816
2010/11/20,-21.127
2010/11/21,-22.016
2010/11/22,-25.269
2010/11/23,-22.444
2010/11/24,28.059
2010/11/25,5.312
2010/11/26,7.162
2010/11/27,-17.635
2010/11/28,-16.745
2010/11/29,36.571
2010/11/30,39.336
2010/12/01,85.762
2010/12/02,77.293
2010/12/03,53.484
2010/12/04,20.099
2010/12/05,-16.766
2010/12/06,23.154
2010/12/07,65.507
2010/12/08,-42.521
2010/12/09,28.858
2010/12/10,-2.304
2010/12/11,78.037
2010/12/12,161.842
2010/12/13,189.465
2010/12/14,26.193
2010/12/15,-75.318
2010/12/16,-71.798
2010/12/17,17.926
2010/12/18,35.759
2010/12/19,69.735
2010/12/20,86.352
2010/12/21,43.668
2010/12/22,93.91
2010/12/23,54.242
2010/12/24,-11.63
2010/12/25,17.982
2010/12/26,-14.119
2010/12/27,38.686
2010/12/28,45.892
2010/12/29,10
2010/12/30,36.888
2010/12/31,-19.026
2011/01/01,32.635
2011/01/02,19.296
2011/01/03,91.77
2011/01/04,55.108
2011/01/05,109.809
2011/01/06,1.664
2011/01/07,38.87
2011/01/08,76.407
2011/01/09,117.453
2011/01/10,34.299
2011/01/11,29.983
2011/01/12,-24.642
2011/01/13,49.164
2011/01/14,48.111
2011/01/15,49.842
2011/01/16,92.965
2011/01/17,57.11
2011/01/18,30.147
2011/01/19,5.749
2011/01/20,33.425
2011/01/21,62.727
2011/01/22,115.717
2011/01/23,127.027
2011/01/24,91.264
2011/01/25,40.564
2011/01/26,39.123
2011/01/27,60.485
2011/01/28,70.707
2011/01/29,90.376
2011/01/30,256.125
2011/01/31,106.964
2011/02/01,82.303
2011/02/02,6.581
2011/02/03,17.44
2011/02/04,-2.013
2011/02/05,31.352
2011/02/06,11.085
2011/02/07,-5.092
2011/02/08,3.181
2011/02/09,45.303
2011/02/10,128.673
2011/02/11,241.251
2011/02/12,94.575
2011/02/13,103.236
2011/02/14,189.522
2011/02/15,122.005
2011/02/16,121.217
2011/02/17,146.61
2011/02/18,133.528
2011/02/19,99.036
2011/02/20,61.351
2011/02/21,49.863
2011/02/22,95.704
2011/02/23,84.548
2011/02/24,154.394
2011/02/25,115.385
2011/02/26,116.636
2011/02/27,114.97
2011/02/28,45.787
2011/03/01,62.414
2011/03/02,67.25
