Date,difficulty14rsi
2010/07/17,99.991
2010/07/18,99.991
2010/07/19,99.991
2010/07/20,99.991
2010/07/21,99.991
2010/07/22,99.991
2010/07/23,99.991
2010/07/24,99.991
2010/07/25,99.991
2010/07/26,99.991
2010/07/27,99.995
2010/07/28,99.995
2010/07/29,99.995
2010/07/30,99.995
2010/07/31,99.995
2010/08/01,99.995
2010/08/02,99.995
2010/08/03,99.995
2010/08/04,99.995
2010/08/05,99.996
2010/08/06,99.998
2010/08/07,99.998
2010/08/08,99.998
2010/08/09,99.998
2010/08/10,99.998
2010/08/11,99.998
2010/08/12,99.998
2010/08/13,99.998
2010/08/14,99.998
2010/08/15,99.999
2010/08/16,99.999
2010/08/17,99.999
2010/08/18,99.999
2010/08/19,99.999
2010/08/20,99.999
2010/08/21,99.999
2010/08/22,99.999
2010/08/23,99.999
2010/08/24,99.999
2010/08/25,99.999
2010/08/26,99.999
2010/08/27,100
2010/08/28,100
2010/08/29,100
2010/08/30,100
2010/08/31,100
2010/09/01,100
2010/09/02,100
2010/09/03,100
2010/09/04,100
2010/09/05,100
2010/09/06,100
2010/09/07,100
2010/09/08,100
2010/09/09,100
2010/09/10,100
2010/09/11,100
2010/09/12,100
2010/09/13,100
2010/09/14,100
2010/09/15,100
2010/09/16,100
2010/09/17,100
2010/09/18,100
2010/09/19,100
2010/09/20,100
2010/09/21,100
2010/09/22,100
2010/09/23,100
2010/09/24,100
2010/09/25,100
2010/09/26,100
2010/09/27,100
2010/09/28,100
2010/09/29,100
2010/09/30,100
2010/10/01,100
2010/10/02,100
2010/10/03,100
2010/10/04,100
2010/10/05,100
2010/10/06,100
2010/10/07,100
2010/10/08,100
2010/10/09,100
2010/10/10,100
2010/10/11,100
2010/10/12,100
2010/10/13,100
2010/10/14,100
2010/10/15,100
2010/10/16,100
2010/10/17,100
2010/10/18,100
2010/10/19,100
2010/10/20,100
2010/10/21,100
2010/10/22,100
2010/10/23,100
2010/10/24,100
2010/10/25,100
2010/10/26,100
2010/10/27,100
2010/10/28,100
2010/10/29,100
2010/10/30,100
2010/10/31,100
2010/11/01,100
2010/11/02,100
2010/11/03,100
2010/11/04,100
2010/11/05,100
2010/11/06,100
2010/11/07,100
2010/11/08,100
2010/11/09,100
2010/11/10,100
2010/11/11,100
2010/11/12,100
2010/11/13,100
2010/11/14,100
2010/11/15,100
2010/11/16,100
2010/11/17,100
2010/11/18,100
2010/11/19,100
2010/11/20,100
2010/11/21,100
2010/11/22,100
2010/11/23,100
2010/11/24,100
