Date,sentbyaddress14rsi
2010/07/17,47.788
2010/07/18,47.955
2010/07/19,48.625
2010/07/20,49.057
2010/07/21,48
2010/07/22,47.838
2010/07/23,47.795
2010/07/24,49.487
2010/07/25,56.715
2010/07/26,47.824
2010/07/27,47.894
2010/07/28,47.421
2010/07/29,47.597
2010/07/30,47.074
2010/07/31,46.85
2010/08/01,47.462
2010/08/02,47.5
2010/08/03,50.058
2010/08/04,48.773
2010/08/05,49.613
2010/08/06,47.746
2010/08/07,46.413
2010/08/08,48.197
2010/08/09,48.906
2010/08/10,47.1
2010/08/11,48.011
2010/08/12,47.884
2010/08/13,50.63
2010/08/14,47.941
2010/08/15,45.99
2010/08/16,49.793
2010/08/17,47.701
2010/08/18,48.902
2010/08/19,47.397
2010/08/20,49.046
2010/08/21,48.023
2010/08/22,47.861
2010/08/23,48.517
2010/08/24,48.144
2010/08/25,48.198
2010/08/26,47.563
2010/08/27,45.908
2010/08/28,47.769
2010/08/29,45.724
2010/08/30,48.279
2010/08/31,50.647
2010/09/01,49.884
2010/09/02,46.272
2010/09/03,48.398
2010/09/04,45.851
2010/09/05,48.03
2010/09/06,46.681
2010/09/07,46.1
2010/09/08,48.886
2010/09/09,49.21
2010/09/10,49.162
2010/09/11,47.563
2010/09/12,52.407
2010/09/13,56.331
2010/09/14,52.502
2010/09/15,54.528
2010/09/16,50.805
2010/09/17,48.464
2010/09/18,49.545
2010/09/19,48.005
2010/09/20,56.023
2010/09/21,70.648
2010/09/22,64.518
2010/09/23,58.918
2010/09/24,53.345
2010/09/25,54.495
2010/09/26,47.737
2010/09/27,56.405
2010/09/28,49.048
2010/09/29,61.057
2010/09/30,47.717
2010/10/01,52.601
2010/10/02,51.446
2010/10/03,49.08
2010/10/04,49.104
2010/10/05,49.055
2010/10/06,48.555
2010/10/07,46.21
2010/10/08,47.604
2010/10/09,49.118
2010/10/10,47.756
2010/10/11,46.99
2010/10/12,47.89
2010/10/13,48.362
2010/10/14,47.588
2010/10/15,46.941
2010/10/16,50.686
2010/10/17,51.747
2010/10/18,58.376
2010/10/19,70.698
2010/10/20,59.7
2010/10/21,53.044
2010/10/22,54.937
2010/10/23,52.011
2010/10/24,52.249
2010/10/25,47.091
2010/10/26,52.007
2010/10/27,54.183
2010/10/28,50.809
2010/10/29,47.704
2010/10/30,45.381
2010/10/31,42.032
2010/11/01,44.083
2010/11/02,41.783
2010/11/03,44.88
2010/11/04,44.294
2010/11/05,48.626
2010/11/06,47.341
2010/11/07,48.554
2010/11/08,50.623
2010/11/09,46.739
2010/11/10,47.523
2010/11/11,46.188
2010/11/12,41.783
2010/11/13,45.074
2010/11/14,48.367
2010/11/15,88.872
2010/11/16,70.919
2010/11/17,47.338
2010/11/18,47.068
2010/11/19,46.682
2010/11/20,48.762
2010/11/21,48.107
2010/11/22,46.802
2010/11/23,46.794
2010/11/24,48.584
2010/11/25,49.288
2010/11/26,52.021
2010/11/27,47.781
2010/11/28,47.85
2010/11/29,47.725
2010/11/30,48.11
2010/12/01,49.371
2010/12/02,47.83
2010/12/03,46.888
2010/12/04,47.7
2010/12/05,47.62
2010/12/06,48.347
2010/12/07,51.175
2010/12/08,49.833
2010/12/09,48.813
2010/12/10,46.909
2010/12/11,52.777
2010/12/12,53.553
2010/12/13,53.95
2010/12/14,54.566
2010/12/15,53.955
2010/12/16,49.456
2010/12/17,47.112
2010/12/18,49.225
2010/12/19,50.112
2010/12/20,59.996
2010/12/21,52.678
2010/12/22,53.53
2010/12/23,51.093
2010/12/24,48.931
2010/12/25,54.154
2010/12/26,52.517
2010/12/27,48.566
2010/12/28,52.811
2010/12/29,48.378
2010/12/30,50.917
2010/12/31,49.536
2011/01/01,53.727
2011/01/02,49.764
2011/01/03,56.543
2011/01/04,53.366
2011/01/05,57.742
2011/01/06,50.728
2011/01/07,54.399
2011/01/08,59.73
2011/01/09,56.243
2011/01/10,57.417
2011/01/11,58.429
2011/01/12,52.801
2011/01/13,55.326
2011/01/14,54.125
2011/01/15,55.751
2011/01/16,56.332
2011/01/17,52.916
2011/01/18,53.75
2011/01/19,56.686
2011/01/20,55.943
2011/01/21,63.078
2011/01/22,66.93
2011/01/23,57.232
2011/01/24,62.841
2011/01/25,49.489
2011/01/26,51.575
2011/01/27,49.01
2011/01/28,55.003
2011/01/29,59.979
2011/01/30,73.535
2011/01/31,54.582
2011/02/01,49.632
2011/02/02,47.463
2011/02/03,46.059
2011/02/04,48.32
2011/02/05,46.904
2011/02/06,47.607
2011/02/07,47.452
2011/02/08,47.331
2011/02/09,55.673
2011/02/10,66.459
2011/02/11,69.106
2011/02/12,61.286
2011/02/13,59.244
2011/02/14,61.225
2011/02/15,62.793
2011/02/16,58.559
2011/02/17,62.04
2011/02/18,60.259
2011/02/19,51.645
2011/02/20,56.189
2011/02/21,57.046
2011/02/22,59.971
2011/02/23,61.009
2011/02/24,58.479
2011/02/25,56.117
2011/02/26,53.522
2011/02/27,57.708
2011/02/28,49.477
2011/03/01,63.567
2011/03/02,52.076
2011/03/03,61.726
2011/03/04,50.29
2011/03/05,51.072
2011/03/06,50.643
2011/03/07,50.371
2011/03/08,55.813
2011/03/09,50.883
2011/03/10,48.484
2011/03/11,48.937
2011/03/12,50.246
2011/03/13,48.231
2011/03/14,45.438
2011/03/15,51.77
2011/03/16,49.253
2011/03/17,51.175
2011/03/18,49.262
2011/03/19,51.254
2011/03/20,61.527
2011/03/21,58.767
2011/03/22,52.789
2011/03/23,65.643
2011/03/24,51.765
2011/03/25,51.067
2011/03/26,55.296
2011/03/27,55.235
2011/03/28,55.791
2011/03/29,54.181
2011/03/30,47.982
2011/03/31,51.345
2011/04/01,45.884
2011/04/02,47.472
2011/04/03,48.107
2011/04/04,52.94
2011/04/05,51.213
2011/04/06,48.885
2011/04/07,46.387
2011/04/08,47.616
2011/04/09,47.829
2011/04/10,47.166
2011/04/11,50.008
2011/04/12,51.652
2011/04/13,54.359
2011/04/14,65.67
2011/04/15,49.176
2011/04/16,49.936
2011/04/17,51.81
2011/04/18,57.379
2011/04/19,61.248
2011/04/20,54.377
2011/04/21,48.067
2011/04/22,48.805
2011/04/23,51.431
2011/04/24,50.1
2011/04/25,53.61
2011/04/26,59.073
2011/04/27,64.734
2011/04/28,55.299
2011/04/29,58.156
2011/04/30,63.38
2011/05/01,59.121
2011/05/02,52.034
2011/05/03,52.435
2011/05/04,52.672
2011/05/05,56.521
2011/05/06,56.446
2011/05/07,58.366
2011/05/08,51.621
2011/05/09,56.277
2011/05/10,53.549
2011/05/11,53.063
2011/05/12,54.169
2011/05/13,60.964
2011/05/14,63.138
2011/05/15,57.902
2011/05/16,64.483
2011/05/17,64.407
2011/05/18,70.088
2011/05/19,62.69
2011/05/20,63.062
2011/05/21,63.898
2011/05/22,65.267
2011/05/23,67.515
2011/05/24,69.791
2011/05/25,72.429
2011/05/26,74.354
2011/05/27,53.405
2011/05/28,55.402
2011/05/29,53.394
2011/05/30,58.834
2011/05/31,61.777
2011/06/01,64.596
2011/06/02,67.576
2011/06/03,72.785
2011/06/04,75.114
2011/06/05,71.449
2011/06/06,75.769
2011/06/07,67.783
2011/06/08,76.622
2011/06/09,78.16
2011/06/10,71.183
2011/06/11,69.099
2011/06/12,73.452
2011/06/13,67.425
2011/06/14,73.625
2011/06/15,66.98
2011/06/16,67.951
2011/06/17,60.372
2011/06/18,60.056
2011/06/19,61.777
2011/06/20,58.009
2011/06/21,53.544
2011/06/22,58.968
2011/06/23,53.632
2011/06/24,55.004
2011/06/25,50.256
2011/06/26,50.127
2011/06/27,59.687
2011/06/28,54.177
2011/06/29,50.134
2011/06/30,49.166
2011/07/01,50.174
2011/07/02,42.483
2011/07/03,45.024
2011/07/04,49.766
2011/07/05,48.463
2011/07/06,53.026
2011/07/07,46.002
2011/07/08,46.078
2011/07/09,42.24
2011/07/10,43.753
2011/07/11,52.257
2011/07/12,45.622
2011/07/13,49.788
2011/07/14,49.039
2011/07/15,45.1
2011/07/16,48.139
2011/07/17,45.802
2011/07/18,49.104
2011/07/19,49.079
2011/07/20,48.727
2011/07/21,45.331
2011/07/22,49.555
2011/07/23,43.783
2011/07/24,46.389
2011/07/25,51.919
2011/07/26,48.12
2011/07/27,46.994
