Date,mining_profitability3trx
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,-3.386
2010/07/25,-3.31
2010/07/26,-3.952
2010/07/27,-7.328
2010/07/28,-7.265
2010/07/29,-4.413
2010/07/30,-2.028
2010/07/31,0.401
2010/08/01,0.441
2010/08/02,-1.012
2010/08/03,-2.459
2010/08/04,-1.535
2010/08/05,-3.304
2010/08/06,-7.393
2010/08/07,-7.548
2010/08/08,-5.541
2010/08/09,-4.013
2010/08/10,-1.755
2010/08/11,-0.358
2010/08/12,0.013
2010/08/13,-0.789
2010/08/14,1.501
2010/08/15,-3.864
2010/08/16,-6.691
2010/08/17,-7.594
2010/08/18,-5.942
2010/08/19,-4.493
2010/08/20,-1.23
2010/08/21,-1.943
2010/08/22,-1.102
2010/08/23,-1.308
2010/08/24,-1.411
2010/08/25,-1.567
2010/08/26,-1.617
2010/08/27,-4.272
2010/08/28,-5.151
2010/08/29,-4.386
2010/08/30,-3.333
2010/08/31,-1.768
2010/09/01,-2.53
2010/09/02,-1.982
2010/09/03,-1.152
2010/09/04,-0.137
2010/09/05,-0.648
2010/09/06,-0.931
2010/09/07,-0.156
2010/09/08,-0.899
2010/09/09,-3.427
2010/09/10,-1.998
2010/09/11,-2.057
2010/09/12,-1.388
2010/09/13,-1.318
2010/09/14,0.295
2010/09/15,-0.882
2010/09/16,0.815
2010/09/17,-0.643
2010/09/18,-0.358
2010/09/19,-3.45
2010/09/20,-4.949
2010/09/21,-5.634
2010/09/22,-4.235
2010/09/23,-0.88
2010/09/24,-1.126
2010/09/25,-2.018
2010/09/26,-1.389
2010/09/27,-0.443
2010/09/28,-1.594
2010/09/29,-6.031
2010/09/30,-7.128
2010/10/01,-6.731
2010/10/02,-7.54
2010/10/03,-4.04
2010/10/04,-1.005
2010/10/05,-1.485
2010/10/06,1.05
2010/10/07,0.518
2010/10/08,2.131
2010/10/09,5.918
2010/10/10,9.028
2010/10/11,6.556
2010/10/12,4.126
2010/10/13,4.186
2010/10/14,5.088
2010/10/15,2.347
2010/10/16,3.725
