Date,confirmationtime3mom
2010/07/17,5.832
2010/07/18,6.064
2010/07/19,5.424
2010/07/20,-0.368
2010/07/21,-1.416
2010/07/22,-0.094
2010/07/23,-0.533
2010/07/24,0.663
2010/07/25,-1.948
2010/07/26,-1.497
2010/07/27,1.056
2010/07/28,2.823
2010/07/29,2.074
2010/07/30,-0.763
2010/07/31,-1.963
2010/08/01,-1.975
2010/08/02,-1.962
2010/08/03,-0.75
2010/08/04,-0.099
2010/08/05,0.655
2010/08/06,3.452
2010/08/07,3.364
2010/08/08,0.631
2010/08/09,-2.217
2010/08/10,-1.751
2010/08/11,-1.056
2010/08/12,-0.943
2010/08/13,-0.842
2010/08/14,-1.056
2010/08/15,0.321
2010/08/16,3.098
2010/08/17,6.038
2010/08/18,3.871
2010/08/19,0.871
2010/08/20,-3.702
2010/08/21,-2.503
2010/08/22,-3.874
2010/08/23,-0.701
2010/08/24,-1.626
2010/08/25,-0.126
2010/08/26,0.097
2010/08/27,1.723
2010/08/28,1.804
2010/08/29,2.032
2010/08/30,1.243
2010/08/31,-0.645
2010/09/01,0.283
2010/09/02,-0.434
2010/09/03,0.954
2010/09/04,-1.216
2010/09/05,-0.503
2010/09/06,0.333
2010/09/07,1.044
2010/09/08,0
2010/09/09,1.553
2010/09/10,-0.864
2010/09/11,0.273
2010/09/12,-2.531
2010/09/13,0.285
2010/09/14,-1.906
2010/09/15,0.385
2010/09/16,-1.846
2010/09/17,-0.171
2010/09/18,-2.445
2010/09/19,0.315
2010/09/20,0.171
2010/09/21,2.296
2010/09/22,1.386
2010/09/23,-0.94
2010/09/24,-2.056
2010/09/25,-1.319
2010/09/26,0.871
2010/09/27,-0.028
2010/09/28,-0.164
2010/09/29,1.756
2010/09/30,3.575
2010/10/01,2.558
2010/10/02,5.62
2010/10/03,1.94
2010/10/04,0.061
2010/10/05,-2.971
2010/10/06,-3.382
2010/10/07,-0.412
2010/10/08,-2.078
2010/10/09,0.693
2010/10/10,-0.91
2010/10/11,-0.294
2010/10/12,0.176
2010/10/13,0.092
2010/10/14,-2.032
2010/10/15,-1.155
2010/10/16,-2.6
2010/10/17,-1.691
2010/10/18,-2.352
2010/10/19,0.044
2010/10/20,0.121
2010/10/21,1.959
2010/10/22,3.726
2010/10/23,2.774
2010/10/24,-0.718
2010/10/25,-2.257
2010/10/26,-2.253
2010/10/27,-0.264
2010/10/28,-0.518
2010/10/29,0.482
2010/10/30,-1.046
2010/10/31,1.469
2010/11/01,1.678
2010/11/02,2.468
2010/11/03,-0.466
2010/11/04,-0.971
2010/11/05,-1.606
2010/11/06,-0.973
2010/11/07,-1.189
2010/11/08,-1.339
2010/11/09,0.03
2010/11/10,1.118
2010/11/11,1.339
2010/11/12,1.885
2010/11/13,-0.636
2010/11/14,-0.95
2010/11/15,-1.321
2010/11/16,0.852
2010/11/17,0.205
2010/11/18,-1.597
2010/11/19,2.29
2010/11/20,6.584
2010/11/21,4.683
2010/11/22,-0.766
2010/11/23,-2.128
2010/11/24,-2.15
2010/11/25,-0.879
2010/11/26,-2.863
2010/11/27,-0.136
2010/11/28,0.416
2010/11/29,-0.533
2010/11/30,-0.871
2010/12/01,-0.713
2010/12/02,0.77
2010/12/03,0.49
2010/12/04,-1.371
2010/12/05,-1.634
2010/12/06,-1.644
2010/12/07,-0.263
2010/12/08,0.025
2010/12/09,0.482
2010/12/10,3.771
2010/12/11,2.178
2010/12/12,1.964
2010/12/13,0.417
2010/12/14,0.192
2010/12/15,-1.074
2010/12/16,-1.889
2010/12/17,0.254
2010/12/18,1.597
2010/12/19,-0.498
2010/12/20,0.382
2010/12/21,-1.559
2010/12/22,1.288
2010/12/23,0.874
2010/12/24,2.345
2010/12/25,-0.542
2010/12/26,0
2010/12/27,-1.055
2010/12/28,-0.051
2010/12/29,-1.204
2010/12/30,-0.154
2010/12/31,0.368
2011/01/01,-0.771
2011/01/02,-0.292
2011/01/03,0.342
2011/01/04,2.257
2011/01/05,1.122
2011/01/06,0.982
2011/01/07,-1.432
2011/01/08,-0.88
2011/01/09,-1.378
2011/01/10,0.108
2011/01/11,-0.098
2011/01/12,-0.212
2011/01/13,-1.229
2011/01/14,-0.416
2011/01/15,0.549
2011/01/16,0.616
2011/01/17,0
2011/01/18,1.041
2011/01/19,0.245
2011/01/20,-0.214
2011/01/21,-1.937
2011/01/22,0.207
2011/01/23,0.729
2011/01/24,-0.616
2011/01/25,0.503
2011/01/26,-0.471
2011/01/27,1.34
2011/01/28,-0.117
2011/01/29,0.944
2011/01/30,0.231
2011/01/31,-0.643
2011/02/01,-0.164
2011/02/02,-0.117
2011/02/03,0.529
2011/02/04,-1.358
2011/02/05,-1.069
2011/02/06,-0.864
2011/02/07,-0.329
2011/02/08,0.527
2011/02/09,-0.636
2011/02/10,0.648
2011/02/11,-0.829
2011/02/12,-0.153
2011/02/13,-0.469
2011/02/14,-0.395
2011/02/15,-0.947
2011/02/16,-1.066
2011/02/17,-1.113
2011/02/18,0.392
2011/02/19,2.737
2011/02/20,1.039
2011/02/21,0.63
2011/02/22,-2.119
2011/02/23,-1.347
2011/02/24,-0.466
2011/02/25,-0.425
2011/02/26,-0.709
2011/02/27,-1.055
2011/02/28,3.2
2011/03/01,5.86
2011/03/02,2.67
2011/03/03,-1.858
2011/03/04,-4.561
2011/03/05,-3.373
2011/03/06,-2.486
2011/03/07,0.309
2011/03/08,2.502
2011/03/09,3.745
2011/03/10,6.266
2011/03/11,3.376
2011/03/12,1.286
2011/03/13,-0.783
2011/03/14,1.78
2011/03/15,2.571
2011/03/16,-1.719
2011/03/17,-2.644
2011/03/18,-0.857
2011/03/19,1.934
2011/03/20,0.298
2011/03/21,-2.27
2011/03/22,-0.421
2011/03/23,-1.339
2011/03/24,-0.256
2011/03/25,-3.777
2011/03/26,1.263
2011/03/27,0.596
2011/03/28,0.248
2011/03/29,-1.6
2011/03/30,-0.839
2011/03/31,-1.407
2011/04/01,-0.653
2011/04/02,-1.231
2011/04/03,1.064
