Date,top100cap3rsi
2010/07/17,57.516
2010/07/18,62.906
2010/07/19,40.25
2010/07/20,27.511
2010/07/21,39.839
2010/07/22,32.099
2010/07/23,17.663
2010/07/24,26.823
2010/07/25,22.329
2010/07/26,92.606
2010/07/27,93.23
2010/07/28,91.33
2010/07/29,91.747
2010/07/30,89.265
2010/07/31,61.566
2010/08/01,61.802
2010/08/02,35.453
2010/08/03,55.082
2010/08/04,27.679
2010/08/05,47.093
2010/08/06,36.749
2010/08/07,30.23
2010/08/08,24.018
2010/08/09,78.198
2010/08/10,55.945
2010/08/11,79.866
2010/08/12,50.601
2010/08/13,64.171
2010/08/14,49.242
2010/08/15,41.183
2010/08/16,69.216
2010/08/17,81.79
2010/08/18,70.28
2010/08/19,63.172
2010/08/20,72.896
2010/08/21,55.274
2010/08/22,61.534
2010/08/23,49.972
2010/08/24,69.604
2010/08/25,32.252
2010/08/26,31.994
2010/08/27,63.222
2010/08/28,31.484
2010/08/29,17.537
2010/08/30,12.307
2010/08/31,48.43
2010/09/01,39.089
2010/09/02,35.547
2010/09/03,31.647
2010/09/04,45.909
2010/09/05,76.785
2010/09/06,55.885
2010/09/07,38.009
2010/09/08,19.814
2010/09/09,15.114
2010/09/10,12.744
2010/09/11,7.775
2010/09/12,50.649
2010/09/13,18.749
2010/09/14,12.605
2010/09/15,9.542
2010/09/16,47.033
2010/09/17,88.392
2010/09/18,89.391
2010/09/19,92.305
2010/09/20,93.35
2010/09/21,82.508
2010/09/22,60.609
2010/09/23,81.97
2010/09/24,85.175
2010/09/25,90.649
2010/09/26,93.099
2010/09/27,97.565
2010/09/28,99.394
2010/09/29,98.509
2010/09/30,88.581
2010/10/01,82.7
2010/10/02,93.146
2010/10/03,93.12
2010/10/04,54.791
2010/10/05,60.668
2010/10/06,51.509
2010/10/07,83.417
2010/10/08,87.798
2010/10/09,91.84
2010/10/10,94.334
2010/10/11,77.251
2010/10/12,75.317
2010/10/13,83.906
2010/10/14,90.275
2010/10/15,69.396
2010/10/16,82.074
2010/10/17,83.675
2010/10/18,91.134
2010/10/19,51.296
2010/10/20,58.923
2010/10/21,54.551
2010/10/22,60.663
2010/10/23,62.775
2010/10/24,50.959
2010/10/25,53.489
2010/10/26,87.875
2010/10/27,92.827
2010/10/28,64.152
2010/10/29,35.971
2010/10/30,29.083
2010/10/31,54.345
2010/11/01,51.275
2010/11/02,61.849
2010/11/03,36.609
2010/11/04,35.13
2010/11/05,60.886
2010/11/06,79.6
2010/11/07,42.723
2010/11/08,91.057
2010/11/09,82.714
2010/11/10,58.339
2010/11/11,49.192
2010/11/12,45.319
2010/11/13,28.768
2010/11/14,48.885
2010/11/15,38.921
2010/11/16,31.749
2010/11/17,55.29
2010/11/18,38.101
2010/11/19,30.48
2010/11/20,65.907
2010/11/21,59.063
2010/11/22,53.245
2010/11/23,75.16
2010/11/24,87.669
2010/11/25,91.34
2010/11/26,91.697
2010/11/27,69.255
2010/11/28,64.956
2010/11/29,37.288
2010/11/30,78.699
2010/12/01,90.889
2010/12/02,95.73
2010/12/03,97.579
2010/12/04,97.881
2010/12/05,98.082
2010/12/06,46.228
2010/12/07,37.769
2010/12/08,38.539
2010/12/09,25.876
2010/12/10,43.043
2010/12/11,48.327
2010/12/12,31.211
2010/12/13,81.72
2010/12/14,67.856
2010/12/15,51.928
2010/12/16,40.298
2010/12/17,37.275
2010/12/18,26.898
2010/12/19,10.477
2010/12/20,29.699
2010/12/21,10.932
2010/12/22,24.945
2010/12/23,21.277
2010/12/24,17.531
2010/12/25,29.437
2010/12/26,20.696
2010/12/27,65.213
2010/12/28,45.901
2010/12/29,18.605
2010/12/30,14.283
2010/12/31,8.897
2011/01/01,7.384
2011/01/02,5.752
2011/01/03,6.301
2011/01/04,4.711
2011/01/05,37.9
2011/01/06,22.247
2011/01/07,16.022
2011/01/08,15.383
2011/01/09,31.102
2011/01/10,8.889
2011/01/11,49.484
2011/01/12,37.67
2011/01/13,60.092
2011/01/14,66.216
2011/01/15,47.005
2011/01/16,72.034
2011/01/17,76.708
2011/01/18,43.03
2011/01/19,23.551
2011/01/20,24.828
2011/01/21,25.96
2011/01/22,20.572
2011/01/23,82.365
2011/01/24,64.574
2011/01/25,49.779
2011/01/26,23.833
2011/01/27,95.351
2011/01/28,93.833
2011/01/29,91.896
2011/01/30,87.544
2011/01/31,78.974
2011/02/01,82.898
2011/02/02,59.111
2011/02/03,64.132
2011/02/04,52.817
2011/02/05,58.412
2011/02/06,32.641
2011/02/07,62.959
2011/02/08,42.586
2011/02/09,58.871
2011/02/10,47.588
2011/02/11,31.974
2011/02/12,24.02
2011/02/13,19.543
2011/02/14,13.407
2011/02/15,21.265
2011/02/16,12.75
2011/02/17,8.601
2011/02/18,4.515
2011/02/19,3.643
2011/02/20,48.03
2011/02/21,32.68
2011/02/22,15.565
2011/02/23,13.231
2011/02/24,8.886
2011/02/25,6.973
2011/02/26,5.763
2011/02/27,84.039
2011/02/28,53.764
2011/03/01,68.948
2011/03/02,9.671
2011/03/03,9.171
2011/03/04,8.429
2011/03/05,11.189
2011/03/06,13.685
2011/03/07,12.733
2011/03/08,11.152
2011/03/09,9.566
2011/03/10,5.496
2011/03/11,3.141
2011/03/12,2.136
2011/03/13,1.758
2011/03/14,30.008
2011/03/15,23.13
2011/03/16,41.605
2011/03/17,59.836
2011/03/18,70.156
2011/03/19,57.23
2011/03/20,43.077
2011/03/21,63.307
2011/03/22,29.423
2011/03/23,47.538
2011/03/24,30.101
2011/03/25,21.56
2011/03/26,25.777
2011/03/27,11.195
2011/03/28,8.59
2011/03/29,7.596
2011/03/30,3.335
2011/03/31,2.209
2011/04/01,1.755
2011/04/02,0.639
2011/04/03,0.53
2011/04/04,0.353
2011/04/05,0.301
2011/04/06,2.462
2011/04/07,2.426
2011/04/08,1.542
2011/04/09,0.475
2011/04/10,0.385
2011/04/11,6.68
2011/04/12,2.692
2011/04/13,2.101
2011/04/14,80.93
2011/04/15,72.013
2011/04/16,61.442
2011/04/17,26.598
2011/04/18,20.563
2011/04/19,84.674
2011/04/20,79.479
2011/04/21,56.501
2011/04/22,52.043
2011/04/23,30.872
2011/04/24,25.282
2011/04/25,24.576
2011/04/26,21.726
2011/04/27,24.449
2011/04/28,11.908
2011/04/29,4.579
2011/04/30,76.209
2011/05/01,74.736
2011/05/02,69.992
2011/05/03,74.788
2011/05/04,82.412
2011/05/05,73.318
2011/05/06,37.623
2011/05/07,39.898
2011/05/08,25.409
2011/05/09,22.486
2011/05/10,20.765
2011/05/11,75.625
2011/05/12,83.446
2011/05/13,92.009
2011/05/14,92.224
2011/05/15,96.642
2011/05/16,97.144
2011/05/17,84.149
2011/05/18,89.43
2011/05/19,62.173
2011/05/20,41.217
2011/05/21,85.737
2011/05/22,79.07
2011/05/23,48.473
2011/05/24,41.97
2011/05/25,36.238
2011/05/26,30.57
2011/05/27,53.316
2011/05/28,48.348
2011/05/29,58.063
2011/05/30,62.617
2011/05/31,48.474
2011/06/01,53.937
2011/06/02,78.962
2011/06/03,88.514
2011/06/04,55.63
2011/06/05,68.975
2011/06/06,22.623
2011/06/07,14.435
2011/06/08,4.186
2011/06/09,3.683
2011/06/10,2.51
2011/06/11,23.783
2011/06/12,86.509
2011/06/13,87.69
2011/06/14,53.954
2011/06/15,48.561
2011/06/16,38.602
2011/06/17,30.155
2011/06/18,26.243
2011/06/19,69.435
2011/06/20,64.31
2011/06/21,57.029
2011/06/22,49.957
2011/06/23,82.433
2011/06/24,69.083
2011/06/25,44.409
2011/06/26,34.636
2011/06/27,59.503
2011/06/28,37.671
2011/06/29,24.447
2011/06/30,16.898
2011/07/01,26.657
2011/07/02,22.893
2011/07/03,18.642
2011/07/04,15.209
2011/07/05,32.384
2011/07/06,29.495
2011/07/07,23.628
2011/07/08,15.781
2011/07/09,10.18
2011/07/10,5.584
2011/07/11,4.626
2011/07/12,3.006
2011/07/13,1.904
2011/07/14,1.439
2011/07/15,1.031
2011/07/16,0.728
2011/07/17,0.52
2011/07/18,74.945
2011/07/19,53.906
2011/07/20,42.129
2011/07/21,31.58
2011/07/22,20.446
2011/07/23,17.291
2011/07/24,14.156
2011/07/25,8.637
2011/07/26,5.782
2011/07/27,3.037
2011/07/28,1.473
2011/07/29,1.349
2011/07/30,0.99
2011/07/31,0.481
2011/08/01,0.253
2011/08/02,0.237
2011/08/03,0.187
2011/08/04,56.549
2011/08/05,39.218
2011/08/06,79.222
2011/08/07,83.681
2011/08/08,91.545
2011/08/09,75.349
2011/08/10,66.025
2011/08/11,59.211
2011/08/12,52.067
2011/08/13,34.495
2011/08/14,20.335
2011/08/15,21.87
2011/08/16,14.415
2011/08/17,80.302
2011/08/18,73.813
2011/08/19,66.51
2011/08/20,56.913
2011/08/21,45.952
2011/08/22,43.887
2011/08/23,31.353
2011/08/24,65.198
2011/08/25,8.243
2011/08/26,8.221
2011/08/27,59.238
2011/08/28,56.605
2011/08/29,47.968
2011/08/30,43.366
2011/08/31,39.986
2011/09/01,50.947
2011/09/02,40.439
2011/09/03,25.251
2011/09/04,31.114
2011/09/05,22.253
2011/09/06,15.753
2011/09/07,88.35
2011/09/08,82.553
2011/09/09,87.101
2011/09/10,86.876
2011/09/11,98.335
2011/09/12,98.658
2011/09/13,93.743
2011/09/14,83.94
2011/09/15,71.53
2011/09/16,71.969
2011/09/17,61.491
2011/09/18,62.092
2011/09/19,35.63
2011/09/20,21.961
2011/09/21,85.107
2011/09/22,71.483
2011/09/23,56.744
2011/09/24,59.019
2011/09/25,38.733
2011/09/26,30.689
2011/09/27,26.575
2011/09/28,23.062
2011/09/29,18.129
2011/09/30,13.811
2011/10/01,10.452
2011/10/02,7.52
2011/10/03,4.994
2011/10/04,3.604
2011/10/05,2.316
2011/10/06,1.298
2011/10/07,59.765
2011/10/08,50.36
2011/10/09,38.857
2011/10/10,27.282
2011/10/11,21.475
2011/10/12,11.688
2011/10/13,31.495
2011/10/14,17.739
2011/10/15,13.519
2011/10/16,10.085
2011/10/17,3.465
2011/10/18,2.007
2011/10/19,7.218
2011/10/20,3.895
2011/10/21,40.413
2011/10/22,20.673
2011/10/23,20.906
2011/10/24,16.763
2011/10/25,12.387
2011/10/26,10.705
2011/10/27,6.924
2011/10/28,5.384
2011/10/29,85.393
2011/10/30,77.897
2011/10/31,60.832
2011/11/01,48.182
2011/11/02,37.695
2011/11/03,72.146
2011/11/04,58.361
2011/11/05,43.693
2011/11/06,33.295
2011/11/07,31.912
2011/11/08,9.943
2011/11/09,6.476
2011/11/10,6.178
2011/11/11,5.058
2011/11/12,4.705
2011/11/13,3.242
2011/11/14,2.053
2011/11/15,1.364
2011/11/16,44.77
