Date,confirmationtime14var
2010/07/17,8.469
2010/07/18,8.368
2010/07/19,8.434
2010/07/20,8.267
2010/07/21,7.611
2010/07/22,7.047
2010/07/23,7.085
2010/07/24,7.16
2010/07/25,6.831
2010/07/26,5.825
2010/07/27,4.95
2010/07/28,4.01
2010/07/29,2.334
2010/07/30,0.731
2010/07/31,0.736
2010/08/01,0.873
2010/08/02,0.982
2010/08/03,1.017
2010/08/04,1.129
2010/08/05,1.066
2010/08/06,1.564
2010/08/07,1.843
2010/08/08,1.75
2010/08/09,1.58
2010/08/10,1.48
2010/08/11,1.37
2010/08/12,1.347
2010/08/13,1.313
2010/08/14,1.562
2010/08/15,1.5
2010/08/16,1.91
2010/08/17,2.816
2010/08/18,3.231
2010/08/19,3.539
2010/08/20,3.385
2010/08/21,3.28
2010/08/22,3.343
2010/08/23,3.434
2010/08/24,3.527
2010/08/25,3.426
2010/08/26,3.389
2010/08/27,3.287
2010/08/28,2.637
2010/08/29,2.521
2010/08/30,2.496
2010/08/31,1.92
2010/09/01,1.472
2010/09/02,1.072
2010/09/03,1.096
2010/09/04,1.09
2010/09/05,1.001
2010/09/06,0.901
2010/09/07,0.719
2010/09/08,0.466
2010/09/09,0.463
2010/09/10,0.488
2010/09/11,0.475
2010/09/12,0.516
2010/09/13,0.477
2010/09/14,0.612
2010/09/15,0.599
2010/09/16,0.857
2010/09/17,1.009
2010/09/18,1.351
2010/09/19,1.442
2010/09/20,1.418
2010/09/21,1.35
2010/09/22,1.31
2010/09/23,0.858
2010/09/24,0.925
2010/09/25,0.74
2010/09/26,0.684
2010/09/27,0.612
2010/09/28,0.615
2010/09/29,0.676
2010/09/30,1.176
2010/10/01,1.446
2010/10/02,4.413
2010/10/03,5.207
2010/10/04,5.134
2010/10/05,5.673
2010/10/06,5.664
2010/10/07,5.132
2010/10/08,4.584
2010/10/09,4.2
2010/10/10,3.92
2010/10/11,3.183
2010/10/12,2.584
2010/10/13,2.696
2010/10/14,3.192
2010/10/15,3.327
2010/10/16,2.286
2010/10/17,2.332
2010/10/18,2.674
2010/10/19,2.171
2010/10/20,2.455
2010/10/21,2.291
2010/10/22,2.291
2010/10/23,2.128
2010/10/24,2.09
2010/10/25,1.845
2010/10/26,1.552
2010/10/27,1.425
2010/10/28,1.423
2010/10/29,1.281
2010/10/30,1.262
2010/10/31,1.239
2010/11/01,1.249
2010/11/02,1.176
2010/11/03,0.947
2010/11/04,0.936
2010/11/05,0.637
2010/11/06,0.551
2010/11/07,0.62
2010/11/08,0.801
2010/11/09,0.754
2010/11/10,0.758
2010/11/11,0.758
2010/11/12,0.923
2010/11/13,0.823
2010/11/14,0.869
2010/11/15,0.76
2010/11/16,0.64
2010/11/17,0.637
2010/11/18,0.679
2010/11/19,1.311
2010/11/20,3.443
2010/11/21,3.953
2010/11/22,3.67
2010/11/23,3.992
2010/11/24,3.933
2010/11/25,3.769
2010/11/26,3.79
2010/11/27,3.593
2010/11/28,3.092
2010/11/29,3.15
2010/11/30,3.179
2010/12/01,2.745
2010/12/02,2.183
2010/12/03,2.165
2010/12/04,1.208
2010/12/05,1.044
2010/12/06,1.137
2010/12/07,0.664
2010/12/08,0.681
2010/12/09,0.642
2010/12/10,1.169
2010/12/11,1.201
2010/12/12,1.209
2010/12/13,1.814
2010/12/14,1.875
2010/12/15,1.874
2010/12/16,1.922
2010/12/17,2.012
2010/12/18,1.986
2010/12/19,1.75
2010/12/20,1.529
2010/12/21,1.243
2010/12/22,0.914
2010/12/23,0.729
2010/12/24,0.719
2010/12/25,0.704
2010/12/26,0.793
2010/12/27,0.644
2010/12/28,0.64
2010/12/29,0.496
2010/12/30,0.485
2010/12/31,0.484
2011/01/01,0.534
2011/01/02,0.49
2011/01/03,0.499
2011/01/04,0.451
2011/01/05,0.458
2011/01/06,0.5
2011/01/07,0.468
2011/01/08,0.475
2011/01/09,0.405
2011/01/10,0.401
2011/01/11,0.411
2011/01/12,0.415
2011/01/13,0.51
2011/01/14,0.561
2011/01/15,0.518
2011/01/16,0.514
2011/01/17,0.554
2011/01/18,0.554
2011/01/19,0.53
2011/01/20,0.405
2011/01/21,0.404
2011/01/22,0.407
2011/01/23,0.399
2011/01/24,0.43
2011/01/25,0.475
2011/01/26,0.486
