Date,sentinusd7trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,4.938
2010/08/06,1.9
2010/08/07,-0.449
2010/08/08,-2.637
2010/08/09,-2.377
2010/08/10,-2.33
2010/08/11,-1.787
2010/08/12,-2.287
2010/08/13,-2.54
2010/08/14,-3.279
2010/08/15,-4.096
2010/08/16,-2.963
2010/08/17,-1.554
2010/08/18,-0.692
2010/08/19,-0.938
2010/08/20,-1.262
2010/08/21,-1.188
2010/08/22,-1.696
2010/08/23,-2.484
2010/08/24,-3.14
2010/08/25,-3.848
2010/08/26,-4.557
2010/08/27,-4.468
2010/08/28,-4.543
2010/08/29,-5.07
2010/08/30,-5.441
2010/08/31,-4.215
2010/09/01,-2.904
2010/09/02,-1.337
2010/09/03,-0.209
2010/09/04,0.576
2010/09/05,7.597
2010/09/06,11.431
2010/09/07,9.662
2010/09/08,6.452
2010/09/09,4.079
2010/09/10,1.527
2010/09/11,-0.862
2010/09/12,-2.536
2010/09/13,0.514
2010/09/14,1.459
2010/09/15,1.695
2010/09/16,1.367
2010/09/17,2.397
2010/09/18,2.513
2010/09/19,2.542
2010/09/20,2.132
2010/09/21,1.09
2010/09/22,0.564
2010/09/23,3.296
2010/09/24,2.926
2010/09/25,1.75
2010/09/26,0.188
2010/09/27,-0.931
2010/09/28,-0.081
2010/09/29,1.895
2010/09/30,2.199
2010/10/01,2.28
2010/10/02,11.837
2010/10/03,13.113
2010/10/04,22.922
2010/10/05,21.97
2010/10/06,16.82
2010/10/07,12.068
2010/10/08,9.072
2010/10/09,7.896
2010/10/10,6.408
2010/10/11,3.996
2010/10/12,2.024
2010/10/13,1.103
2010/10/14,1.805
2010/10/15,2.49
2010/10/16,3.708
2010/10/17,3.541
2010/10/18,4.366
2010/10/19,5.778
2010/10/20,6.144
2010/10/21,5.813
