Date,hashrate14mom
2010/07/17,2592553344
2010/07/18,1369895618
2010/07/19,1386463276
2010/07/20,1431996539
2010/07/21,1539648382
2010/07/22,1526137315
2010/07/23,1505854977
2010/07/24,1439747002
2010/07/25,1687705185
2010/07/26,1745404706
2010/07/27,1074100855
2010/07/28,607827464
2010/07/29,720713138
2010/07/30,317798059
2010/07/31,-510268974
2010/08/01,1117151262
2010/08/02,1431539294
2010/08/03,1264473625
2010/08/04,1018358601
2010/08/05,1436440821
2010/08/06,1482924683
2010/08/07,943010522
2010/08/08,1220577030
2010/08/09,1227946730
2010/08/10,896734583
2010/08/11,1808175229
2010/08/12,1786908459
2010/08/13,1729190162
2010/08/14,1932894888
2010/08/15,3121291849
2010/08/16,740413801
2010/08/17,641811940
2010/08/18,584302284
2010/08/19,313572572
2010/08/20,924693527
2010/08/21,2044777944
2010/08/22,1843039295
2010/08/23,1958887976
2010/08/24,2103935566
2010/08/25,1882870511
2010/08/26,1570505575
2010/08/27,1921172911
2010/08/28,1338930800
2010/08/29,-753029886
2010/08/30,983455243
2010/08/31,1758105154
2010/09/01,2023781047
2010/09/02,1404710266
2010/09/03,827979811
2010/09/04,714026449
2010/09/05,379904462
2010/09/06,-315094978
2010/09/07,-645895453
2010/09/08,-144031792
2010/09/09,-23926853
2010/09/10,-186748260
2010/09/11,427537954
2010/09/12,1101680434
2010/09/13,1526639439
2010/09/14,1261238087
2010/09/15,1099661427
2010/09/16,2020585815
2010/09/17,2815836870
2010/09/18,2557120834
2010/09/19,4586981186
2010/09/20,4388917045
2010/09/21,3855678721
2010/09/22,2327368443
2010/09/23,3696323648
2010/09/24,5068796755
2010/09/25,4133276525
2010/09/26,3074734586
2010/09/27,3875732611
2010/09/28,4226192534
2010/09/29,6131925535
2010/09/30,2751141081
2010/10/01,2588179364
2010/10/02,323664163
2010/10/03,-2681934559
2010/10/04,-353303890
2010/10/05,311360480
2010/10/06,1834575650
2010/10/07,1919763765
2010/10/08,-178078138
2010/10/09,133668614
2010/10/10,1743040673
2010/10/11,986399897
2010/10/12,94037846
2010/10/13,-1191587994
2010/10/14,3196668368
2010/10/15,2875398348
2010/10/16,6525041107
2010/10/17,11925633579
2010/10/18,8739710384
