Date,hashrate7var
2010/07/17,620263630776241408
2010/07/18,409343475044234240
2010/07/19,226163953533816832
2010/07/20,208656280614909440
2010/07/21,184241057355028480
2010/07/22,158881787034583552
2010/07/23,160073206341621760
2010/07/24,4576718390080000
2010/07/25,10112840895541248
2010/07/26,36642145790389248
2010/07/27,77085963683787264
2010/07/28,71316248597031424
2010/07/29,63562685229090816
2010/07/30,52897528274763776
2010/07/31,28359458567934976
2010/08/01,46667952809729024
2010/08/02,109294236043368448
2010/08/03,145214609622088704
2010/08/04,111849479461568512
2010/08/05,109948719449981952
2010/08/06,87551046157724672
2010/08/07,45268731631886336
2010/08/08,41925535217982464
2010/08/09,72144506646670336
2010/08/10,79226388204144640
2010/08/11,106141775948908544
2010/08/12,154575250874011648
2010/08/13,189833272915240960
2010/08/14,122113400252833792
2010/08/15,582285443959586816
2010/08/16,545153874679150592
2010/08/17,502668294047410176
2010/08/18,569855992022917120
2010/08/19,613262051573780480
2010/08/20,613965343811164160
2010/08/21,661934980350140416
2010/08/22,344508530626105344
2010/08/23,573496941491701760
2010/08/24,648915651531636736
2010/08/25,541309238643847168
2010/08/26,255785580068618240
2010/08/27,139127480416669696
2010/08/28,60709737979994112
2010/08/29,51523741018079232
2010/08/30,125821238842241024
2010/08/31,125923944780259328
2010/09/01,112923783712002048
2010/09/02,133227058360741888
2010/09/03,76131188693565440
2010/09/04,58768853333774336
2010/09/05,66803574248865792
2010/09/06,38589300890185728
2010/09/07,53886654598975488
2010/09/08,66727184619233280
2010/09/09,62613379204157440
2010/09/10,70999606640308224
2010/09/11,124379438640472064
2010/09/12,190762980723105792
2010/09/13,214897858675458048
2010/09/14,151117042286891008
2010/09/15,145423376718483456
2010/09/16,140696505858990080
2010/09/17,315512361033441280
2010/09/18,445634795415371776
2010/09/19,1440079030489047040
2010/09/20,1655954984591687680
2010/09/21,1416333080209252352
2010/09/22,978043968580911104
2010/09/23,652089037909688320
2010/09/24,957695003648344064
2010/09/25,809949090953641984
2010/09/26,763631220880211968
2010/09/27,844145484521439232
2010/09/28,949147861925396480
2010/09/29,1173660752248061952
2010/09/30,1023685267675267072
2010/10/01,1011687026452545536
2010/10/02,1589424005817958400
2010/10/03,2573588851488768000
2010/10/04,2619298079397593088
2010/10/05,2467404693427765248
2010/10/06,898763764724891648
2010/10/07,1384983920377593856
2010/10/08,1449476407343628288
2010/10/09,1356719912609677312
2010/10/10,614199929595805696
2010/10/11,557459529876209664
2010/10/12,238766566584123392
2010/10/13,124785997970243584
2010/10/14,599059055108128768
2010/10/15,1030493187437608960
2010/10/16,1887216740061609984
2010/10/17,7330490714866089984
2010/10/18,8604830054629408768
2010/10/19,6907617734906904576
2010/10/20,4998189309221044224
2010/10/21,9.5290049094932E+18
