Date,activeaddresses14roc
2010/07/17,124.581
2010/07/18,109.84
2010/07/19,153.786
2010/07/20,240.602
2010/07/21,111.227
2010/07/22,90.764
2010/07/23,87.356
2010/07/24,139.801
2010/07/25,263.203
2010/07/26,-65.137
2010/07/27,-61.411
2010/07/28,-90.034
2010/07/29,-73.848
2010/07/30,-65.906
2010/07/31,-40.92
2010/08/01,-32.388
2010/08/02,-35.494
2010/08/03,7.506
2010/08/04,-9.642
2010/08/05,36.728
2010/08/06,-2.147
2010/08/07,-46.68
2010/08/08,-72.608
2010/08/09,-37.157
2010/08/10,-23.476
2010/08/11,4.006
2010/08/12,9.659
2010/08/13,45.283
2010/08/14,18.526
2010/08/15,-31.452
2010/08/16,23.126
2010/08/17,-49.281
2010/08/18,-0.684
2010/08/19,-42.613
2010/08/20,2.821
2010/08/21,2.724
2010/08/22,0.342
2010/08/23,-16.067
2010/08/24,7.119
2010/08/25,-28.816
2010/08/26,12.608
2010/08/27,-41.322
2010/08/28,-6.394
2010/08/29,-8.235
2010/08/30,-32.383
2010/08/31,48.583
2010/09/01,-16.942
2010/09/02,15.532
2010/09/03,-23.78
2010/09/04,-14.583
2010/09/05,-6.485
2010/09/06,-21.746
2010/09/07,-36.234
2010/09/08,9.218
2010/09/09,-21.166
2010/09/10,8.853
2010/09/11,-17.837
2010/09/12,82.308
2010/09/13,37.548
2010/09/14,-9.537
2010/09/15,9.784
2010/09/16,26.151
2010/09/17,100.6
2010/09/18,24.612
2010/09/19,19.343
2010/09/20,37.965
2010/09/21,201.737
2010/09/22,90.642
2010/09/23,104.086
2010/09/24,49.168
2010/09/25,90.531
2010/09/26,-12.377
2010/09/27,76.741
2010/09/28,155.873
2010/09/29,80.967
2010/09/30,-6.861
2010/10/01,-15.553
2010/10/02,38.79
2010/10/03,2.752
2010/10/04,17.447
2010/10/05,-42.105
2010/10/06,-33.397
2010/10/07,-38.322
2010/10/08,0.743
2010/10/09,-9.091
2010/10/10,0
2010/10/11,-50.276
2010/10/12,-61.978
2010/10/13,-22.705
2010/10/14,-0.627
2010/10/15,-31.405
2010/10/16,19.615
2010/10/17,11.905
2010/10/18,14.372
2010/10/19,100
2010/10/20,70.954
2010/10/21,53.632
2010/10/22,19.557
2010/10/23,11.333
2010/10/24,36.597
2010/10/25,19.176
2010/10/26,34.056
2010/10/27,20.626
2010/10/28,57.413
2010/10/29,45.955
2010/10/30,-29.368
2010/10/31,-23.936
2010/11/01,-36.959
2010/11/02,-67.472
2010/11/03,-51.479
2010/11/04,-38.934
2010/11/05,-14.095
2010/11/06,-28.623
2010/11/07,-18.919
2010/11/08,108.91
2010/11/09,-25.173
2010/11/10,-41.719
2010/11/11,-39.78
2010/11/12,-46.226
2010/11/13,-12.14
2010/11/14,57.517
2010/11/15,636.348
2010/11/16,634.716
2010/11/17,17.596
2010/11/18,4.119
2010/11/19,-23.234
2010/11/20,31.544
2010/11/21,9.855
2010/11/22,-60.28
2010/11/23,1.852
2010/11/24,47.926
2010/11/25,51.747
2010/11/26,162.5
2010/11/27,41.969
2010/11/28,-21.643
2010/11/29,-79.527
2010/11/30,-76.315
2010/12/01,64.296
2010/12/02,28.481
2010/12/03,37.441
2010/12/04,-7.015
2010/12/05,-8.311
2010/12/06,17.628
2010/12/07,73.03
2010/12/08,-6.231
2010/12/09,-8.443
2010/12/10,-46.867
2010/12/11,30.17
2010/12/12,69.122
2010/12/13,86.222
2010/12/14,42.66
2010/12/15,-2.164
2010/12/16,16.872
2010/12/17,-9.648
2010/12/18,17.695
2010/12/19,56.547
2010/12/20,99.046
2010/12/21,-4.641
2010/12/22,33.998
2010/12/23,21.916
2010/12/24,33.805
2010/12/25,0.561
2010/12/26,-13.903
2010/12/27,-31.981
2010/12/28,-9.411
2010/12/29,-8.756
2010/12/30,14.963
2010/12/31,12.814
2011/01/01,25.524
2011/01/02,-3.401
2011/01/03,-4.312
2011/01/04,-1.01
2011/01/05,27.273
2011/01/06,14.047
2011/01/07,47.356
2011/01/08,36.896
2011/01/09,34.533
2011/01/10,26.053
2011/01/11,50.68
2011/01/12,27.576
2011/01/13,55.454
2011/01/14,78.953
2011/01/15,32.033
2011/01/16,46.147
2011/01/17,-3.577
2011/01/18,31.354
2011/01/19,0.325
2011/01/20,25.151
2011/01/21,57.018
2011/01/22,49.084
2011/01/23,39.696
2011/01/24,43.215
2011/01/25,-6.894
2011/01/26,25.574
2011/01/27,-2.535
2011/01/28,5.165
2011/01/29,46.062
2011/01/30,108.203
2011/01/31,65.356
2011/02/01,35.311
2011/02/02,-3.56
