Date,size7roc
2011/04/22,-38.156
2011/04/23,-11.012
2011/04/24,26.281
2011/04/25,-19.327
2011/04/26,-21.097
2011/04/27,17.213
2011/04/28,62.704
2011/04/29,53.616
2011/04/30,75.775
2011/05/01,62.772
2011/05/02,-3.408
2011/05/03,-6.208
2011/05/04,-44.305
2011/05/05,-11.817
2011/05/06,-9.042
2011/05/07,-33.652
2011/05/08,-43.146
2011/05/09,6.468
2011/05/10,30.95
2011/05/11,19.62
2011/05/12,26.917
2011/05/13,53.798
2011/05/14,20.474
2011/05/15,45.026
2011/05/16,30.447
2011/05/17,-7.254
2011/05/18,15.102
2011/05/19,37.618
2011/05/20,0.558
2011/05/21,17.359
2011/05/22,5.301
2011/05/23,1.969
2011/05/24,3.515
2011/05/25,4.498
2011/05/26,-16.829
2011/05/27,19.698
2011/05/28,42.11
2011/05/29,31.386
2011/05/30,76.21
2011/05/31,124.971
2011/06/01,71.089
2011/06/02,67.876
2011/06/03,77.853
2011/06/04,31.466
2011/06/05,47.781
2011/06/06,27.71
2011/06/07,23.121
2011/06/08,111.021
2011/06/09,46.314
2011/06/10,5.433
2011/06/11,4.532
2011/06/12,44.203
2011/06/13,18.761
2011/06/14,7.175
2011/06/15,-36.757
2011/06/16,28.276
2011/06/17,25.157
2011/06/18,38.883
2011/06/19,-2.615
2011/06/20,-14.885
2011/06/21,-30.025
2011/06/22,-13.743
2011/06/23,-44.246
2011/06/24,-24.727
2011/06/25,15.44
2011/06/26,30.513
2011/06/27,75.58
2011/06/28,77.196
2011/06/29,43.985
2011/06/30,25.59
2011/07/01,33.077
2011/07/02,-21.867
2011/07/03,-28.28
2011/07/04,-26.525
2011/07/05,3.147
2011/07/06,25.227
2011/07/07,37.966
2011/07/08,-17.141
2011/07/09,4.145
2011/07/10,38.537
2011/07/11,14.25
2011/07/12,-14.461
2011/07/13,-34.388
2011/07/14,-9.689
2011/07/15,-7.24
2011/07/16,3.413
2011/07/17,-24.893
2011/07/18,-0.836
2011/07/19,18.527
2011/07/20,30.887
2011/07/21,-7.777
2011/07/22,24.398
2011/07/23,-4.851
2011/07/24,0.562
2011/07/25,-2.715
2011/07/26,-26.577
2011/07/27,-19.421
2011/07/28,-1.072
2011/07/29,-26.095
2011/07/30,-23.836
2011/07/31,-9.032
