Date,hashrate90wma
2010/07/17,323361325
2010/07/18,352718471
2010/07/19,381647429
2010/07/20,412177422
2010/07/21,444153601
2010/07/22,475339843
2010/07/23,506364178
2010/07/24,535868491
2010/07/25,570318953
2010/07/26,611274289
2010/07/27,656173503
2010/07/28,690033680
2010/07/29,726624694
2010/07/30,764793036
2010/07/31,804119898
2010/08/01,851847843
2010/08/02,905786276
2010/08/03,957304121
2010/08/04,1004550988
2010/08/05,1059943095
2010/08/06,1115845961
2010/08/07,1158000945
2010/08/08,1210971990
2010/08/09,1270310790
2010/08/10,1326009324
2010/08/11,1390474934
2010/08/12,1456759032
2010/08/13,1522914601
2010/08/14,1594278064
2010/08/15,1699680265
2010/08/16,1758201564
2010/08/17,1811958652
2010/08/18,1860026933
2010/08/19,1910151732
2010/08/20,1974146747
2010/08/21,2048790117
2010/08/22,2129323267
2010/08/23,2218326278
2010/08/24,2306409522
2010/08/25,2397900116
2010/08/26,2483893809
2010/08/27,2577093051
2010/08/28,2662251545
2010/08/29,2735160987
2010/08/30,2799547436
2010/08/31,2875957447
2010/09/01,2952091613
2010/09/02,3016186645
2010/09/03,3081134118
2010/09/04,3154025091
2010/09/05,3225287738
2010/09/06,3289654622
2010/09/07,3345911704
2010/09/08,3416764798
2010/09/09,3484801073
2010/09/10,3556472164
2010/09/11,3633647022
2010/09/12,3713285744
2010/09/13,3793475542
2010/09/14,3879494469
2010/09/15,3961385325
2010/09/16,4051207540
2010/09/17,4158870288
2010/09/18,4268107184
2010/09/19,4419707992
2010/09/20,4558946770
2010/09/21,4677284088
2010/09/22,4775689866
2010/09/23,4900803848
2010/09/24,5058819872
2010/09/25,5200545833
2010/09/26,5320466859
2010/09/27,5457797991
2010/09/28,5607713949
2010/09/29,5794360128
2010/09/30,5913155417
2010/10/01,6045551612
2010/10/02,6129132255
2010/10/03,6188951564
2010/10/04,6288245635
2010/10/05,6381350897
2010/10/06,6487935131
2010/10/07,6622655053
2010/10/08,6743715210
2010/10/09,6855398370
2010/10/10,6980630706
2010/10/11,7106295594
2010/10/12,7224983957
2010/10/13,7352410816
2010/10/14,7509010936
2010/10/15,7671782390
2010/10/16,7865881149
2010/10/17,8153654027
2010/10/18,8408307708
2010/10/19,8624963686
2010/10/20,8862430469
2010/10/21,9230687406
2010/10/22,9457689641
2010/10/23,9698880100
2010/10/24,9958783307
2010/10/25,10285333436
