Date,top100cap90var
2011/05/03,2.928
2011/05/04,2.842
2011/05/05,2.756
2011/05/06,2.671
2011/05/07,2.59
2011/05/08,2.498
2011/05/09,2.41
2011/05/10,2.312
2011/05/11,2.207
2011/05/12,2.104
2011/05/13,2.001
2011/05/14,1.898
2011/05/15,1.798
2011/05/16,1.697
2011/05/17,1.597
2011/05/18,1.502
2011/05/19,1.409
2011/05/20,1.316
2011/05/21,1.232
2011/05/22,1.149
2011/05/23,1.067
2011/05/24,0.984
2011/05/25,0.904
2011/05/26,0.824
2011/05/27,0.747
2011/05/28,0.635
2011/05/29,0.539
2011/05/30,0.427
2011/05/31,0.431
2011/06/01,0.437
2011/06/02,0.447
2011/06/03,0.458
2011/06/04,0.468
2011/06/05,0.479
2011/06/06,0.484
2011/06/07,0.487
2011/06/08,0.486
2011/06/09,0.486
2011/06/10,0.487
2011/06/11,0.487
2011/06/12,0.523
2011/06/13,0.564
2011/06/14,0.58
2011/06/15,0.591
2011/06/16,0.597
2011/06/17,0.601
2011/06/18,0.603
2011/06/19,0.617
2011/06/20,0.63
2011/06/21,0.641
2011/06/22,0.65
2011/06/23,0.676
2011/06/24,0.698
2011/06/25,0.71
2011/06/26,0.718
2011/06/27,0.732
2011/06/28,0.738
2011/06/29,0.738
2011/06/30,0.735
2011/07/01,0.729
2011/07/02,0.721
2011/07/03,0.711
2011/07/04,0.699
2011/07/05,0.687
2011/07/06,0.675
2011/07/07,0.662
2011/07/08,0.644
2011/07/09,0.625
2011/07/10,0.605
2011/07/11,0.582
2011/07/12,0.558
2011/07/13,0.546
2011/07/14,0.534
2011/07/15,0.521
2011/07/16,0.499
2011/07/17,0.474
2011/07/18,0.473
2011/07/19,0.472
2011/07/20,0.469
2011/07/21,0.464
2011/07/22,0.454
2011/07/23,0.44
2011/07/24,0.427
2011/07/25,0.412
2011/07/26,0.399
2011/07/27,0.383
2011/07/28,0.355
2011/07/29,0.362
2011/07/30,0.369
2011/07/31,0.378
2011/08/01,0.394
2011/08/02,0.412
2011/08/03,0.43
2011/08/04,0.44
2011/08/05,0.452
2011/08/06,0.452
2011/08/07,0.45
2011/08/08,0.443
2011/08/09,0.443
2011/08/10,0.445
2011/08/11,0.45
2011/08/12,0.455
2011/08/13,0.461
2011/08/14,0.467
2011/08/15,0.474
2011/08/16,0.48
2011/08/17,0.481
2011/08/18,0.483
2011/08/19,0.473
2011/08/20,0.464
2011/08/21,0.462
2011/08/22,0.46
2011/08/23,0.46
