Date,fee_to_reward14trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,0
2010/08/17,0
2010/08/18,0
2010/08/19,0
2010/08/20,0
2010/08/21,0
2010/08/22,0
2010/08/23,0
2010/08/24,0
2010/08/25,0
2010/08/26,-2.557
2010/08/27,-2.868
2010/08/28,-3.21
2010/08/29,-3.369
2010/08/30,-3.35
2010/08/31,-3.339
2010/09/01,-3.388
2010/09/02,-3.528
2010/09/03,-3.731
2010/09/04,-3.975
2010/09/05,-4.233
2010/09/06,-4.506
2010/09/07,-4.786
2010/09/08,-5.064
2010/09/09,-5.225
2010/09/10,-5.407
2010/09/11,-5.603
2010/09/12,-5.653
2010/09/13,-5.743
2010/09/14,-5.852
2010/09/15,-5.984
2010/09/16,-6.132
2010/09/17,-6.291
2010/09/18,-6.197
2010/09/19,-6.164
2010/09/20,-6.18
2010/09/21,-6.234
2010/09/22,-6.318
2010/09/23,-6.423
2010/09/24,-6.544
2010/09/25,-6.677
2010/09/26,-6.816
2010/09/27,-6.925
2010/09/28,-3.816
2010/09/29,-1.559
2010/09/30,-0.151
2010/10/01,1.963
2010/10/02,2.972
2010/10/03,3.196
2010/10/04,2.905
2010/10/05,2.328
2010/10/06,1.612
2010/10/07,0.847
2010/10/08,0.086
2010/10/09,-0.647
2010/10/10,-1.336
2010/10/11,-1.977
2010/10/12,-2.57
2010/10/13,-2.112
2010/10/14,-1.941
2010/10/15,-1.976
2010/10/16,-2.152
2010/10/17,-2.421
2010/10/18,-2.704
2010/10/19,-3.031
2010/10/20,-3.379
2010/10/21,-3.715
2010/10/22,-4.056
2010/10/23,-4.244
