Date,sentbyaddress3var
2010/07/17,131994
2010/07/18,107223
2010/07/19,4930
2010/07/20,7350
2010/07/21,6208
2010/07/22,9561
2010/07/23,228.667
2010/07/24,12438
2010/07/25,366894
2010/07/26,365811
2010/07/27,422914
2010/07/28,1125
2010/07/29,1006
2010/07/30,950.222
2010/07/31,1910
2010/08/01,774.222
2010/08/02,1092
2010/08/03,15374
2010/08/04,11354
2010/08/05,2901
2010/08/06,5120
2010/08/07,15045
2010/08/08,3985
2010/08/09,6889
2010/08/10,3469
2010/08/11,3424
2010/08/12,774
2010/08/13,6550
2010/08/14,6806
2010/08/15,15414
2010/08/16,8356
2010/08/17,8356
2010/08/18,2775
2010/08/19,1361
2010/08/20,1606
2010/08/21,1203
2010/08/22,732.667
2010/08/23,138.667
2010/08/24,131.556
2010/08/25,50.667
2010/08/26,118.222
2010/08/27,1280
2010/08/28,788.222
2010/08/29,934.222
2010/08/30,1172
2010/08/31,3554
2010/09/01,880.667
2010/09/02,3123
2010/09/03,1875
2010/09/04,972.667
2010/09/05,956.222
2010/09/06,504
2010/09/07,458
2010/09/08,673.556
2010/09/09,932.667
2010/09/10,9.556
2010/09/11,234.889
2010/09/12,1488
2010/09/13,5226
2010/09/14,1338
2010/09/15,806
2010/09/16,764.222
2010/09/17,2083
2010/09/18,324.667
2010/09/19,128.222
2010/09/20,4082
2010/09/21,62426
2010/09/22,34794
2010/09/23,9283
2010/09/24,10595
2010/09/25,3198
2010/09/26,5835
2010/09/27,11891
2010/09/28,13201
2010/09/29,38984
2010/09/30,57635
2010/10/01,47413
2010/10/02,9973
2010/10/03,4323
2010/10/04,2474
2010/10/05,0.667
2010/10/06,89.556
2010/10/07,2173
2010/10/08,1291
2010/10/09,1442
2010/10/10,472.889
2010/10/11,792.889
2010/10/12,128
2010/10/13,224
2010/10/14,67.556
2010/10/15,216.889
2010/10/16,1293
2010/10/17,2102
2010/10/18,7058
2010/10/19,72127
2010/10/20,36956
2010/10/21,37703
2010/10/22,7075
2010/10/23,1550
2010/10/24,1732
2010/10/25,5700
2010/10/26,5766
2010/10/27,9431
2010/10/28,1862
2010/10/29,6734
2010/10/30,5190
2010/10/31,6362
2010/11/01,2286
2010/11/02,1064
2010/11/03,1352
2010/11/04,1112
2010/11/05,2232
2010/11/06,2024
2010/11/07,233.556
2010/11/08,1036
2010/11/09,1474
2010/11/10,1673
2010/11/11,160.667
2010/11/12,3550
2010/11/13,1962
2010/11/14,2774
2010/11/15,3132396
2010/11/16,2431145
2010/11/17,2357251
2010/11/18,1472036
2010/11/19,1547
2010/11/20,11804
2010/11/21,11108
2010/11/22,9921
2010/11/23,5583
2010/11/24,6767
2010/11/25,10409
2010/11/26,19761
2010/11/27,26963
2010/11/28,34328
2010/11/29,20.222
2010/11/30,142.889
2010/12/01,2614
2010/12/02,2363
2010/12/03,5453
2010/12/04,801.556
2010/12/05,484.667
2010/12/06,300.222
2010/12/07,6714
2010/12/08,3810
2010/12/09,2418
2010/12/10,3607
2010/12/11,13331
2010/12/12,19922
2010/12/13,582.889
2010/12/14,372.667
2010/12/15,144.889
2010/12/16,7043
2010/12/17,11398
2010/12/18,1598
2010/12/19,1980
2010/12/20,39828
2010/12/21,28449
2010/12/22,13731
2010/12/23,1396
2010/12/24,4993
2010/12/25,7098
2010/12/26,7444
2010/12/27,7289
2010/12/28,5245
2010/12/29,5945
2010/12/30,4625
2010/12/31,1506
2011/01/01,4172
2011/01/02,4818
2011/01/03,12242
2011/01/04,12374
2011/01/05,6074
2011/01/06,12067
2011/01/07,11467
2011/01/08,30564
2011/01/09,11617
2011/01/10,2831
2011/01/11,1842
2011/01/12,7268
2011/01/13,6685
2011/01/14,2015
2011/01/15,744
2011/01/16,1423
2011/01/17,2031
2011/01/18,1960
2011/01/19,3208
2011/01/20,1989
