Date,sentbyaddress3ema
2010/07/17,1090
2010/07/18,757.216
2010/07/19,655.108
2010/07/20,643.554
2010/07/21,541.777
2010/07/22,476.888
2010/07/23,440.944
2010/07/24,542.972
2010/07/25,1168
2010/07/26,787.993
2010/07/27,603.497
2010/07/28,473.248
2010/07/29,420.124
2010/07/30,356.562
2010/07/31,309.781
2010/08/01,320.391
2010/08/02,327.695
2010/08/03,461.848
2010/08/04,463.424
2010/08/05,503.712
2010/08/06,436.356
2010/08/07,340.678
2010/08/08,363.839
2010/08/09,402.919
2010/08/10,350.96
2010/08/11,356.48
2010/08/12,354.74
2010/08/13,441.87
2010/08/14,398.435
2010/08/15,312.217
2010/08/16,380.609
2010/08/17,350.304
2010/08/18,368.652
2010/08/19,334.826
2010/08/20,359.913
2010/08/21,345.957
2010/08/22,334.978
2010/08/23,343.489
2010/08/24,339.745
2010/08/25,338.872
2010/08/26,326.436
2010/08/27,289.718
2010/08/28,300.359
2010/08/29,270.68
2010/08/30,293.34
2010/08/31,340.17
2010/09/01,352.585
2010/09/02,305.792
2010/09/03,310.396
2010/09/04,276.198
2010/09/05,286.099
2010/09/06,273.05
2010/09/07,259.025
2010/09/08,282.512
2010/09/09,297.756
2010/09/10,304.878
2010/09/11,292.439
2010/09/12,332.72
2010/09/13,394.86
2010/09/14,391.43
2010/09/15,410.715
2010/09/16,386.857
2010/09/17,352.929
2010/09/18,345.464
2010/09/19,328.232
2010/09/20,393.116
2010/09/21,646.058
2010/09/22,714.029
2010/09/23,688.515
2010/09/24,609.257
2010/09/25,586.129
2010/09/26,486.564
2010/09/27,567.782
2010/09/28,498.391
2010/09/29,705.196
2010/09/30,542.598
2010/10/01,577.799
2010/10/02,569.399
2010/10/03,512.2
2010/10/04,484.1
2010/10/05,469.05
2010/10/06,452.025
2010/10/07,399.512
2010/10/08,395.756
2010/10/09,417.878
2010/10/10,406.939
2010/10/11,389.47
2010/10/12,392.735
2010/10/13,400.367
2010/10/14,394.184
2010/10/15,383.092
2010/10/16,419.046
2010/10/17,449.023
2010/10/18,546.511
2010/10/19,829.756
2010/10/20,835.878
2010/10/21,737.439
2010/10/22,723.719
2010/10/23,670.86
2010/10/24,648.43
2010/10/25,555.215
2010/10/26,587.607
2010/10/27,641.304
2010/10/28,617.152
2010/10/29,555.576
2010/10/30,486.288
2010/10/31,393.144
2010/11/01,373.572
2010/11/02,324.786
2010/11/03,339.393
2010/11/04,337.696
2010/11/05,390.848
2010/11/06,399.924
2010/11/07,418.962
2010/11/08,452.981
2010/11/09,422.991
2010/11/10,416.495
2010/11/11,397.748
2010/11/12,334.374
2010/11/13,334.187
2010/11/14,367.093
2010/11/15,2244
2010/11/16,2625
2010/11/17,1539
2010/11/18,975.506
2010/11/19,666.253
2010/11/20,638.126
2010/11/21,583.063
2010/11/22,476.532
2010/11/23,422.766
2010/11/24,483.383
2010/11/25,547.191
2010/11/26,708.596
2010/11/27,591.298
2010/11/28,535.649
2010/11/29,502.324
2010/11/30,500.162
2010/12/01,544.581
2010/12/02,510.791
2010/12/03,460.395
2010/12/04,459.698
2010/12/05,456.849
2010/12/06,474.924
2010/12/07,559.462
2010/12/08,567.231
2010/12/09,545.616
2010/12/10,487.808
2010/12/11,597.904
2010/12/12,672.452
2010/12/13,719.226
2010/12/14,756.613
2010/12/15,764.306
2010/12/16,685.153
2010/12/17,599.577
2010/12/18,594.288
2010/12/19,607.144
2010/12/20,817.072
2010/12/21,789.536
2010/12/22,794.268
2010/12/23,751.134
2010/12/24,688.567
2010/12/25,759.784
2010/12/26,766.392
2010/12/27,697.196
2010/12/28,743.098
2010/12/29,683.049
2010/12/30,700.524
2010/12/31,684.262
2011/01/01,753.631
2011/01/02,719.316
2011/01/03,837.658
2011/01/04,841.329
2011/01/05,938.164
2011/01/06,856.582
2011/01/07,895.791
2011/01/08,1047
2011/01/09,1058
2011/01/10,1092
2011/01/11,1133
2011/01/12,1054
2011/01/13,1068
2011/01/14,1055
2011/01/15,1081
2011/01/16,1105
2011/01/17,1065
2011/01/18,1060
2011/01/19,1108
2011/01/20,1123
2011/01/21,1267
2011/01/22,1430
2011/01/23,1374
2011/01/24,1480
2011/01/25,1277
2011/01/26,1224
2011/01/27,1141
2011/01/28,1240
2011/01/29,1428
2011/01/30,2115
2011/01/31,1893
2011/02/01,1580
2011/02/02,1328
2011/02/03,1140
2011/02/04,1131
2011/02/05,1070
2011/02/06,1064
2011/02/07,1055
2011/02/08,1046
2011/02/09,1317
2011/02/10,1971
2011/02/11,2468
2011/02/12,2461
2011/02/13,2386
2011/02/14,2451
2011/02/15,2566
2011/02/16,2487
2011/02/17,2620
2011/02/18,2630
2011/02/19,2330
2011/02/20,2385
2011/02/21,2454
2011/02/22,2628
2011/02/23,2767
2011/02/24,2757
2011/02/25,2677
2011/02/26,2555
2011/02/27,2658
2011/02/28,2427
2011/03/01,3024
2011/03/02,2799
2011/03/03,3365
2011/03/04,2936
2011/03/05,2779
2011/03/06,2672
2011/03/07,2602
2011/03/08,2928
2011/03/09,2795
2011/03/10,2573
2011/03/11,2490
2011/03/12,2523
2011/03/13,2426
2011/03/14,2216
2011/03/15,2451
2011/03/16,2429
2011/03/17,2523
2011/03/18,2471
2011/03/19,2545
2011/03/20,3221
2011/03/21,3426
2011/03/22,3220
2011/03/23,4173
2011/03/24,3684
2011/03/25,3381
2011/03/26,3607
2011/03/27,3716
2011/03/28,3818
2011/03/29,3764
2011/03/30,3298
2011/03/31,3311
2011/04/01,2897
2011/04/02,2801
2011/04/03,2796
2011/04/04,3132
2011/04/05,3187
2011/04/06,3059
2011/04/07,2826
2011/04/08,2781
2011/04/09,2771
2011/04/10,2728
2011/04/11,2852
2011/04/12,3001
2011/04/13,3219
2011/04/14,4115
2011/04/15,3574
2011/04/16,3359
2011/04/17,3385
2011/04/18,3833
2011/04/19,4406
2011/04/20,4241
2011/04/21,3670
2011/04/22,3440
2011/04/23,3525
2011/04/24,3472
2011/04/25,3705
2011/04/26,4281
2011/04/27,5150
2011/04/28,4919
2011/04/29,5093
2011/04/30,5780
2011/05/01,5802
2011/05/02,5208
2011/05/03,4951
2011/05/04,4844
2011/05/05,5153
2011/05/06,5302
2011/05/07,5554
2011/05/08,5191
2011/05/09,5428
2011/05/10,5341
2011/05/11,5262
2011/05/12,5311
2011/05/13,5946
2011/05/14,6489
2011/05/15,6420
2011/05/16,7092
2011/05/17,7422
2011/05/18,8328
2011/05/19,8272
2011/05/20,8290
2011/05/21,8395
2011/05/22,8605
2011/05/23,8976
2011/05/24,9449
2011/05/25,10050
2011/05/26,10642
2011/05/27,9419
2011/05/28,9032
2011/05/29,8656
2011/05/30,9086
2011/05/31,9680
2011/06/01,10368
2011/06/02,11165
2011/06/03,12520
2011/06/04,13715
2011/06/05,14024
2011/06/06,15156
2011/06/07,15016
2011/06/08,17299
2011/06/09,19001
2011/06/10,19077
2011/06/11,18871
2011/06/12,20034
2011/06/13,19869
2011/06/14,21772
2011/06/15,21762
2011/06/16,22057
2011/06/17,21018
2011/06/18,20446
2011/06/19,20575
2011/06/20,20059
2011/06/21,19062
2011/06/22,19741
2011/06/23,19149
2011/06/24,19145
2011/06/25,18278
2011/06/26,17821
2011/06/27,19645
2011/06/28,19545
2011/06/29,18676
2011/06/30,18040
2011/07/01,17917
2011/07/02,16199
2011/07/03,15804
2011/07/04,16527
2011/07/05,16622
2011/07/06,17588
2011/07/07,16600
2011/07/08,16121
2011/07/09,15011
2011/07/10,14717
2011/07/11,16219
2011/07/12,15497
2011/07/13,16029
2011/07/14,16130
2011/07/15,15289
2011/07/16,15473
2011/07/17,15047
2011/07/18,15476
2011/07/19,15686
2011/07/20,15725
2011/07/21,15108
2011/07/22,15509
2011/07/23,14585
2011/07/24,14559
2011/07/25,15551
2011/07/26,15332
2011/07/27,15006
2011/07/28,15007
2011/07/29,14342
2011/07/30,12883
2011/07/31,13834
2011/08/01,14260
2011/08/02,15039
2011/08/03,14345
2011/08/04,14301
2011/08/05,13853
2011/08/06,12847
2011/08/07,12571
2011/08/08,12812
2011/08/09,14497
2011/08/10,14798
2011/08/11,14335
2011/08/12,13577
2011/08/13,13630
2011/08/14,13808
2011/08/15,14205
2011/08/16,15174
2011/08/17,14314
2011/08/18,14096
2011/08/19,13755
2011/08/20,13371
2011/08/21,13436
2011/08/22,13775
2011/08/23,13485
2011/08/24,13343
2011/08/25,13136
2011/08/26,13100
2011/08/27,12412
2011/08/28,11430
2011/08/29,12483
2011/08/30,13171
2011/08/31,13246
2011/09/01,13068
2011/09/02,12828
2011/09/03,12032
2011/09/04,12558
2011/09/05,12654
2011/09/06,13557
2011/09/07,13221
2011/09/08,12600
2011/09/09,12823
2011/09/10,12053
2011/09/11,11974
2011/09/12,12101
2011/09/13,11818
2011/09/14,11527
2011/09/15,11689
2011/09/16,11348
2011/09/17,10716
2011/09/18,10914
2011/09/19,11396
2011/09/20,12326
2011/09/21,12534
2011/09/22,11665
2011/09/23,11334
2011/09/24,10815
2011/09/25,10355
2011/09/26,10256
2011/09/27,10458
2011/09/28,10586
2011/09/29,10289
2011/09/30,10345
2011/10/01,10019
2011/10/02,9568
2011/10/03,10299
2011/10/04,10217
2011/10/05,10400
2011/10/06,10571
2011/10/07,10520
2011/10/08,10027
2011/10/09,9820
2011/10/10,10088
2011/10/11,10358
2011/10/12,10407
2011/10/13,9691
2011/10/14,10168
2011/10/15,10135
2011/10/16,9507
2011/10/17,9925
2011/10/18,9399
2011/10/19,9286
2011/10/20,8828
2011/10/21,9006
2011/10/22,9070
2011/10/23,9469
2011/10/24,9953
2011/10/25,9852
2011/10/26,9571
2011/10/27,9010
2011/10/28,9015
2011/10/29,9412
2011/10/30,9018
2011/10/31,9133
2011/11/01,9436
2011/11/02,9707
2011/11/03,9846
2011/11/04,10684
2011/11/05,10444
2011/11/06,9677
2011/11/07,9537
2011/11/08,9983
2011/11/09,10526
2011/11/10,10808
2011/11/11,9916
2011/11/12,9565
2011/11/13,9405
2011/11/14,9809
2011/11/15,10216
2011/11/16,10152
2011/11/17,9521
2011/11/18,9449
2011/11/19,8429
2011/11/20,8104
2011/11/21,7717
2011/11/22,7946
2011/11/23,8045
2011/11/24,7816
2011/11/25,8077
2011/11/26,7702
2011/11/27,7737
2011/11/28,8480
2011/11/29,9444
2011/11/30,9878
2011/12/01,9855
2011/12/02,9781
2011/12/03,9271
2011/12/04,8861
2011/12/05,9113
2011/12/06,10312
2011/12/07,9742
2011/12/08,9262
2011/12/09,8948
2011/12/10,8840
2011/12/11,8474
2011/12/12,8154
2011/12/13,8095
2011/12/14,8388
2011/12/15,7800
