Date,transactionvalue30emaUSD
2011/05/07,219.851
2011/05/08,249.948
2011/05/09,244.565
2011/05/10,284.69
2011/05/11,287.114
2011/05/12,292.115
2011/05/13,325.446
2011/05/14,504.533
2011/05/15,509.288
2011/05/16,507.427
2011/05/17,498.239
2011/05/18,480.816
2011/05/19,466.767
2011/05/20,465.455
2011/05/21,486.08
2011/05/22,523.568
2011/05/23,525.4
2011/05/24,519.902
2011/05/25,517.627
2011/05/26,516.824
2011/05/27,544.796
2011/05/28,534.039
2011/05/29,529.732
2011/05/30,523.62
2011/05/31,515.978
2011/06/01,507.217
2011/06/02,506.803
2011/06/03,532.331
2011/06/04,555.523
2011/06/05,593.809
2011/06/06,652.466
2011/06/07,689.853
2011/06/08,760.609
2011/06/09,831.77
2011/06/10,917.59
2011/06/11,1027
2011/06/12,1119
2011/06/13,1186
2011/06/14,1246
2011/06/15,1585
2011/06/16,2293
2011/06/17,2291
2011/06/18,2258
2011/06/19,2554
2011/06/20,2519
2011/06/21,2731
2011/06/22,2680
2011/06/23,2678
2011/06/24,2985
2011/06/25,4005
2011/06/26,4190
2011/06/27,4091
2011/06/28,4523
2011/06/29,4534
2011/06/30,4406
2011/07/01,4228
2011/07/02,4063
2011/07/03,3868
2011/07/04,3752
2011/07/05,3549
2011/07/06,3369
2011/07/07,3200
2011/07/08,3027
2011/07/09,3076
2011/07/10,3151
2011/07/11,3037
2011/07/12,2960
2011/07/13,2910
2011/07/14,2921
2011/07/15,2799
2011/07/16,2744
2011/07/17,2625
2011/07/18,2772
2011/07/19,2855
2011/07/20,2726
2011/07/21,2694
2011/07/22,2672
2011/07/23,2571
2011/07/24,2464
2011/07/25,2442
2011/07/26,2411
2011/07/27,2398
2011/07/28,2612
2011/07/29,2526
2011/07/30,2409
2011/07/31,2317
2011/08/01,2224
2011/08/02,2117
2011/08/03,2016
2011/08/04,1911
2011/08/05,1832
2011/08/06,1743
2011/08/07,1656
2011/08/08,1622
2011/08/09,1671
2011/08/10,1652
2011/08/11,1585
2011/08/12,1512
2011/08/13,1440
2011/08/14,1388
2011/08/15,1327
2011/08/16,1268
2011/08/17,1215
2011/08/18,1175
2011/08/19,1152
2011/08/20,1101
2011/08/21,1053
2011/08/22,1010
2011/08/23,987.781
2011/08/24,977.456
2011/08/25,948.529
2011/08/26,908.861
2011/08/27,1080
2011/08/28,1029
2011/08/29,979.953
2011/08/30,934.121
2011/08/31,893.709
2011/09/01,860.215
2011/09/02,824.36
2011/09/03,792.037
2011/09/04,869.527
2011/09/05,976.683
2011/09/06,1101
2011/09/07,1071
2011/09/08,1028
2011/09/09,981.89
2011/09/10,932.52
2011/09/11,926.345
2011/09/12,903.186
2011/09/13,865.524
2011/09/14,827.26
2011/09/15,789.076
2011/09/16,771.726
2011/09/17,741.648
