Date,sentbyaddress90var
2010/07/17,473487
2010/07/18,473514
2010/07/19,473935
2010/07/20,474836
2010/07/21,474626
2010/07/22,474400
2010/07/23,474101
2010/07/24,474767
2010/07/25,497674
2010/07/26,497324
2010/07/27,496956
2010/07/28,496351
2010/07/29,495725
2010/07/30,495183
2010/07/31,494654
2010/08/01,494082
2010/08/02,493460
2010/08/03,493341
2010/08/04,492794
2010/08/05,492333
2010/08/06,491734
2010/08/07,491375
2010/08/08,490609
2010/08/09,489725
2010/08/10,488976
2010/08/11,488145
2010/08/12,487358
2010/08/13,486435
2010/08/14,485420
2010/08/15,485030
2010/08/16,484482
2010/08/17,484012
2010/08/18,483466
2010/08/19,483021
2010/08/20,482467
2010/08/21,482342
2010/08/22,481932
2010/08/23,481501
2010/08/24,481181
2010/08/25,480725
2010/08/26,480504
2010/08/27,480306
2010/08/28,479746
2010/08/29,479435
2010/08/30,478791
2010/08/31,478050
2010/09/01,477447
2010/09/02,476925
2010/09/03,476254
2010/09/04,475896
2010/09/05,475364
2010/09/06,475070
2010/09/07,474838
2010/09/08,474365
2010/09/09,474073
2010/09/10,473537
2010/09/11,473264
2010/09/12,472776
2010/09/13,472255
2010/09/14,471417
2010/09/15,470604
2010/09/16,469782
2010/09/17,469234
2010/09/18,468626
2010/09/19,468331
2010/09/20,467652
2010/09/21,469028
2010/09/22,469235
2010/09/23,468450
2010/09/24,467345
2010/09/25,466373
2010/09/26,465288
2010/09/27,464655
2010/09/28,463917
2010/09/29,464972
2010/09/30,464073
2010/10/01,463307
2010/10/02,462053
2010/10/03,460950
2010/10/04,459586
2010/10/05,458346
2010/10/06,457148
2010/10/07,456415
2010/10/08,455312
2010/10/09,455085
2010/10/10,408800
2010/10/11,399640
2010/10/12,49960
2010/10/13,43286
2010/10/14,38227
2010/10/15,38243
2010/10/16,38255
2010/10/17,38099
2010/10/18,38157
2010/10/19,43423
2010/10/20,45300
2010/10/21,45757
2010/10/22,46106
2010/10/23,25849
2010/10/24,26298
2010/10/25,26312
2010/10/26,26643
2010/10/27,27372
2010/10/28,27429
2010/10/29,27127
2010/10/30,27002
2010/10/31,27097
2010/11/01,26898
2010/11/02,27171
2010/11/03,27105
2010/11/04,27164
2010/11/05,26772
2010/11/06,26754
2010/11/07,26754
2010/11/08,26576
2010/11/09,26535
2010/11/10,26465
2010/11/11,26407
2010/11/12,26635
2010/11/13,26262
2010/11/14,26275
2010/11/15,175261
2010/11/16,245345
2010/11/17,244903
2010/11/18,244837
2010/11/19,244746
2010/11/20,244468
2010/11/21,244181
2010/11/22,244059
2010/11/23,243948
2010/11/24,243502
2010/11/25,242806
2010/11/26,243624
2010/11/27,242736
2010/11/28,242250
2010/11/29,242059
2010/11/30,241757
2010/12/01,240933
2010/12/02,240418
2010/12/03,239616
2010/12/04,239017
2010/12/05,238207
2010/12/06,237225
2010/12/07,236658
2010/12/08,236019
2010/12/09,235367
2010/12/10,234689
2010/12/11,234535
2010/12/12,234776
2010/12/13,234849
2010/12/14,235169
2010/12/15,235085
2010/12/16,234332
2010/12/17,233717
2010/12/18,232879
2010/12/19,232702
2010/12/20,233764
2010/12/21,233683
2010/12/22,234106
2010/12/23,234210
2010/12/24,234210
2010/12/25,234330
2010/12/26,234635
2010/12/27,234311
2010/12/28,233633
2010/12/29,233085
2010/12/30,233226
2010/12/31,233246
2011/01/01,233494
2011/01/02,233283
2011/01/03,234275
2011/01/04,234447
2011/01/05,235422
2011/01/06,234999
2011/01/07,235543
2011/01/08,238259
2011/01/09,239295
2011/01/10,240909
2011/01/11,242971
2011/01/12,243019
2011/01/13,243697
2011/01/14,244430
2011/01/15,245748
2011/01/16,247717
2011/01/17,247009
2011/01/18,248141
2011/01/19,250287
2011/01/20,252247
2011/01/21,257372
2011/01/22,265471
2011/01/23,268256
2011/01/24,275736
2011/01/25,276781
2011/01/26,278265
2011/01/27,278304
2011/01/28,280289
2011/01/29,285080
2011/01/30,326618
2011/01/31,330905
2011/02/01,330122
2011/02/02,327626
2011/02/03,325746
2011/02/04,324066
2011/02/05,322097
2011/02/06,320666
2011/02/07,318165
2011/02/08,315725
2011/02/09,317723
2011/02/10,344877
2011/02/11,385344
2011/02/12,405660
2011/02/13,315883
2011/02/14,296395
2011/02/15,325415
2011/02/16,343377
2011/02/17,371399
2011/02/18,397188
2011/02/19,404066
2011/02/20,418458
2011/02/21,434211
2011/02/22,460954
2011/02/23,491130
2011/02/24,516961
2011/02/25,532279
2011/02/26,541905
2011/02/27,560138
2011/02/28,562671
2011/03/01,616497
2011/03/02,625392
2011/03/03,688296
2011/03/04,692245
2011/03/05,697920
2011/03/06,701845
2011/03/07,706950
2011/03/08,732195
2011/03/09,735738
2011/03/10,729356
2011/03/11,729222
2011/03/12,732095
2011/03/13,730315
2011/03/14,724546
2011/03/15,728691
2011/03/16,722877
2011/03/17,717812
2011/03/18,709999
2011/03/19,705688
2011/03/20,751429
2011/03/21,778284
2011/03/22,783294
2011/03/23,889003
2011/03/24,890724
2011/03/25,893116
2011/03/26,918109
2011/03/27,936271
2011/03/28,960519
2011/03/29,969122
2011/03/30,955290
2011/03/31,949392
2011/04/01,932168
2011/04/02,912177
2011/04/03,900422
2011/04/04,898699
2011/04/05,895004
2011/04/06,876592
2011/04/07,858353
2011/04/08,847808
2011/04/09,833538
2011/04/10,819428
2011/04/11,809182
2011/04/12,795077
2011/04/13,788879
2011/04/14,842904
2011/04/15,826795
2011/04/16,811969
2011/04/17,797423
2011/04/18,807721
2011/04/19,850553
2011/04/20,850970
2011/04/21,837030
2011/04/22,828328
2011/04/23,818019
2011/04/24,810368
2011/04/25,797104
2011/04/26,818581
2011/04/27,900015
2011/04/28,912480
2011/04/29,957611
2011/04/30,1096795
2011/05/01,1168673
2011/05/02,1163417
2011/05/03,1150168
2011/05/04,1129527
2011/05/05,1144612
2011/05/06,1149116
2011/05/07,1169807
2011/05/08,1140775
2011/05/09,1143031
2011/05/10,1146727
2011/05/11,1174757
2011/05/12,1213321
2011/05/13,1309048
2011/05/14,1429527
2011/05/15,1503124
2011/05/16,1684022
2011/05/17,1850565
2011/05/18,2174446
2011/05/19,2374933
2011/05/20,2555130
2011/05/21,2760604
2011/05/22,2992001
2011/05/23,3281370
2011/05/24,3632690
2011/05/25,4064007
2011/05/26,4559126
2011/05/27,4674329
2011/05/28,4834284
2011/05/29,4927781
2011/05/30,5183951
2011/05/31,5480785
2011/06/01,5911847
2011/06/02,6410178
2011/06/03,7228011
2011/06/04,8223391
2011/06/05,9059885
2011/06/06,10331392
2011/06/07,11212555
2011/06/08,13234932
2011/06/09,15541501
2011/06/10,17303500
2011/06/11,18841880
2011/06/12,21035977
2011/06/13,22752121
2011/06/14,25668146
2011/06/15,27832645
2011/06/16,30079852
2011/06/17,31537838
2011/06/18,33022222
2011/06/19,34646229
2011/06/20,35822646
2011/06/21,36788204
2011/06/22,38090103
2011/06/23,38857102
2011/06/24,39785077
2011/06/25,40298137
2011/06/26,40767953
2011/06/27,42088326
2011/06/28,42717911
2011/06/29,43026381
2011/06/30,43083963
2011/07/01,43189068
2011/07/02,42812560
2011/07/03,42606231
2011/07/04,42570342
2011/07/05,42358759
2011/07/06,42320471
2011/07/07,41843871
2011/07/08,41333712
2011/07/09,40629502
2011/07/10,39982540
2011/07/11,39673773
2011/07/12,39062526
2011/07/13,38838521
2011/07/14,38203648
2011/07/15,37415687
2011/07/16,36727408
2011/07/17,36098311
2011/07/18,35645268
2011/07/19,35002474
2011/07/20,34119057
2011/07/21,33153575
2011/07/22,32313509
2011/07/23,31307555
2011/07/24,30403847
2011/07/25,29754956
2011/07/26,29199679
2011/07/27,28370139
2011/07/28,27635841
2011/07/29,27066778
