Date,price3trxUSD
2011/04/24,8.296
2011/04/25,6.724
2011/04/26,5.504
2011/04/27,5.491
2011/04/28,6.444
2011/04/29,9.736
2011/04/30,14.293
2011/05/01,13.851
2011/05/02,10.248
2011/05/03,7.653
2011/05/04,6.067
2011/05/05,4.266
2011/05/06,2.927
2011/05/07,2.545
2011/05/08,2.914
2011/05/09,3.075
2011/05/10,6.187
2011/05/11,9.78
2011/05/12,10.452
2011/05/13,12.527
2011/05/14,12.272
2011/05/15,8.438
2011/05/16,6.302
2011/05/17,4.793
2011/05/18,2.43
2011/05/19,0.404
2011/05/20,-1.599
2011/05/21,-2.87
2011/05/22,-2.284
2011/05/23,-0.498
2011/05/24,1.325
2011/05/25,3.28
2011/05/26,4.806
2011/05/27,4.889
2011/05/28,3.784
2011/05/29,2.508
2011/05/30,1.976
2011/05/31,1.766
2011/06/01,2.045
2011/06/02,3.349
2011/06/03,6.939
2011/06/04,13.068
2011/06/05,14.93
2011/06/06,12.356
2011/06/07,12.093
2011/06/08,14.741
2011/06/09,15.135
2011/06/10,10.541
2011/06/11,2.687
2011/06/12,-3.026
2011/06/13,-4.088
2011/06/14,-3.401
2011/06/15,-2.486
2011/06/16,-2.382
2011/06/17,-3.371
2011/06/18,-3.608
2011/06/19,-2.729
2011/06/20,-1.913
2011/06/21,-1.271
2011/06/22,-0.811
2011/06/23,-0.502
2011/06/24,-0.304
2011/06/25,-0.181
2011/06/26,-0.12
2011/06/27,-0.362
2011/06/28,-0.293
2011/06/29,-0.146
2011/06/30,-0.359
2011/07/01,-1.016
2011/07/02,-1.548
2011/07/03,-1.597
2011/07/04,-1.964
2011/07/05,-2.961
2011/07/06,-2.867
2011/07/07,-1.596
2011/07/08,-0.746
2011/07/09,-0.45
2011/07/10,-0.066
2011/07/11,0.074
2011/07/12,-0.28
2011/07/13,-0.589
2011/07/14,-0.671
2011/07/15,-0.672
2011/07/16,-0.703
2011/07/17,-0.926
2011/07/18,-1.058
2011/07/19,-0.678
2011/07/20,-0.22
2011/07/21,-0.064
2011/07/22,-0.027
2011/07/23,0.014
2011/07/24,0.166
2011/07/25,0.398
2011/07/26,0.42
2011/07/27,0.311
2011/07/28,0.002
2011/07/29,-0.354
2011/07/30,-0.476
2011/07/31,-0.516
2011/08/01,-0.664
2011/08/02,-1.27
2011/08/03,-3.277
2011/08/04,-4.787
2011/08/05,-4.807
2011/08/06,-6.326
2011/08/07,-7.847
2011/08/08,-7.227
2011/08/09,-4.4
2011/08/10,-0.491
2011/08/11,1.426
2011/08/12,1.472
2011/08/13,1.537
2011/08/14,2.255
2011/08/15,3.037
2011/08/16,3.107
2011/08/17,2.482
2011/08/18,1.74
2011/08/19,1.538
2011/08/20,1.667
2011/08/21,1.352
2011/08/22,0.657
2011/08/23,-0.014
2011/08/24,-0.378
2011/08/25,-1.199
2011/08/26,-3.054
2011/08/27,-4.463
2011/08/28,-4.15
2011/08/29,-3.027
2011/08/30,-2.146
2011/08/31,-1.988
2011/09/01,-2.172
2011/09/02,-1.723
2011/09/03,-1.063
2011/09/04,-0.885
2011/09/05,-1.422
2011/09/06,-2.548
2011/09/07,-3.252
2011/09/08,-3.459
2011/09/09,-4.88
2011/09/10,-6.842
2011/09/11,-6.615
2011/09/12,-4.104
2011/09/13,-2.078
2011/09/14,-1.279
2011/09/15,-1.926
2011/09/16,-3.095
2011/09/17,-3.519
2011/09/18,-2.822
2011/09/19,-1.13
2011/09/20,1.114
2011/09/21,2.347
2011/09/22,1.703
2011/09/23,0.842
2011/09/24,0.332
2011/09/25,-0.22
2011/09/26,-1.1
2011/09/27,-1.935
2011/09/28,-2.251
2011/09/29,-2.24
2011/09/30,-1.515
2011/10/01,-0.485
2011/10/02,-0.039
2011/10/03,0.104
2011/10/04,0.04
2011/10/05,-0.215
2011/10/06,-0.623
2011/10/07,-1.508
2011/10/08,-2.754
2011/10/09,-3.412
2011/10/10,-3.181
2011/10/11,-2.864
2011/10/12,-2.227
2011/10/13,-1.401
2011/10/14,-1.024
2011/10/15,-1.092
2011/10/16,-1.713
2011/10/17,-3.905
2011/10/18,-6.76
2011/10/19,-8.322
2011/10/20,-8.452
2011/10/21,-6.823
2011/10/22,-3.038
2011/10/23,0.83
2011/10/24,1.32
2011/10/25,0.113
2011/10/26,-0.183
2011/10/27,0.447
2011/10/28,1.752
2011/10/29,3.38
2011/10/30,3.92
2011/10/31,2.827
2011/11/01,1.522
2011/11/02,0.666
2011/11/03,0.212
2011/11/04,-0.237
2011/11/05,-0.822
2011/11/06,-1.33
2011/11/07,-1.35
2011/11/08,-0.98
2011/11/09,-0.664
2011/11/10,-0.844
2011/11/11,-0.688
2011/11/12,-0.111
2011/11/13,0.101
2011/11/14,-1.546
2011/11/15,-3.859
2011/11/16,-4.03
2011/11/17,-3.54
2011/11/18,-3.977
2011/11/19,-4.165
2011/11/20,-3.296
2011/11/21,-2.056
2011/11/22,-0.77
2011/11/23,0.105
2011/11/24,0.744
2011/11/25,1.439
2011/11/26,1.573
