Date,confirmationtime3std
2011/05/02,0.603
2011/05/03,0.676
2011/05/04,0.035
2011/05/05,0.711
2011/05/06,0.679
2011/05/07,0.133
2011/05/08,0.133
2011/05/09,0.604
2011/05/10,1.546
2011/05/11,1.606
2011/05/12,0.816
2011/05/13,1.291
2011/05/14,2.115
2011/05/15,0.826
2011/05/16,0.626
2011/05/17,0.803
2011/05/18,0.7
2011/05/19,2.982
2011/05/20,2.798
2011/05/21,1.768
2011/05/22,0.784
2011/05/23,1.235
2011/05/24,0.765
2011/05/25,0.285
2011/05/26,0.147
2011/05/27,3.628
2011/05/28,3.896
2011/05/29,1.054
2011/05/30,1.246
2011/05/31,1.406
2011/06/01,1.724
2011/06/02,1.869
2011/06/03,0.467
2011/06/04,0.947
2011/06/05,0.588
2011/06/06,0.618
2011/06/07,1.908
2011/06/08,1.919
2011/06/09,1.645
2011/06/10,1.237
2011/06/11,0.715
2011/06/12,0.613
2011/06/13,0.533
2011/06/14,0.429
2011/06/15,0.968
2011/06/16,2.423
2011/06/17,2.563
2011/06/18,0.57
2011/06/19,1.067
2011/06/20,0.979
2011/06/21,0.63
2011/06/22,0.523
2011/06/23,0.384
2011/06/24,0.926
2011/06/25,3.565
2011/06/26,3.036
2011/06/27,1.312
2011/06/28,0.938
2011/06/29,0.536
2011/06/30,1.197
2011/07/01,0.763
2011/07/02,0.848
2011/07/03,0.33
2011/07/04,0.222
2011/07/05,1.673
2011/07/06,1.559
2011/07/07,1.509
2011/07/08,1.96
2011/07/09,1.859
2011/07/10,1.457
2011/07/11,1.106
2011/07/12,1.148
2011/07/13,2.201
2011/07/14,2.427
2011/07/15,2.012
2011/07/16,0.943
2011/07/17,0.576
2011/07/18,0.661
2011/07/19,1.575
2011/07/20,1.405
2011/07/21,0.561
2011/07/22,0.159
2011/07/23,0.341
2011/07/24,1.003
2011/07/25,1.096
2011/07/26,0.491
2011/07/27,0.476
2011/07/28,1.004
2011/07/29,0.828
2011/07/30,0.587
