Date,sentbyaddress30mom
2010/07/17,206
2010/07/18,254
2010/07/19,356
2010/07/20,435
2010/07/21,200
2010/07/22,195
2010/07/23,182
2010/07/24,442
2010/07/25,1632
2010/07/26,239
2010/07/27,232
2010/07/28,179
2010/07/29,151
2010/07/30,59
2010/07/31,20
2010/08/01,133
2010/08/02,101
2010/08/03,416
2010/08/04,265
2010/08/05,376
2010/08/06,183
2010/08/07,56
2010/08/08,171
2010/08/09,253
2010/08/10,-65
2010/08/11,-2208
2010/08/12,-1072
2010/08/13,-5551
2010/08/14,-854
2010/08/15,-875
2010/08/16,59
2010/08/17,-104
2010/08/18,-166
2010/08/19,-331
2010/08/20,-55
2010/08/21,-80
2010/08/22,-81
2010/08/23,-293
2010/08/24,-1457
2010/08/25,-70
2010/08/26,-105
2010/08/27,-90
2010/08/28,-56
2010/08/29,-52
2010/08/30,53
2010/08/31,56
2010/09/01,30
2010/09/02,-337
2010/09/03,-150
2010/09/04,-302
2010/09/05,-73
2010/09/06,15
2010/09/07,-142
2010/09/08,-136
2010/09/09,14
2010/09/10,-50
2010/09/11,-73
2010/09/12,-156
2010/09/13,102
2010/09/14,162
2010/09/15,-19
2010/09/16,43
2010/09/17,-68
2010/09/18,37
2010/09/19,-74
2010/09/20,126
2010/09/21,575
2010/09/22,430
2010/09/23,327
2010/09/24,192
2010/09/25,249
2010/09/26,134
2010/09/27,338
2010/09/28,188
2010/09/29,596
2010/09/30,-7
2010/10/01,248
2010/10/02,302
2010/10/03,140
2010/10/04,214
2010/10/05,158
2010/10/06,175
2010/10/07,102
2010/10/08,86
2010/10/09,127
2010/10/10,84
2010/10/11,92
2010/10/12,23
2010/10/13,-49
2010/10/14,0
2010/10/15,-58
2010/10/16,92
2010/10/17,160
2010/10/18,306
2010/10/19,802
2010/10/20,384
2010/10/21,-260
2010/10/22,-72
2010/10/23,-45
2010/10/24,96
2010/10/25,-101
2010/10/26,233
2010/10/27,46
2010/10/28,164
2010/10/29,-418
2010/10/30,37
2010/10/31,-313
2010/11/01,-207
2010/11/02,-179
2010/11/03,-102
2010/11/04,-118
2010/11/05,9
2010/11/06,62
2010/11/07,46
2010/11/08,47
2010/11/09,-3
2010/11/10,38
2010/11/11,-17
2010/11/12,-137
2010/11/13,-54
2010/11/14,28
2010/11/15,3666
2010/11/16,2527
2010/11/17,-191
2010/11/18,-701
2010/11/19,-485
2010/11/20,-29
2010/11/21,-182
2010/11/22,-248
2010/11/23,-257
2010/11/24,82
2010/11/25,-9
2010/11/26,175
2010/11/27,-119
2010/11/28,-14
2010/11/29,52
2010/11/30,198
2010/12/01,235
2010/12/02,201
2010/12/03,56
2010/12/04,123
2010/12/05,10
2010/12/06,84
2010/12/07,206
2010/12/08,88
2010/12/09,131
2010/12/10,20
2010/12/11,329
2010/12/12,476
2010/12/13,432
2010/12/14,394
2010/12/15,-3349
2010/12/16,-2400
2010/12/17,61
2010/12/18,177
