Date,size7wma
2010/07/17,934.173
2010/07/18,895.803
2010/07/19,842.888
2010/07/20,849.832
2010/07/21,726.745
2010/07/22,670.425
2010/07/23,613.612
2010/07/24,809.384
2010/07/25,1402
2010/07/26,1352
2010/07/27,1237
2010/07/28,1799
2010/07/29,2018
2010/07/30,1711
2010/07/31,1364
2010/08/01,1046
2010/08/02,827.858
2010/08/03,727.096
2010/08/04,540.062
2010/08/05,567.588
2010/08/06,606.824
2010/08/07,612.099
2010/08/08,583.349
2010/08/09,809.871
2010/08/10,724.064
2010/08/11,655.984
2010/08/12,578.363
2010/08/13,611.844
2010/08/14,556.177
2010/08/15,483.758
2010/08/16,577.294
2010/08/17,595.609
2010/08/18,939.286
2010/08/19,883.62
2010/08/20,815.147
2010/08/21,741.197
2010/08/22,648.845
2010/08/23,557.93
2010/08/24,574.082
2010/08/25,479.333
2010/08/26,478.143
2010/08/27,457.246
2010/08/28,473.784
2010/08/29,439.447
2010/08/30,471.661
2010/08/31,573.671
2010/09/01,650.087
2010/09/02,637.737
2010/09/03,598.563
2010/09/04,533.801
2010/09/05,510.293
2010/09/06,471.99
2010/09/07,430.077
2010/09/08,429.602
2010/09/09,479.527
2010/09/10,487.26
2010/09/11,479.186
2010/09/12,516.355
2010/09/13,567.117
2010/09/14,563.573
2010/09/15,597.704
2010/09/16,570.424
2010/09/17,592.711
2010/09/18,540.61
2010/09/19,504.675
2010/09/20,521.229
2010/09/21,756.568
2010/09/22,879.802
2010/09/23,883.494
2010/09/24,822.004
2010/09/25,805.576
2010/09/26,729.653
2010/09/27,744.021
2010/09/28,814.999
2010/09/29,1142
2010/09/30,1074
2010/10/01,1096
2010/10/02,1279
2010/10/03,1205
2010/10/04,1112
2010/10/05,1043
2010/10/06,908.703
2010/10/07,817.342
2010/10/08,777.97
2010/10/09,757.323
2010/10/10,700.663
2010/10/11,661.496
2010/10/12,642.011
2010/10/13,676.064
2010/10/14,629.215
2010/10/15,576.66
2010/10/16,545.294
2010/10/17,505.555
2010/10/18,532.724
2010/10/19,664.566
2010/10/20,705.803
2010/10/21,772.889
2010/10/22,898.228
2010/10/23,907.478
2010/10/24,876.224
2010/10/25,801.436
2010/10/26,724.132
2010/10/27,734.087
2010/10/28,697.3
2010/10/29,669.631
2010/10/30,597.474
2010/10/31,556.895
2010/11/01,535.175
2010/11/02,483.177
2010/11/03,455.865
2010/11/04,440.474
2010/11/05,480.722
2010/11/06,477.586
2010/11/07,472.449
2010/11/08,546.865
2010/11/09,537.369
2010/11/10,525.028
2010/11/11,502.035
2010/11/12,468.533
2010/11/13,437.99
2010/11/14,439.224
2010/11/15,2496
2010/11/16,4810
2010/11/17,4141
2010/11/18,3691
2010/11/19,6511
2010/11/20,9945
2010/11/21,12061
2010/11/22,9657
2010/11/23,7577
2010/11/24,7047
2010/11/25,7344
2010/11/26,5448
2010/11/27,3713
2010/11/28,2625
2010/11/29,2091
2010/11/30,1544
2010/12/01,1057
2010/12/02,691.831
2010/12/03,639.018
2010/12/04,603.554
2010/12/05,551.408
2010/12/06,510.794
2010/12/07,539.45
2010/12/08,531.873
2010/12/09,539.945
2010/12/10,563.004
2010/12/11,650.028
2010/12/12,746.159
2010/12/13,997.001
2010/12/14,1023
2010/12/15,1011
2010/12/16,979.342
2010/12/17,964.696
2010/12/18,911.361
2010/12/19,901.735
2010/12/20,1057
2010/12/21,1025
2010/12/22,1071
2010/12/23,1078
2010/12/24,1047
2010/12/25,1015
2010/12/26,1016
2010/12/27,1003
2010/12/28,1012
2010/12/29,982.225
2010/12/30,978.923
2010/12/31,952.588
2011/01/01,967.683
2011/01/02,957.161
2011/01/03,1316
2011/01/04,1449
2011/01/05,1728
2011/01/06,1726
2011/01/07,1740
2011/01/08,1879
2011/01/09,1942
2011/01/10,2001
2011/01/11,2072
2011/01/12,2027
2011/01/13,2026
2011/01/14,2016
2011/01/15,1959
2011/01/16,1858
2011/01/17,1686
2011/01/18,1675
2011/01/19,1642
2011/01/20,1549
2011/01/21,1669
2011/01/22,2025
2011/01/23,2103
2011/01/24,2186
2011/01/25,2070
2011/01/26,1969
2011/01/27,1914
2011/01/28,1899
2011/01/29,2117
2011/01/30,3194
2011/01/31,3273
2011/02/01,3211
2011/02/02,2945
2011/02/03,2579
2011/02/04,2226
2011/02/05,1902
2011/02/06,1679
2011/02/07,1513
2011/02/08,1470
2011/02/09,1558
2011/02/10,2077
2011/02/11,2561
2011/02/12,2766
2011/02/13,2839
2011/02/14,3133
2011/02/15,3138
2011/02/16,3001
2011/02/17,2922
2011/02/18,2967
2011/02/19,2977
2011/02/20,2932
2011/02/21,2884
2011/02/22,2950
2011/02/23,2920
2011/02/24,2964
2011/02/25,2900
2011/02/26,2711
2011/02/27,2730
2011/02/28,2949
2011/03/01,3893
2011/03/02,3972
2011/03/03,4323
2011/03/04,4129
2011/03/05,3898
2011/03/06,3468
2011/03/07,3225
2011/03/08,3369
2011/03/09,3470
2011/03/10,3810
2011/03/11,4125
2011/03/12,4706
2011/03/13,5345
2011/03/14,6027
2011/03/15,6707
2011/03/16,6933
2011/03/17,6982
2011/03/18,6847
2011/03/19,7131
2011/03/20,7880
2011/03/21,8637
2011/03/22,8102
2011/03/23,8440
2011/03/24,7693
2011/03/25,6784
2011/03/26,6901
2011/03/27,6642
2011/03/28,6441
2011/03/29,6216
2011/03/30,5620
2011/03/31,5159
2011/04/01,4636
2011/04/02,4150
2011/04/03,3826
2011/04/04,3889
2011/04/05,3836
2011/04/06,3991
2011/04/07,4030
2011/04/08,4075
2011/04/09,4066
2011/04/10,4002
2011/04/11,4149
2011/04/12,4506
2011/04/13,4607
2011/04/14,5065
2011/04/15,5643
2011/04/16,5880
2011/04/17,5652
2011/04/18,6099
2011/04/19,6657
2011/04/20,7337
2011/04/21,6755
2011/04/22,6171
2011/04/23,5951
2011/04/24,5831
2011/04/25,5719
2011/04/26,5787
2011/04/27,6951
2011/04/28,7280
2011/04/29,7309
2011/04/30,7967
2011/05/01,8427
2011/05/02,7861
2011/05/03,7381
2011/05/04,6879
2011/05/05,6716
2011/05/06,6458
2011/05/07,6282
2011/05/08,5965
2011/05/09,5991
2011/05/10,6458
2011/05/11,6643
2011/05/12,7112
2011/05/13,7764
2011/05/14,7869
2011/05/15,7944
2011/05/16,8001
2011/05/17,7840
2011/05/18,7893
2011/05/19,8752
2011/05/20,8973
2011/05/21,9079
2011/05/22,8926
2011/05/23,8763
2011/05/24,8467
2011/05/25,8382
2011/05/26,8555
2011/05/27,9216
2011/05/28,10175
2011/05/29,10483
2011/05/30,11613
2011/05/31,13223
2011/06/01,13851
2011/06/02,14648
2011/06/03,16199
2011/06/04,16612
2011/06/05,16638
2011/06/06,17114
2011/06/07,18149
2011/06/08,21435
2011/06/09,22365
2011/06/10,22428
2011/06/11,21546
2011/06/12,21937
2011/06/13,21832
2011/06/14,21827
2011/06/15,20973
2011/06/16,23208
2011/06/17,24271
2011/06/18,24608
2011/06/19,24160
2011/06/20,22829
2011/06/21,20949
2011/06/22,19540
2011/06/23,18250
2011/06/24,18201
2011/06/25,20411
2011/06/26,22693
2011/06/27,25628
2011/06/28,26965
2011/06/29,26890
2011/06/30,25814
2011/07/01,25917
2011/07/02,24644
2011/07/03,23288
2011/07/04,23006
2011/07/05,24293
2011/07/06,25867
2011/07/07,26971
2011/07/08,25990
2011/07/09,25386
2011/07/10,26211
2011/07/11,26393
2011/07/12,25829
2011/07/13,24187
2011/07/14,24544
2011/07/15,23510
2011/07/16,23339
2011/07/17,22628
2011/07/18,23534
2011/07/19,25022
2011/07/20,25502
2011/07/21,25359
2011/07/22,25547
2011/07/23,24840
2011/07/24,23977
2011/07/25,24260
2011/07/26,23385
2011/07/27,22629
2011/07/28,22836
2011/07/29,21728
2011/07/30,20452
2011/07/31,20015
2011/08/01,20360
2011/08/02,21474
2011/08/03,21723
2011/08/04,23160
2011/08/05,23283
2011/08/06,24224
2011/08/07,23937
2011/08/08,24747
2011/08/09,25636
2011/08/10,25133
2011/08/11,24494
2011/08/12,23936
2011/08/13,23830
2011/08/14,24265
2011/08/15,25504
2011/08/16,26126
2011/08/17,26256
2011/08/18,25391
2011/08/19,25817
2011/08/20,24439
2011/08/21,23137
2011/08/22,22179
2011/08/23,21487
2011/08/24,21787
2011/08/25,22128
2011/08/26,22282
2011/08/27,23076
2011/08/28,22783
2011/08/29,23359
2011/08/30,23028
2011/08/31,21981
2011/09/01,22278
2011/09/02,21205
2011/09/03,19983
2011/09/04,24800
2011/09/05,23859
2011/09/06,23931
2011/09/07,23741
2011/09/08,23337
2011/09/09,23883
2011/09/10,23270
2011/09/11,22894
2011/09/12,23059
2011/09/13,22047
