Date,price30rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,29.964
2010/08/17,-6.713
2010/08/18,-19.633
2010/08/19,-14.021
2010/08/20,-13.854
2010/08/21,1.688
2010/08/22,15.806
2010/08/23,12.708
2010/08/24,22.614
2010/08/25,23.774
2010/08/26,11.034
2010/08/27,8.495
2010/08/28,-0.386
2010/08/29,-2.868
2010/08/30,-2.469
2010/08/31,1.646
2010/09/01,1.959
2010/09/02,3.667
2010/09/03,2.137
2010/09/04,3.804
2010/09/05,-0.201
2010/09/06,3.756
2010/09/07,2.252
2010/09/08,-6.755
2010/09/09,-11.442
2010/09/10,-3.307
2010/09/11,-9.014
2010/09/12,-5.649
2010/09/13,-6.287
2010/09/14,-6.274
2010/09/15,-4.499
2010/09/16,-8.635
2010/09/17,-13.117
2010/09/18,-10.847
2010/09/19,-6.498
2010/09/20,-5.838
2010/09/21,-4.008
2010/09/22,-4.896
2010/09/23,-4.234
2010/09/24,-5.267
2010/09/25,-3.548
2010/09/26,-3.845
2010/09/27,-3.749
2010/09/28,-3.761
2010/09/29,-4.368
2010/09/30,-0.379
2010/10/01,-0.833
2010/10/02,-0.9
2010/10/03,0.542
2010/10/04,-0.922
2010/10/05,-1.008
2010/10/06,0.008
2010/10/07,6.199
2010/10/08,25.073
2010/10/09,44.669
2010/10/10,54.316
2010/10/11,48.136
2010/10/12,52.832
2010/10/13,58.653
2010/10/14,66.546
2010/10/15,66.802
2010/10/16,62.359
2010/10/17,70.156
2010/10/18,71.167
2010/10/19,59.372
2010/10/20,60.225
2010/10/21,62.386
2010/10/22,69.084
2010/10/23,71.61
