Date,activeaddresses7std
2010/07/17,3922
2010/07/18,3836
2010/07/19,3872
2010/07/20,3973
2010/07/21,910.003
2010/07/22,652.409
2010/07/23,257.919
2010/07/24,279.734
2010/07/25,959.333
2010/07/26,972.105
2010/07/27,987.436
2010/07/28,1008
2010/07/29,1026
2010/07/30,1040
2010/07/31,1100
2010/08/01,475.36
2010/08/02,179.005
2010/08/03,298.854
2010/08/04,305.14
2010/08/05,307.544
2010/08/06,298.912
2010/08/07,283.137
2010/08/08,290.22
2010/08/09,288.303
2010/08/10,209.157
2010/08/11,204.743
2010/08/12,163.332
2010/08/13,225.544
2010/08/14,209.967
2010/08/15,266.177
2010/08/16,264.432
2010/08/17,282.625
2010/08/18,286.932
2010/08/19,307.297
2010/08/20,247.806
2010/08/21,250.9
2010/08/22,216.42
2010/08/23,176.077
2010/08/24,159.917
2010/08/25,141.472
2010/08/26,120.116
2010/08/27,129.577
2010/08/28,129.8
2010/08/29,184.043
2010/08/30,163.88
2010/08/31,209.029
2010/09/01,208.378
2010/09/02,194.6
2010/09/03,194.187
2010/09/04,205.306
2010/09/05,168.067
2010/09/06,169.556
2010/09/07,122.348
2010/09/08,101.725
2010/09/09,96.641
2010/09/10,101.736
2010/09/11,107.495
2010/09/12,183.421
2010/09/13,227.8
2010/09/14,201.919
2010/09/15,203.802
2010/09/16,194.551
2010/09/17,308.384
2010/09/18,253.758
2010/09/19,257.381
2010/09/20,257.22
2010/09/21,435.362
2010/09/22,454.589
2010/09/23,456.09
2010/09/24,448.841
2010/09/25,381.118
2010/09/26,392.953
2010/09/27,433.402
2010/09/28,659.467
2010/09/29,668.052
2010/09/30,733.179
2010/10/01,727.411
2010/10/02,734.742
2010/10/03,720.749
2010/10/04,697.549
2010/10/05,348.876
2010/10/06,149.989
2010/10/07,146.681
2010/10/08,133.672
2010/10/09,129.314
2010/10/10,145.307
2010/10/11,127.883
2010/10/12,131.749
2010/10/13,213.966
2010/10/14,216.657
2010/10/15,219.091
2010/10/16,279.495
2010/10/17,270.846
2010/10/18,294.745
2010/10/19,509.586
2010/10/20,551.958
2010/10/21,500.584
2010/10/22,388.75
2010/10/23,407.871
2010/10/24,376.336
2010/10/25,422.035
2010/10/26,262.353
2010/10/27,226.418
2010/10/28,227.257
2010/10/29,225.423
2010/10/30,279.488
2010/10/31,349.777
2010/11/01,384.68
2010/11/02,450.038
2010/11/03,345.126
2010/11/04,220.101
2010/11/05,212.336
2010/11/06,209.361
2010/11/07,214.766
2010/11/08,694.605
2010/11/09,658.969
2010/11/10,646.722
2010/11/11,647.756
2010/11/12,688.685
2010/11/13,690.882
2010/11/14,697.507
2010/11/15,2641
2010/11/16,2992
2010/11/17,2987
2010/11/18,2982
2010/11/19,2945
2010/11/20,2908
2010/11/21,2930
2010/11/22,1879
2010/11/23,117.736
2010/11/24,228.437
2010/11/25,247.826
2010/11/26,367.72
2010/11/27,365.215
2010/11/28,374.239
2010/11/29,330.231
2010/11/30,289.482
2010/12/01,323.765
2010/12/02,332.694
2010/12/03,233.566
2010/12/04,250.868
2010/12/05,254.51
2010/12/06,260.873
2010/12/07,341.067
2010/12/08,285.04
2010/12/09,284.096
2010/12/10,316.529
2010/12/11,354.055
2010/12/12,391.95
2010/12/13,613.701
2010/12/14,613.353
2010/12/15,599.04
2010/12/16,576.139
2010/12/17,508.332
2010/12/18,542.999
2010/12/19,537.473
2010/12/20,407.542
2010/12/21,403.279
2010/12/22,419.258
2010/12/23,411.104
2010/12/24,391.147
2010/12/25,347.029
2010/12/26,352.032
2010/12/27,209.021
2010/12/28,208.236
2010/12/29,164.157
2010/12/30,171.68
2010/12/31,144.817
2011/01/01,144.976
2011/01/02,145.118
2011/01/03,288.573
2011/01/04,286.104
2011/01/05,413.983
2011/01/06,410.017
2011/01/07,344.627
2011/01/08,360.041
2011/01/09,311.446
2011/01/10,317.68
2011/01/11,270.585
2011/01/12,257.832
2011/01/13,291.089
2011/01/14,268.321
2011/01/15,272.218
2011/01/16,261.93
2011/01/17,281.219
2011/01/18,279.952
2011/01/19,225.173
2011/01/20,167.242
2011/01/21,382.945
2011/01/22,589.23
2011/01/23,614.843
2011/01/24,586.572
2011/01/25,576.107
2011/01/26,566.381
2011/01/27,509.697
2011/01/28,504.893
2011/01/29,455.215
2011/01/30,1103
2011/01/31,1118
2011/02/01,1034
2011/02/02,1060
2011/02/03,1169
2011/02/04,1202
2011/02/05,1231
2011/02/06,620.4
2011/02/07,378.319
2011/02/08,165.897
2011/02/09,493.838
2011/02/10,1465
2011/02/11,2219
2011/02/12,2240
2011/02/13,2092
2011/02/14,1938
2011/02/15,1332
2011/02/16,889.129
2011/02/17,890.499
2011/02/18,654.002
2011/02/19,762.142
2011/02/20,773.234
2011/02/21,488.636
2011/02/22,606.501
2011/02/23,617.278
2011/02/24,640.142
2011/02/25,628.853
2011/02/26,449.415
2011/02/27,345.126
2011/02/28,494.81
2011/03/01,1257
2011/03/02,1257
2011/03/03,1484
2011/03/04,1513
2011/03/05,1510
2011/03/06,1559
2011/03/07,1462
2011/03/08,1032
2011/03/09,1060
2011/03/10,546.063
2011/03/11,596.376
2011/03/12,565.025
2011/03/13,635.495
2011/03/14,661.696
2011/03/15,384.285
2011/03/16,314.733
2011/03/17,304.248
2011/03/18,300.66
2011/03/19,290.656
2011/03/20,942.748
2011/03/21,1238
2011/03/22,1227
2011/03/23,2473
2011/03/24,2344
2011/03/25,2124
2011/03/26,1825
2011/03/27,1809
2011/03/28,1842
2011/03/29,1665
2011/03/30,989.638
2011/03/31,1023
2011/04/01,1335
2011/04/02,1465
2011/04/03,1413
2011/04/04,1076
2011/04/05,958.43
2011/04/06,945.987
2011/04/07,962.171
2011/04/08,884.889
2011/04/09,802.594
2011/04/10,825.976
2011/04/11,588.298
2011/04/12,600.757
2011/04/13,871.059
2011/04/14,1599
2011/04/15,1527
2011/04/16,1551
2011/04/17,1315
2011/04/18,1312
2011/04/19,1542
2011/04/20,1482
2011/04/21,1595
2011/04/22,1564
2011/04/23,1541
2011/04/24,1483
2011/04/25,1425
2011/04/26,1316
2011/04/27,2236
2011/04/28,2092
2011/04/29,1937
2011/04/30,2302
2011/05/01,1931
2011/05/02,1542
2011/05/03,1570
2011/05/04,1515
2011/05/05,1474
2011/05/06,1472
2011/05/07,1113
2011/05/08,936.732
2011/05/09,1017
2011/05/10,827.619
2011/05/11,673.709
2011/05/12,683.786
2011/05/13,1759
2011/05/14,2040
2011/05/15,1768
2011/05/16,3138
2011/05/17,3151
2011/05/18,3687
2011/05/19,3205
2011/05/20,3130
2011/05/21,2736
2011/05/22,1582
2011/05/23,1630
2011/05/24,1736
2011/05/25,2490
2011/05/26,2963
2011/05/27,3146
2011/05/28,2942
2011/05/29,2833
2011/05/30,2808
2011/05/31,2960
2011/06/01,2783
2011/06/02,3224
2011/06/03,4256
2011/06/04,5301
2011/06/05,4603
2011/06/06,4953
2011/06/07,4392
2011/06/08,6948
2011/06/09,7325
2011/06/10,6970
2011/06/11,6660
2011/06/12,5848
2011/06/13,5341
2011/06/14,3773
2011/06/15,3812
2011/06/16,4201
2011/06/17,3722
2011/06/18,2820
2011/06/19,2824
2011/06/20,2776
2011/06/21,2476
2011/06/22,2393
2011/06/23,2055
2011/06/24,2126
2011/06/25,3091
2011/06/26,2608
2011/06/27,4580
2011/06/28,4598
2011/06/29,4545
2011/06/30,4683
2011/07/01,5916
2011/07/02,6747
2011/07/03,7189
2011/07/04,7006
2011/07/05,7257
2011/07/06,7220
2011/07/07,7332
2011/07/08,6450
2011/07/09,2922
2011/07/10,4216
2011/07/11,4170
2011/07/12,4234
2011/07/13,4304
2011/07/14,4647
2011/07/15,4678
2011/07/16,4263
2011/07/17,3705
2011/07/18,4087
2011/07/19,3563
2011/07/20,3431
2011/07/21,2376
2011/07/22,2372
2011/07/23,3317
2011/07/24,3550
2011/07/25,3128
2011/07/26,3176
2011/07/27,3031
2011/07/28,3156
2011/07/29,3447
2011/07/30,4371
2011/07/31,4370
2011/08/01,3519
2011/08/02,3649
2011/08/03,4805
2011/08/04,4227
2011/08/05,4165
2011/08/06,4086
2011/08/07,3370
2011/08/08,3848
2011/08/09,4331
2011/08/10,3955
2011/08/11,4199
2011/08/12,5027
2011/08/13,5116
2011/08/14,5164
2011/08/15,4002
2011/08/16,2782
2011/08/17,2855
2011/08/18,2752
2011/08/19,2086
2011/08/20,1749
2011/08/21,2188
2011/08/22,3126
2011/08/23,3067
2011/08/24,2706
2011/08/25,2328
2011/08/26,2464
2011/08/27,2560
2011/08/28,3849
2011/08/29,3352
2011/08/30,3857
2011/08/31,4161
2011/09/01,3368
2011/09/02,2926
2011/09/03,2752
2011/09/04,2548
2011/09/05,2291
2011/09/06,2644
2011/09/07,2647
2011/09/08,2775
2011/09/09,2951
2011/09/10,2280
2011/09/11,2652
2011/09/12,2485
2011/09/13,2255
2011/09/14,2426
2011/09/15,2455
2011/09/16,1347
2011/09/17,1976
2011/09/18,1981
2011/09/19,1702
2011/09/20,5309
2011/09/21,5438
2011/09/22,5470
2011/09/23,5688
2011/09/24,4681
2011/09/25,3506
2011/09/26,2871
2011/09/27,1740
2011/09/28,3880
2011/09/29,5374
2011/09/30,5500
2011/10/01,5346
2011/10/02,4903
2011/10/03,4102
2011/10/04,1354
2011/10/05,1333
2011/10/06,1531
2011/10/07,1547
2011/10/08,1670
2011/10/09,1450
2011/10/10,1416
2011/10/11,1404
2011/10/12,1397
2011/10/13,1531
2011/10/14,1837
2011/10/15,1772
2011/10/16,1867
2011/10/17,1996
2011/10/18,2052
2011/10/19,2027
2011/10/20,2242
2011/10/21,1780
2011/10/22,1700
2011/10/23,1776
2011/10/24,1677
2011/10/25,1725
2011/10/26,1728
2011/10/27,1574
2011/10/28,1504
2011/10/29,1421
2011/10/30,1678
2011/10/31,1256
2011/11/01,1147
2011/11/02,1302
2011/11/03,1174
2011/11/04,2567
2011/11/05,2584
2011/11/06,2533
2011/11/07,2413
2011/11/08,2406
2011/11/09,2489
2011/11/10,2524
2011/11/11,2023
2011/11/12,2109
2011/11/13,1809
2011/11/14,1796
2011/11/15,1880
2011/11/16,1700
2011/11/17,1510
2011/11/18,1450
2011/11/19,2450
2011/11/20,2591
2011/11/21,2788
2011/11/22,2116
2011/11/23,1675
2011/11/24,1525
2011/11/25,1232
2011/11/26,1150
2011/11/27,1129
2011/11/28,1396
2011/11/29,2564
2011/11/30,3617
2011/12/01,3601
2011/12/02,3508
2011/12/03,2765
2011/12/04,2223
2011/12/05,2141
2011/12/06,2399
2011/12/07,1962
2011/12/08,1968
2011/12/09,2250
2011/12/10,2395
2011/12/11,2331
2011/12/12,2602
2011/12/13,1669
2011/12/14,1604
2011/12/15,1366
2011/12/16,1508
2011/12/17,1654
2011/12/18,1671
2011/12/19,2113
2011/12/20,2774
2011/12/21,2763
2011/12/22,2589
2011/12/23,2484
2011/12/24,2471
2011/12/25,1923
2011/12/26,1854
2011/12/27,1230
2011/12/28,1369
2011/12/29,1317
2011/12/30,1332
2011/12/31,1121
2012/01/01,1061
2012/01/02,943.192
