Date,hashrate3roc
2011/04/25,6.785
2011/04/26,16.743
2011/04/27,13.283
2011/04/28,-6.21
2011/04/29,-3.613
2011/04/30,16.632
2011/05/01,34.03
2011/05/02,18.593
2011/05/03,4.872
2011/05/04,5.809
2011/05/05,9.436
2011/05/06,8.036
2011/05/07,12.63
2011/05/08,-0.518
2011/05/09,17.416
2011/05/10,39.293
2011/05/11,28.039
2011/05/12,1.318
2011/05/13,-11.275
2011/05/14,24.592
2011/05/15,31.267
2011/05/16,22.219
2011/05/17,9.081
2011/05/18,22.309
2011/05/19,42.542
2011/05/20,27.382
2011/05/21,16.533
2011/05/22,16.917
2011/05/23,24.879
2011/05/24,36.406
2011/05/25,22.261
2011/05/26,36.479
2011/05/27,39.814
2011/05/28,-3.072
2011/05/29,-17.657
2011/05/30,-28.274
2011/05/31,-6.593
2011/06/01,2.094
2011/06/02,18.155
2011/06/03,29.482
2011/06/04,25.455
2011/06/05,9.76
2011/06/06,32.81
2011/06/07,14.049
2011/06/08,11.047
2011/06/09,2.433
2011/06/10,21.015
2011/06/11,26.236
2011/06/12,17.238
2011/06/13,4.026
2011/06/14,3.32
2011/06/15,36.9
2011/06/16,51.01
2011/06/17,21.627
2011/06/18,-11.979
2011/06/19,-5.61
2011/06/20,24.026
2011/06/21,25.647
2011/06/22,22.982
2011/06/23,5.9
2011/06/24,26.833
2011/06/25,-2.714
2011/06/26,-1.993
2011/06/27,-18.575
2011/06/28,-3.329
2011/06/29,12.28
2011/06/30,14.538
2011/07/01,18.95
2011/07/02,2.356
2011/07/03,-6.968
2011/07/04,-12.47
2011/07/05,-9.933
2011/07/06,-7.013
2011/07/07,0.092
2011/07/08,2.341
2011/07/09,17.148
2011/07/10,0.417
2011/07/11,6.475
2011/07/12,-9.496
2011/07/13,16.481
2011/07/14,8.854
2011/07/15,8.071
2011/07/16,-1.242
2011/07/17,-3.723
2011/07/18,4.484
2011/07/19,1.164
2011/07/20,-4.517
2011/07/21,0.873
2011/07/22,-4.066
2011/07/23,6.889
2011/07/24,4.523
2011/07/25,10.075
2011/07/26,11.105
2011/07/27,14.356
2011/07/28,2.024
2011/07/29,-4.224
2011/07/30,-16.431
2011/07/31,-0.368
2011/08/01,18.535
2011/08/02,13.199
2011/08/03,3.418
2011/08/04,-14.851
2011/08/05,-14.285
2011/08/06,-14.766
2011/08/07,-12.599
2011/08/08,-2.118
2011/08/09,4.546
2011/08/10,27.096
2011/08/11,6.68
2011/08/12,-3.982
2011/08/13,-14.169
2011/08/14,-11.048
2011/08/15,4.632
2011/08/16,-7.671
2011/08/17,8.428
2011/08/18,2.065
2011/08/19,4.319
2011/08/20,0.55
2011/08/21,0.85
2011/08/22,26.422
2011/08/23,18.92
2011/08/24,-4.147
2011/08/25,-23.792
2011/08/26,-12.248
2011/08/27,-9.092
2011/08/28,-11.073
2011/08/29,-13.854
2011/08/30,10.798
2011/08/31,28.369
2011/09/01,6.941
2011/09/02,0.498
2011/09/03,-3.911
2011/09/04,-1.726
2011/09/05,-0.895
2011/09/06,1.59
2011/09/07,11.672
2011/09/08,-11.508
2011/09/09,-7.544
2011/09/10,-2.455
2011/09/11,6.027
2011/09/12,-10.181
2011/09/13,-5.518
2011/09/14,5.368
