Date,size7ema
2010/07/17,806.424
2010/07/18,796.139
2010/07/19,786.115
2010/07/20,835.763
2010/07/21,762.443
2010/07/22,694.808
2010/07/23,632.896
2010/07/24,836.059
2010/07/25,1413
2010/07/26,1290
2010/07/27,1137
2010/07/28,1689
2010/07/29,1859
2010/07/30,1529
2010/07/31,1244
2010/08/01,1021
2010/08/02,854.702
2010/08/03,827.001
2010/08/04,722.262
2010/08/05,753.424
2010/08/06,734.098
2010/08/07,690.567
2010/08/08,629.974
2010/08/09,843.272
2010/08/10,731.158
2010/08/11,652.332
2010/08/12,583.951
2010/08/13,627.049
2010/08/14,573.089
2010/08/15,510.555
2010/08/16,625.136
2010/08/17,617.483
2010/08/18,944.239
2010/08/19,843.842
2010/08/20,761.59
2010/08/21,685.798
2010/08/22,612.238
2010/08/23,560.955
2010/08/24,609.498
2010/08/25,540.738
2010/08/26,525.94
2010/08/27,492.954
2010/08/28,501.332
2010/08/29,459.171
2010/08/30,491.999
2010/08/31,592.966
2010/09/01,648.122
2010/09/02,617.835
2010/09/03,569.919
2010/09/04,509.543
2010/09/05,498.442
2010/09/06,480.051
2010/09/07,456.734
2010/09/08,462.502
2010/09/09,505.308
2010/09/10,499.032
2010/09/11,480.449
2010/09/12,515.193
2010/09/13,560.353
2010/09/14,549.595
2010/09/15,583.864
2010/09/16,555.541
2010/09/17,578.041
2010/09/18,526.432
2010/09/19,501.995
2010/09/20,529.344
2010/09/21,765.626
2010/09/22,864.915
2010/09/23,836.844
2010/09/24,760.682
2010/09/25,744.576
2010/09/26,684.594
2010/09/27,732.614
2010/09/28,834.711
2010/09/29,1156
2010/09/30,1035
2010/10/01,1032
2010/10/02,1208
2010/10/03,1120
2010/10/04,1048
2010/10/05,1016
2010/10/06,919.556
2010/10/07,836.545
2010/10/08,823.261
2010/10/09,823.427
2010/10/10,754.969
2010/10/11,710.123
2010/10/12,687.028
2010/10/13,712.447
2010/10/14,656.289
2010/10/15,604.903
2010/10/16,575.672
2010/10/17,533.379
2010/10/18,563.455
2010/10/19,693.475
2010/10/20,717.021
2010/10/21,760.492
2010/10/22,865.744
2010/10/23,854.692
