Date,transactionvalue7varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,3.012
2010/07/24,3.06
2010/07/25,4.159
2010/07/26,6.906
2010/07/27,6.854
2010/07/28,7.659
2010/07/29,8.111
2010/07/30,8.096
2010/07/31,8.006
2010/08/01,215.103
2010/08/02,215.107
2010/08/03,216.104
2010/08/04,211.266
2010/08/05,202.185
2010/08/06,203.994
2010/08/07,200.253
2010/08/08,5.623
2010/08/09,9.49
2010/08/10,9.515
2010/08/11,10.327
2010/08/12,11.545
2010/08/13,10.827
2010/08/14,12.345
2010/08/15,10.607
2010/08/16,7.271
2010/08/17,10.517
2010/08/18,9.713
2010/08/19,8.709
2010/08/20,8.637
2010/08/21,6.618
2010/08/22,6.526
2010/08/23,6.122
2010/08/24,2.433
2010/08/25,2.046
2010/08/26,2.414
2010/08/27,3.065
2010/08/28,1.347
2010/08/29,1.611
2010/08/30,1.662
2010/08/31,2.337
2010/09/01,2.359
2010/09/02,2.875
2010/09/03,2.611
2010/09/04,2.929
2010/09/05,60.789
2010/09/06,61.907
2010/09/07,64.614
2010/09/08,67.33
2010/09/09,67.616
2010/09/10,73.018
2010/09/11,79.435
2010/09/12,23.665
2010/09/13,22.963
2010/09/14,22.798
2010/09/15,21.941
2010/09/16,21.965
2010/09/17,25.228
2010/09/18,21.363
2010/09/19,17.771
2010/09/20,6.989
2010/09/21,9.255
2010/09/22,9.963
2010/09/23,13.147
2010/09/24,10.924
2010/09/25,11.547
2010/09/26,9.909
2010/09/27,9.971
2010/09/28,12.76
2010/09/29,12.398
2010/09/30,6.689
2010/10/01,5.453
2010/10/02,188.02
2010/10/03,177.098
2010/10/04,749.304
2010/10/05,720.118
2010/10/06,662.376
2010/10/07,589.314
2010/10/08,482.24
2010/10/09,473.827
2010/10/10,396.068
2010/10/11,69.279
2010/10/12,70.699
2010/10/13,62.556
2010/10/14,117.275
2010/10/15,142.273
2010/10/16,153.472
2010/10/17,165.065
2010/10/18,110.427
2010/10/19,84.29
2010/10/20,91.242
2010/10/21,63.483
2010/10/22,57.255
