Date,confirmationtime30std
2010/07/17,4.804
2010/07/18,4.75
2010/07/19,4.692
2010/07/20,4.695
2010/07/21,4.638
2010/07/22,4.595
2010/07/23,4.592
2010/07/24,4.57
2010/07/25,4.495
2010/07/26,4.454
2010/07/27,4.478
2010/07/28,4.45
2010/07/29,4.431
2010/07/30,4.431
2010/07/31,4.43
2010/08/01,4.401
2010/08/02,4.415
2010/08/03,4.367
2010/08/04,4.353
2010/08/05,4.303
2010/08/06,4.352
2010/08/07,4.331
2010/08/08,4.331
2010/08/09,4.338
2010/08/10,4.321
2010/08/11,3.993
2010/08/12,3.589
2010/08/13,3.186
2010/08/14,2.752
2010/08/15,2.234
2010/08/16,2.38
2010/08/17,2.721
2010/08/18,2.965
2010/08/19,3.166
2010/08/20,3.157
2010/08/21,3.16
2010/08/22,3.175
2010/08/23,3.191
2010/08/24,3.168
2010/08/25,3.126
2010/08/26,3.115
2010/08/27,3.084
2010/08/28,3.097
2010/08/29,3.13
2010/08/30,3.207
2010/08/31,3.145
2010/09/01,3.109
2010/09/02,3.092
2010/09/03,3.008
2010/09/04,2.959
2010/09/05,2.903
2010/09/06,2.894
2010/09/07,2.895
2010/09/08,2.895
2010/09/09,3.019
2010/09/10,2.918
2010/09/11,2.857
2010/09/12,2.787
2010/09/13,2.496
2010/09/14,2.484
2010/09/15,2.443
2010/09/16,2.339
2010/09/17,2.212
2010/09/18,2.159
2010/09/19,2.191
2010/09/20,2.217
2010/09/21,2.17
2010/09/22,2.114
2010/09/23,2.172
2010/09/24,2.206
2010/09/25,2.199
2010/09/26,2.231
2010/09/27,2.315
2010/09/28,2.33
2010/09/29,2.263
2010/09/30,2.369
2010/10/01,2.382
2010/10/02,3.294
2010/10/03,3.541
2010/10/04,3.564
2010/10/05,3.735
2010/10/06,3.725
2010/10/07,3.725
2010/10/08,3.74
2010/10/09,3.654
2010/10/10,3.655
2010/10/11,3.656
2010/10/12,3.671
2010/10/13,3.672
2010/10/14,3.675
2010/10/15,3.675
2010/10/16,3.756
2010/10/17,3.876
2010/10/18,3.899
2010/10/19,3.984
2010/10/20,4.087
2010/10/21,4.089
2010/10/22,4.112
2010/10/23,4.043
2010/10/24,4.006
2010/10/25,4
2010/10/26,4.061
2010/10/27,4.034
2010/10/28,4.046
2010/10/29,4.09
2010/10/30,4.131
2010/10/31,4.102
2010/11/01,3.341
2010/11/02,2.993
2010/11/03,2.921
2010/11/04,2.552
2010/11/05,2.544
2010/11/06,2.486
2010/11/07,2.411
2010/11/08,2.401
2010/11/09,2.375
2010/11/10,2.252
2010/11/11,2.08
2010/11/12,2.112
2010/11/13,2.116
2010/11/14,2.106
2010/11/15,2.064
2010/11/16,1.994
2010/11/17,1.991
2010/11/18,1.992
2010/11/19,2.144
2010/11/20,2.881
2010/11/21,2.992
2010/11/22,3.027
2010/11/23,3.217
2010/11/24,3.228
2010/11/25,3.191
2010/11/26,3.181
2010/11/27,3.169
2010/11/28,3.158
2010/11/29,3.093
2010/11/30,3.094
2010/12/01,3.087
2010/12/02,3.079
2010/12/03,3.079
2010/12/04,3.11
2010/12/05,3.138
2010/12/06,3.171
2010/12/07,3.168
2010/12/08,3.103
2010/12/09,3.111
2010/12/10,3.212
2010/12/11,3.196
2010/12/12,3.193
2010/12/13,3.289
2010/12/14,3.197
2010/12/15,3.193
2010/12/16,3.19
2010/12/17,3.105
2010/12/18,2.99
2010/12/19,2.94
2010/12/20,2.489
2010/12/21,2.339
2010/12/22,2.357
2010/12/23,2.311
2010/12/24,2.407
2010/12/25,2.419
2010/12/26,2.516
2010/12/27,2.527
2010/12/28,2.531
2010/12/29,2.506
2010/12/30,2.485
2010/12/31,2.492
2011/01/01,2.486
2011/01/02,2.477
2011/01/03,2.397
2011/01/04,2.336
2011/01/05,2.169
2011/01/06,2.033
2011/01/07,1.78
2011/01/08,1.561
2011/01/09,1.522
2011/01/10,1.506
2011/01/11,1.508
2011/01/12,1.421
2011/01/13,1.473
2011/01/14,1.409
2011/01/15,1.405
2011/01/16,1.418
2011/01/17,1.449
2011/01/18,1.494
2011/01/19,1.497
2011/01/20,1.456
2011/01/21,1.466
2011/01/22,1.406
2011/01/23,1.364
2011/01/24,1.416
2011/01/25,1.356
2011/01/26,1.378
2011/01/27,1.383
2011/01/28,1.392
2011/01/29,1.393
2011/01/30,1.405
2011/01/31,1.38
2011/02/01,1.368
2011/02/02,1.363
2011/02/03,1.253
2011/02/04,1.31
2011/02/05,1.188
2011/02/06,1.195
2011/02/07,1.303
2011/02/08,1.298
2011/02/09,1.336
2011/02/10,1.359
2011/02/11,1.378
2011/02/12,1.405
2011/02/13,1.453
2011/02/14,1.465
2011/02/15,1.615
2011/02/16,1.77
2011/02/17,1.736
2011/02/18,1.784
2011/02/19,1.813
2011/02/20,1.831
2011/02/21,1.821
2011/02/22,1.854
2011/02/23,1.983
2011/02/24,1.938
2011/02/25,1.996
2011/02/26,2.127
2011/02/27,2.131
2011/02/28,2.203
2011/03/01,2.479
2011/03/02,2.485
2011/03/03,2.444
2011/03/04,2.397
2011/03/05,2.455
2011/03/06,2.563
2011/03/07,2.55
2011/03/08,2.533
2011/03/09,2.615
2011/03/10,3.326
2011/03/11,3.579
2011/03/12,3.714
2011/03/13,4.08
2011/03/14,4.467
2011/03/15,4.794
2011/03/16,4.864
2011/03/17,4.865
2011/03/18,4.966
2011/03/19,5.086
2011/03/20,5.069
2011/03/21,5.078
2011/03/22,5.165
2011/03/23,5.128
2011/03/24,5.057
2011/03/25,4.92
2011/03/26,4.857
2011/03/27,4.73
2011/03/28,4.467
2011/03/29,4.258
2011/03/30,4.262
2011/03/31,4.329
2011/04/01,4.343
2011/04/02,4.33
2011/04/03,4.209
2011/04/04,3.918
2011/04/05,3.655
2011/04/06,3.481
2011/04/07,3.382
2011/04/08,3.397
2011/04/09,3.203
2011/04/10,3.216
2011/04/11,3.227
2011/04/12,3.093
2011/04/13,2.942
2011/04/14,2.652
2011/04/15,2.652
2011/04/16,2.651
2011/04/17,2.477
2011/04/18,2.142
2011/04/19,2.072
2011/04/20,2.087
2011/04/21,1.766
2011/04/22,1.781
2011/04/23,1.774
2011/04/24,1.765
2011/04/25,1.726
2011/04/26,1.72
2011/04/27,1.743
2011/04/28,1.743
2011/04/29,1.801
2011/04/30,1.761
2011/05/01,1.766
2011/05/02,1.812
2011/05/03,1.86
2011/05/04,1.905
2011/05/05,1.991
