Date,sentbyaddress7var
2010/07/17,3414071
2010/07/18,3388575
2010/07/19,3492307
2010/07/20,3608376
2010/07/21,97533
2010/07/22,54495
2010/07/23,7139
2010/07/24,9627
2010/07/25,208774
2010/07/26,217320
2010/07/27,225579
2010/07/28,232441
2010/07/29,235519
2010/07/30,244118
2010/07/31,258135
2010/08/01,2792
2010/08/02,2158
2010/08/03,10198
2010/08/04,11389
2010/08/05,14640
2010/08/06,12940
2010/08/07,13760
2010/08/08,12845
2010/08/09,11644
2010/08/10,8820
2010/08/11,8000
2010/08/12,3424
2010/08/13,7381
2010/08/14,4813
2010/08/15,8105
2010/08/16,8262
2010/08/17,7905
2010/08/18,7920
2010/08/19,8565
2010/08/20,4428
2010/08/21,4434
2010/08/22,2338
2010/08/23,936.571
2010/08/24,862.776
2010/08/25,572.776
2010/08/26,454.98
2010/08/27,896.776
2010/08/28,886.49
2010/08/29,1595
2010/08/30,1284
2010/08/31,2109
2010/09/01,2425
2010/09/02,2771
2010/09/03,2328
2010/09/04,2959
2010/09/05,2346
2010/09/06,2657
2010/09/07,1735
2010/09/08,781.633
2010/09/09,896.245
2010/09/10,869.429
2010/09/11,611.959
2010/09/12,1527
2010/09/13,4116
2010/09/14,3287
2010/09/15,3717
2010/09/16,3284
2010/09/17,3171
2010/09/18,2044
2010/09/19,2659
2010/09/20,2683
2010/09/21,36931
2010/09/22,50551
2010/09/23,50196
2010/09/24,42410
2010/09/25,33778
2010/09/26,28191
2010/09/27,24269
2010/09/28,16404
2010/09/29,26279
2010/09/30,30218
2010/10/01,30587
2010/10/02,30587
2010/10/03,27761
2010/10/04,28037
2010/10/05,27294
2010/10/06,5450
2010/10/07,6518
2010/10/08,3748
2010/10/09,1457
2010/10/10,1387
2010/10/11,1318
2010/10/12,920.694
2010/10/13,715.714
2010/10/14,382.694
2010/10/15,470.857
2010/10/16,686.98
2010/10/17,1480
2010/10/18,7586
2010/10/19,59707
2010/10/20,65004
2010/10/21,56562
2010/10/22,43787
2010/10/23,35750
2010/10/24,28244
2010/10/25,37381
2010/10/26,11182
2010/10/27,5566
2010/10/28,5632
2010/10/29,5649
2010/10/30,8808
2010/10/31,15501
2010/11/01,18459
2010/11/02,20775
2010/11/03,10852
2010/11/04,4642
2010/11/05,3056
2010/11/06,2921
2010/11/07,3152
2010/11/08,4596
2010/11/09,2394
2010/11/10,1903
2010/11/11,1138
2010/11/12,3757
2010/11/13,4213
2010/11/14,3841
2010/11/15,1729917
2010/11/16,2186605
2010/11/17,2176212
2010/11/18,2167844
2010/11/19,2143828
2010/11/20,2077171
2010/11/21,2044910
2010/11/22,803711
2010/11/23,7768
2010/11/24,9049
2010/11/25,11413
2010/11/26,25002
2010/11/27,25224
2010/11/28,25644
2010/11/29,22286
2010/11/30,17826
2010/12/01,17820
2010/12/02,18455
2010/12/03,2439
2010/12/04,2515
2010/12/05,2621
2010/12/06,2620
2010/12/07,5862
