Date,size30roc
2010/07/17,170.034
2010/07/18,203.011
2010/07/19,89.042
2010/07/20,355.245
2010/07/21,73.163
2010/07/22,59.962
2010/07/23,65.02
2010/07/24,413.49
2010/07/25,1242
2010/07/26,347.386
2010/07/27,193.422
2010/07/28,1145
2010/07/29,559.046
2010/07/30,-52.204
2010/07/31,41.243
2010/08/01,-41.358
2010/08/02,36.661
2010/08/03,89.337
2010/08/04,44.706
2010/08/05,292.463
2010/08/06,98.418
2010/08/07,111.687
2010/08/08,95.393
2010/08/09,470.148
2010/08/10,-6.603
2010/08/11,-49.984
2010/08/12,-13.785
2010/08/13,-72.656
2010/08/14,-48.033
2010/08/15,-39.16
2010/08/16,49.138
2010/08/17,-22.313
2010/08/18,154.55
2010/08/19,-44.892
2010/08/20,-5.097
2010/08/21,-6.807
2010/08/22,-12.435
2010/08/23,-71.837
2010/08/24,-75.987
2010/08/25,-63.582
2010/08/26,-29.108
2010/08/27,-88.217
2010/08/28,-77.789
2010/08/29,-38.192
2010/08/30,51.521
2010/08/31,155.208
2010/09/01,128.288
2010/09/02,-29.16
2010/09/03,4.442
2010/09/04,-61.222
2010/09/05,-31.205
2010/09/06,-24.125
2010/09/07,-13.703
2010/09/08,-67.65
2010/09/09,60.511
2010/09/10,15.474
2010/09/11,12.115
2010/09/12,-18.103
2010/09/13,69.217
2010/09/14,60.185
2010/09/15,-29.127
2010/09/16,-20.849
2010/09/17,-66.457
2010/09/18,-31.52
2010/09/19,-16.734
2010/09/20,33.368
2010/09/21,276.566
2010/09/22,185.62
2010/09/23,-0.33
2010/09/24,59.122
2010/09/25,44.587
2010/09/26,28.085
2010/09/27,66.521
2010/09/28,242.962
2010/09/29,258.876
2010/09/30,-24.993
2010/10/01,25.874
2010/10/02,229.399
2010/10/03,101.201
2010/10/04,153.217
2010/10/05,97.806
2010/10/06,48.2
2010/10/07,51.898
2010/10/08,63.276
2010/10/09,30.013
2010/10/10,14.451
2010/10/11,35.527
2010/10/12,-0.272
2010/10/13,13.346
2010/10/14,-5.704
2010/10/15,-34.358
2010/10/16,3.699
2010/10/17,-37.029
2010/10/18,75.907
2010/10/19,152.758
2010/10/20,28.831
2010/10/21,-39.578
2010/10/22,1.61
2010/10/23,9.155
2010/10/24,32.878
2010/10/25,-17.273
2010/10/26,9.943
2010/10/27,-5.514
2010/10/28,-43.28
2010/10/29,-69.382
2010/10/30,-41.249
2010/10/31,-55.07
2010/11/01,-71.18
2010/11/02,-57.043
2010/11/03,-47.036
2010/11/04,-52.969
2010/11/05,-0.799
2010/11/06,-23.807
2010/11/07,-42.917
2010/11/08,-7.327
2010/11/09,-15.298
2010/11/10,-18.687
2010/11/11,-30.496
2010/11/12,-50.952
2010/11/13,-25.237
2010/11/14,6.482
2010/11/15,1684
2010/11/16,2575
2010/11/17,-35.137
2010/11/18,19.458
2010/11/19,1741
2010/11/20,2029
2010/11/21,1284
2010/11/22,-33.441
2010/11/23,-4.905
2010/11/24,840.968
2010/11/25,1601
2010/11/26,121.255
2010/11/27,2.645
2010/11/28,-2.249
2010/11/29,54.77
2010/11/30,22.718
2010/12/01,57.61
2010/12/02,67.122
2010/12/03,37.27
2010/12/04,15.214
2010/12/05,-34.659
2010/12/06,-5.734
2010/12/07,50.282
2010/12/08,-28.956
2010/12/09,22.425
