Date,top100cap14std
2010/07/17,0.559
2010/07/18,0.56
2010/07/19,0.558
2010/07/20,0.564
2010/07/21,0.535
2010/07/22,0.504
2010/07/23,0.47
2010/07/24,0.381
2010/07/25,0.217
2010/07/26,0.399
2010/07/27,0.536
2010/07/28,0.61
2010/07/29,0.672
2010/07/30,0.716
2010/07/31,0.743
2010/08/01,0.762
2010/08/02,0.758
2010/08/03,0.737
2010/08/04,0.703
2010/08/05,0.653
2010/08/06,0.555
2010/08/07,0.421
2010/08/08,0.151
2010/08/09,0.152
2010/08/10,0.144
2010/08/11,0.165
2010/08/12,0.158
2010/08/13,0.166
2010/08/14,0.169
2010/08/15,0.169
2010/08/16,0.188
2010/08/17,0.237
2010/08/18,0.252
2010/08/19,0.261
2010/08/20,0.265
2010/08/21,0.248
2010/08/22,0.211
2010/08/23,0.207
2010/08/24,0.186
2010/08/25,0.186
2010/08/26,0.164
2010/08/27,0.159
2010/08/28,0.136
2010/08/29,0.109
2010/08/30,0.145
2010/08/31,0.147
2010/09/01,0.157
2010/09/02,0.166
2010/09/03,0.167
2010/09/04,0.167
2010/09/05,0.156
2010/09/06,0.147
2010/09/07,0.126
2010/09/08,0.129
2010/09/09,0.134
2010/09/10,0.114
2010/09/11,0.123
2010/09/12,0.127
2010/09/13,0.169
2010/09/14,0.215
2010/09/15,0.262
2010/09/16,0.272
2010/09/17,0.347
2010/09/18,0.415
2010/09/19,0.503
2010/09/20,0.585
2010/09/21,0.642
2010/09/22,0.672
2010/09/23,0.727
2010/09/24,0.772
2010/09/25,0.815
2010/09/26,0.856
2010/09/27,0.922
2010/09/28,1.283
2010/09/29,1.448
2010/09/30,1.501
2010/10/01,1.58
2010/10/02,1.731
2010/10/03,1.825
2010/10/04,1.819
2010/10/05,1.769
2010/10/06,1.639
2010/10/07,1.571
2010/10/08,1.467
2010/10/09,1.347
2010/10/10,1.172
2010/10/11,0.968
2010/10/12,1.006
2010/10/13,1.037
2010/10/14,1.047
2010/10/15,0.982
2010/10/16,1.02
2010/10/17,1.035
2010/10/18,0.981
2010/10/19,0.855
2010/10/20,0.622
2010/10/21,0.508
2010/10/22,0.415
2010/10/23,0.369
2010/10/24,0.355
2010/10/25,0.306
2010/10/26,0.248
2010/10/27,0.236
2010/10/28,0.237
2010/10/29,0.186
2010/10/30,0.178
2010/10/31,0.173
2010/11/01,0.168
2010/11/02,0.158
2010/11/03,0.154
2010/11/04,0.146
2010/11/05,0.141
2010/11/06,0.142
2010/11/07,0.131
2010/11/08,0.36
2010/11/09,0.461
2010/11/10,0.496
2010/11/11,0.513
2010/11/12,0.513
2010/11/13,0.494
2010/11/14,0.486
2010/11/15,0.471
2010/11/16,0.455
2010/11/17,0.426
2010/11/18,0.388
2010/11/19,0.357
2010/11/20,0.332
2010/11/21,0.274
2010/11/22,0.208
2010/11/23,0.134
2010/11/24,0.145
2010/11/25,0.187
2010/11/26,0.222
2010/11/27,0.234
2010/11/28,0.247
2010/11/29,0.245
2010/11/30,0.255
2010/12/01,0.316
2010/12/02,0.42
2010/12/03,0.548
2010/12/04,0.651
2010/12/05,0.715
2010/12/06,0.701
2010/12/07,0.674
2010/12/08,0.653
2010/12/09,0.628
2010/12/10,0.599
2010/12/11,0.552
2010/12/12,0.487
2010/12/13,0.397
