Date,mining_profitability7mom
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,175304
2010/07/25,-80995
2010/07/26,-191846
2010/07/27,-233442
2010/07/28,-218412
2010/07/29,-56259
2010/07/30,-44306
2010/07/31,-31965
2010/08/01,-47758
2010/08/02,-41158
2010/08/03,36042
2010/08/04,21957
2010/08/05,-71791
2010/08/06,-132593
2010/08/07,-119588
2010/08/08,-82391
2010/08/09,-66855
2010/08/10,-36160
2010/08/11,-67498
2010/08/12,-13744
2010/08/13,36901
2010/08/14,43670
2010/08/15,-72511
2010/08/16,-54579
2010/08/17,-75062
2010/08/18,-58855
2010/08/19,-61383
2010/08/20,-25013
2010/08/21,-99112
2010/08/22,21486
2010/08/23,1807
2010/08/24,5456
2010/08/25,-12387
2010/08/26,-7450
2010/08/27,-60244
2010/08/28,-23516
2010/08/29,-36240
2010/08/30,-26292
2010/08/31,-21042
2010/09/01,-33953
2010/09/02,-24192
2010/09/03,6455
2010/09/04,5146
2010/09/05,-7798
2010/09/06,-6191
2010/09/07,-5061
2010/09/08,661.133
2010/09/09,-23844
2010/09/10,-4765
2010/09/11,-20034
2010/09/12,-6572
2010/09/13,-11199
2010/09/14,-6728
2010/09/15,-11786
2010/09/16,22528
2010/09/17,-15866
2010/09/18,5526
2010/09/19,-24067
2010/09/20,-18701
2010/09/21,-33229
2010/09/22,-11295
2010/09/23,-18748
2010/09/24,-14184
2010/09/25,-26063
2010/09/26,3987
2010/09/27,3913
2010/09/28,-1769
2010/09/29,-28835
2010/09/30,-32906
2010/10/01,-20025
2010/10/02,-26297
2010/10/03,-17481
2010/10/04,-19060
2010/10/05,-17608
2010/10/06,14638
2010/10/07,300.541
2010/10/08,10123
2010/10/09,30887
2010/10/10,25451
2010/10/11,15324
2010/10/12,24012
2010/10/13,21088
2010/10/14,35343
2010/10/15,12385
2010/10/16,19505
2010/10/17,-5159
2010/10/18,4913
2010/10/19,10005
2010/10/20,-757.919
2010/10/21,-42188
2010/10/22,-21908
2010/10/23,-36417
2010/10/24,-12337
2010/10/25,-21335
