Date,top100cap14wma
2010/07/17,25.848
2010/07/18,25.824
2010/07/19,25.789
2010/07/20,25.749
2010/07/21,25.718
2010/07/22,25.689
2010/07/23,25.652
2010/07/24,25.625
2010/07/25,25.601
2010/07/26,25.692
2010/07/27,25.785
2010/07/28,25.871
2010/07/29,25.949
2010/07/30,26.02
2010/07/31,26.076
2010/08/01,26.126
2010/08/02,26.163
2010/08/03,26.2
2010/08/04,26.218
2010/08/05,26.237
2010/08/06,26.246
2010/08/07,26.245
2010/08/08,26.234
2010/08/09,26.242
2010/08/10,26.24
2010/08/11,26.264
2010/08/12,26.27
2010/08/13,26.288
2010/08/14,26.297
2010/08/15,26.301
2010/08/16,26.323
2010/08/17,26.36
2010/08/18,26.391
2010/08/19,26.415
2010/08/20,26.443
2010/08/21,26.462
2010/08/22,26.48
2010/08/23,26.492
2010/08/24,26.507
2010/08/25,26.509
2010/08/26,26.511
2010/08/27,26.518
2010/08/28,26.513
2010/08/29,26.495
2010/08/30,26.469
2010/08/31,26.456
2010/09/01,26.44
2010/09/02,26.424
2010/09/03,26.408
2010/09/04,26.397
2010/09/05,26.396
2010/09/06,26.393
2010/09/07,26.386
2010/09/08,26.371
2010/09/09,26.354
2010/09/10,26.337
2010/09/11,26.318
2010/09/12,26.309
2010/09/13,26.28
2010/09/14,26.242
2010/09/15,26.201
2010/09/16,26.177
2010/09/17,26.234
2010/09/18,26.294
2010/09/19,26.368
2010/09/20,26.446
2010/09/21,26.514
2010/09/22,26.568
2010/09/23,26.646
2010/09/24,26.723
2010/09/25,26.809
2010/09/26,26.896
2010/09/27,27.023
2010/09/28,27.286
2010/09/29,27.521
2010/09/30,27.721
2010/10/01,27.89
2010/10/02,28.114
2010/10/03,28.314
2010/10/04,28.455
2010/10/05,28.585
2010/10/06,28.688
2010/10/07,28.84
2010/10/08,28.995
2010/10/09,29.157
2010/10/10,29.322
2010/10/11,29.447
2010/10/12,29.547
2010/10/13,29.655
2010/10/14,29.773
2010/10/15,29.864
2010/10/16,29.964
2010/10/17,30.056
2010/10/18,30.16
2010/10/19,30.222
2010/10/20,30.278
2010/10/21,30.317
2010/10/22,30.35
2010/10/23,30.377
2010/10/24,30.395
2010/10/25,30.41
2010/10/26,30.442
2010/10/27,30.48
2010/10/28,30.504
2010/10/29,30.509
2010/10/30,30.505
2010/10/31,30.512
2010/11/01,30.516
2010/11/02,30.524
2010/11/03,30.522
2010/11/04,30.52
2010/11/05,30.523
2010/11/06,30.534
2010/11/07,30.533
2010/11/08,30.622
2010/11/09,30.697
2010/11/10,30.744
2010/11/11,30.779
2010/11/12,30.807
2010/11/13,30.816
2010/11/14,30.833
