Date,mediantransactionvalue3varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0.006
2010/07/20,4.928
2010/07/21,3.898
2010/07/22,2.863
2010/07/23,1.881
2010/07/24,0.063
2010/07/25,0.029
2010/07/26,1.074
2010/07/27,1.211
2010/07/28,1.452
2010/07/29,0.008
2010/07/30,0.173
2010/07/31,0.308
2010/08/01,0.871
2010/08/02,0.655
2010/08/03,1.055
2010/08/04,1.023
2010/08/05,0.982
2010/08/06,1.649
2010/08/07,1.241
2010/08/08,0.34
2010/08/09,1.988
2010/08/10,2.509
2010/08/11,0.027
2010/08/12,0.017
2010/08/13,0.013
2010/08/14,0.006
2010/08/15,0
2010/08/16,0.371
2010/08/17,0.351
2010/08/18,0.312
2010/08/19,0.001
2010/08/20,0.004
2010/08/21,0.001
2010/08/22,0
2010/08/23,0
2010/08/24,0
2010/08/25,0
2010/08/26,1.93
2010/08/27,1.915
2010/08/28,1.691
2010/08/29,1.668
2010/08/30,0.028
2010/08/31,1.749
2010/09/01,1.576
2010/09/02,1.307
2010/09/03,5.019
2010/09/04,2.06
2010/09/05,2.083
2010/09/06,2.082
2010/09/07,0
2010/09/08,1.97
2010/09/09,1.935
2010/09/10,1.808
2010/09/11,1.717
2010/09/12,0.009
2010/09/13,0.08
2010/09/14,1.679
2010/09/15,0.935
2010/09/16,0.202
2010/09/17,0.182
2010/09/18,0.002
2010/09/19,0.903
2010/09/20,3.04
2010/09/21,4.686
2010/09/22,0.096
2010/09/23,0.208
2010/09/24,0.269
2010/09/25,0.26
2010/09/26,0.253
2010/09/27,0.006
2010/09/28,1.128
2010/09/29,6.788
2010/09/30,5.005
2010/10/01,6.654
2010/10/02,0.197
2010/10/03,5.106
2010/10/04,52.642
2010/10/05,27.59
2010/10/06,38.754
2010/10/07,26.03
2010/10/08,20.233
2010/10/09,0.056
2010/10/10,1.707
2010/10/11,5.793
2010/10/12,5.134
2010/10/13,0.801
2010/10/14,1737
2010/10/15,1330
2010/10/16,528.872
2010/10/17,1464
2010/10/18,2155
2010/10/19,77.577
2010/10/20,26.811
2010/10/21,0.272
2010/10/22,3.419
