Date,activeaddresses90wma
2010/07/17,652.096
2010/07/18,661.491
2010/07/19,672.004
2010/07/20,680.933
2010/07/21,687.601
2010/07/22,689.513
2010/07/23,692.502
2010/07/24,702.259
2010/07/25,737.535
2010/07/26,752.71
2010/07/27,757.385
2010/07/28,759.82
2010/07/29,758.933
2010/07/30,759.178
2010/07/31,756.97
2010/08/01,757.884
2010/08/02,758.868
2010/08/03,767.405
2010/08/04,770.436
2010/08/05,775.33
2010/08/06,776.103
2010/08/07,774.104
2010/08/08,773.581
2010/08/09,777.251
2010/08/10,776.638
2010/08/11,778.385
2010/08/12,777.342
2010/08/13,782.108
2010/08/14,780.465
2010/08/15,775.693
2010/08/16,778.515
2010/08/17,775.112
2010/08/18,776.763
2010/08/19,772.681
2010/08/20,772.654
2010/08/21,769.737
2010/08/22,768.076
2010/08/23,767.824
2010/08/24,767.035
2010/08/25,763.268
2010/08/26,762.834
2010/08/27,758.923
2010/08/28,755.638
2010/08/29,749.279
2010/08/30,745.794
2010/08/31,746.909
2010/09/01,745.028
2010/09/02,741.779
2010/09/03,737.511
2010/09/04,732.107
2010/09/05,728.791
2010/09/06,724.645
2010/09/07,718.083
2010/09/08,714.63
2010/09/09,710.433
2010/09/10,706.79
2010/09/11,700.713
2010/09/12,700.723
2010/09/13,700.817
2010/09/14,699.638
2010/09/15,698.324
2010/09/16,697.423
2010/09/17,703.411
2010/09/18,699.554
2010/09/19,697.657
2010/09/20,696.806
2010/09/21,707.102
2010/09/22,713.297
2010/09/23,719.547
2010/09/24,720.284
2010/09/25,721.28
2010/09/26,717.712
2010/09/27,728.26
2010/09/28,748.047
2010/09/29,756.518
2010/09/30,752.487
2010/10/01,752.985
2010/10/02,751.892
2010/10/03,748.34
2010/10/04,748.147
2010/10/05,745.092
2010/10/06,741.694
2010/10/07,737.215
2010/10/08,736.311
2010/10/09,733.922
2010/10/10,728.702
2010/10/11,724.373
2010/10/12,720.708
2010/10/13,724.69
2010/10/14,722.522
2010/10/15,719.451
2010/10/16,724.171
2010/10/17,724.909
2010/10/18,729.987
2010/10/19,745.187
2010/10/20,755.295
2010/10/21,761.106
2010/10/22,766.351
2010/10/23,768.583
2010/10/24,771.483
2010/10/25,772.302
2010/10/26,775.631
2010/10/27,784.429
2010/10/28,790.469
2010/10/29,793.11
2010/10/30,791.506
2010/10/31,787.981
2010/11/01,785.019
2010/11/02,779.093
2010/11/03,775.784
2010/11/04,773.26
2010/11/05,775.755
2010/11/06,772.918
2010/11/07,772.144
2010/11/08,790.755
2010/11/09,788.84
2010/11/10,787.004
2010/11/11,784.052
2010/11/12,777.973
2010/11/13,774.623
2010/11/14,778.313
2010/11/15,858.784
2010/11/16,915.643
2010/11/17,912.737
2010/11/18,908.835
2010/11/19,905.138
2010/11/20,904.555
2010/11/21,903.353
2010/11/22,899.18
2010/11/23,895.8
2010/11/24,899.041
2010/11/25,901.084
2010/11/26,909.29
2010/11/27,909.091
2010/11/28,906.236
2010/11/29,907.6
2010/11/30,906.661
2010/12/01,912.53
2010/12/02,911.735
2010/12/03,912.379
2010/12/04,909.578
2010/12/05,905.985
2010/12/06,903.205
2010/12/07,909.31
2010/12/08,910.018
2010/12/09,909.135
2010/12/10,903.808
2010/12/11,907.969
2010/12/12,914.768
2010/12/13,932.043
2010/12/14,937.226
2010/12/15,941.15
2010/12/16,941.987
2010/12/17,939.475
2010/12/18,938.268
2010/12/19,942.066
2010/12/20,953.969
2010/12/21,957.636
2010/12/22,963.95
2010/12/23,966.005
2010/12/24,964.338
2010/12/25,967.61
2010/12/26,969.716
2010/12/27,974.342
2010/12/28,976.688
2010/12/29,978.195
2010/12/30,981.837
2010/12/31,981.177
2011/01/01,984.422
2011/01/02,986.997
2011/01/03,997.143
2011/01/04,1000
2011/01/05,1013
2011/01/06,1018
2011/01/07,1024
2011/01/08,1035
2011/01/09,1044
2011/01/10,1054
2011/01/11,1066
2011/01/12,1072
2011/01/13,1087
2011/01/14,1100
2011/01/15,1109
2011/01/16,1120
2011/01/17,1126
2011/01/18,1135
2011/01/19,1146
2011/01/20,1154
2011/01/21,1174
2011/01/22,1199
2011/01/23,1218
2011/01/24,1239
2011/01/25,1246
2011/01/26,1257
2011/01/27,1269
2011/01/28,1281
2011/01/29,1301
2011/01/30,1346
2011/01/31,1369
2011/02/01,1385
2011/02/02,1391
2011/02/03,1392
2011/02/04,1398
2011/02/05,1404
2011/02/06,1407
2011/02/07,1410
2011/02/08,1414
2011/02/09,1432
2011/02/10,1481
2011/02/11,1547
2011/02/12,1590
2011/02/13,1631
2011/02/14,1691
2011/02/15,1736
2011/02/16,1770
2011/02/17,1815
2011/02/18,1862
2011/02/19,1893
2011/02/20,1929
2011/02/21,1967
2011/02/22,2015
2011/02/23,2063
2011/02/24,2108
2011/02/25,2146
2011/02/26,2187
2011/02/27,2229
2011/02/28,2257
2011/03/01,2332
2011/03/02,2373
2011/03/03,2440
2011/03/04,2470
2011/03/05,2506
2011/03/06,2536
2011/03/07,2567
2011/03/08,2607
2011/03/09,2636
2011/03/10,2654
2011/03/11,2675
2011/03/12,2699
2011/03/13,2715
2011/03/14,2731
2011/03/15,2755
2011/03/16,2776
2011/03/17,2798
2011/03/18,2816
2011/03/19,2835
2011/03/20,2882
2011/03/21,2933
2011/03/22,2965
2011/03/23,3063
2011/03/24,3104
2011/03/25,3141
2011/03/26,3191
2011/03/27,3238
2011/03/28,3298
2011/03/29,3341
2011/03/30,3361
2011/03/31,3392
2011/04/01,3403
2011/04/02,3413
2011/04/03,3431
2011/04/04,3469
2011/04/05,3500
2011/04/06,3520
2011/04/07,3530
2011/04/08,3545
2011/04/09,3558
2011/04/10,3568
2011/04/11,3590
2011/04/12,3617
2011/04/13,3651
2011/04/14,3713
2011/04/15,3733
2011/04/16,3780
2011/04/17,3804
2011/04/18,3853
2011/04/19,3918
2011/04/20,3962
2011/04/21,3975
2011/04/22,3992
2011/04/23,4023
2011/04/24,4048
2011/04/25,4081
2011/04/26,4137
2011/04/27,4221
2011/04/28,4276
2011/04/29,4341
2011/04/30,4437
2011/05/01,4516
2011/05/02,4561
2011/05/03,4606
2011/05/04,4658
2011/05/05,4724
2011/05/06,4783
2011/05/07,4851
2011/05/08,4897
2011/05/09,4968
2011/05/10,5029
2011/05/11,5087
2011/05/12,5147
2011/05/13,5255
2011/05/14,5351
2011/05/15,5432
2011/05/16,5587
2011/05/17,5712
2011/05/18,5889
2011/05/19,6043
2011/05/20,6187
2011/05/21,6310
2011/05/22,6432
2011/05/23,6580
2011/05/24,6751
2011/05/25,6949
2011/05/26,7142
2011/05/27,7253
2011/05/28,7380
2011/05/29,7495
2011/05/30,7642
2011/05/31,7816
2011/06/01,7986
2011/06/02,8188
2011/06/03,8437
2011/06/04,8718
2011/06/05,8960
2011/06/06,9268
2011/06/07,9527
2011/06/08,9966
2011/06/09,10376
2011/06/10,10734
2011/06/11,11078
2011/06/12,11488
2011/06/13,11867
2011/06/14,12326
2011/06/15,12731
2011/06/16,13158
2011/06/17,13517
2011/06/18,13872
2011/06/19,14258
2011/06/20,14599
2011/06/21,14913
2011/06/22,15262
2011/06/23,15552
2011/06/24,15856
2011/06/25,16098
2011/06/26,16356
2011/06/27,16755
2011/06/28,17060
2011/06/29,17319
2011/06/30,17555
2011/07/01,17933
2011/07/02,18349
2011/07/03,18539
2011/07/04,18754
2011/07/05,18958
2011/07/06,19237
2011/07/07,19423
2011/07/08,19641
2011/07/09,19813
2011/07/10,20110
2011/07/11,20340
2011/07/12,20502
2011/07/13,20750
2011/07/14,21030
2011/07/15,21207
2011/07/16,21371
2011/07/17,21544
2011/07/18,21783
2011/07/19,21951
2011/07/20,22135
2011/07/21,22305
2011/07/22,22448
2011/07/23,22530
2011/07/24,22637
2011/07/25,22821
2011/07/26,22931
2011/07/27,23030
2011/07/28,23178
2011/07/29,23240
2011/07/30,23245
2011/07/31,23343
2011/08/01,23429
2011/08/02,23464
2011/08/03,23424
2011/08/04,23393
2011/08/05,23415
2011/08/06,23406
2011/08/07,23389
2011/08/08,23470
2011/08/09,23525
2011/08/10,23489
2011/08/11,23419
2011/08/12,23322
2011/08/13,23267
2011/08/14,23261
2011/08/15,23202
2011/08/16,23180
2011/08/17,23143
2011/08/18,23110
2011/08/19,23109
2011/08/20,23081
2011/08/21,23087
2011/08/22,23143
2011/08/23,23142
2011/08/24,23126
2011/08/25,23129
2011/08/26,23095
2011/08/27,23044
2011/08/28,22938
2011/08/29,22840
2011/08/30,22711
2011/08/31,22570
2011/09/01,22427
2011/09/02,22266
2011/09/03,22069
2011/09/04,21940
2011/09/05,21828
2011/09/06,21728
2011/09/07,21587
2011/09/08,21425
2011/09/09,21328
2011/09/10,21173
2011/09/11,21009
2011/09/12,20875
2011/09/13,20705
2011/09/14,20536
2011/09/15,20386
2011/09/16,20218
2011/09/17,20022
2011/09/18,19856
2011/09/19,19730
2011/09/20,19736
2011/09/21,19655
2011/09/22,19567
2011/09/23,19535
2011/09/24,19491
2011/09/25,19444
2011/09/26,19367
2011/09/27,19312
2011/09/28,19150
2011/09/29,18970
2011/09/30,18809
2011/10/01,18642
2011/10/02,18452
2011/10/03,18308
2011/10/04,18166
2011/10/05,18024
2011/10/06,17902
2011/10/07,17767
2011/10/08,17606
2011/10/09,17445
2011/10/10,17311
2011/10/11,17187
2011/10/12,17063
2011/10/13,16901
2011/10/14,16805
2011/10/15,16682
2011/10/16,16535
2011/10/17,16439
2011/10/18,16306
2011/10/19,16182
2011/10/20,16029
2011/10/21,15900
2011/10/22,15774
2011/10/23,15676
2011/10/24,15597
2011/10/25,15502
2011/10/26,15395
2011/10/27,15270
2011/10/28,15174
2011/10/29,15084
2011/10/30,14965
2011/10/31,14862
2011/11/01,14778
2011/11/02,14703
2011/11/03,14629
2011/11/04,14616
2011/11/05,14554
2011/11/06,14451
2011/11/07,14374
2011/11/08,14325
2011/11/09,14290
2011/11/10,14257
2011/11/11,14176
2011/11/12,14098
2011/11/13,14029
2011/11/14,13988
2011/11/15,13958
2011/11/16,13908
2011/11/17,13839
2011/11/18,13777
2011/11/19,13666
2011/11/20,13587
2011/11/21,13483
2011/11/22,13413
2011/11/23,13344
2011/11/24,13267
2011/11/25,13208
2011/11/26,13121
2011/11/27,13046
2011/11/28,13015
2011/11/29,13023
2011/11/30,13055
2011/12/01,13056
2011/12/02,13042
2011/12/03,13019
2011/12/04,12975
2011/12/05,12959
2011/12/06,12992
2011/12/07,12974
2011/12/08,12982
2011/12/09,12941
2011/12/10,12905
2011/12/11,12873
2011/12/12,12826
2011/12/13,12793
2011/12/14,12761
2011/12/15,12687
2011/12/16,12627
2011/12/17,12559
2011/12/18,12484
2011/12/19,12473
2011/12/20,12486
2011/12/21,12460
2011/12/22,12439
2011/12/23,12422
2011/12/24,12365
2011/12/25,12345
2011/12/26,12334
2011/12/27,12316
2011/12/28,12277
2011/12/29,12250
2011/12/30,12207
2011/12/31,12172
2012/01/01,12149
2012/01/02,12137
2012/01/03,12152
2012/01/04,12153
2012/01/05,12219
2012/01/06,12273
2012/01/07,12295
2012/01/08,12343
2012/01/09,12395
2012/01/10,12474
2012/01/11,12573
2012/01/12,12601
2012/01/13,12644
2012/01/14,12687
2012/01/15,12708
2012/01/16,12757
2012/01/17,12794
2012/01/18,12839
2012/01/19,12892
2012/01/20,12924
2012/01/21,12941
2012/01/22,12912
2012/01/23,12922
2012/01/24,12971
2012/01/25,13055
2012/01/26,13091
2012/01/27,13126
2012/01/28,13131
2012/01/29,13164
2012/01/30,13177
2012/01/31,13237
2012/02/01,13282
2012/02/02,13352
2012/02/03,13431
2012/02/04,13505
2012/02/05,13545
2012/02/06,13563
2012/02/07,13599
2012/02/08,13632
2012/02/09,13677
2012/02/10,13749
2012/02/11,13796
2012/02/12,13818
2012/02/13,13885
2012/02/14,13999
2012/02/15,14098
2012/02/16,14215
2012/02/17,14233
2012/02/18,14256
2012/02/19,14251
2012/02/20,14268
2012/02/21,14294
2012/02/22,14353
2012/02/23,14439
2012/02/24,14501
2012/02/25,14532
2012/02/26,14521
2012/02/27,14544
2012/02/28,14599
2012/02/29,14634
2012/03/01,14684
2012/03/02,14766
2012/03/03,14736
2012/03/04,14758
2012/03/05,14806
2012/03/06,14834
2012/03/07,14861
2012/03/08,14898
2012/03/09,14936
2012/03/10,14909
2012/03/11,14876
2012/03/12,14881
2012/03/13,14940
2012/03/14,14983
2012/03/15,15002
2012/03/16,15044
2012/03/17,15081
2012/03/18,15068
2012/03/19,15091
2012/03/20,15123
2012/03/21,15160
2012/03/22,15184
2012/03/23,15176
2012/03/24,15160
2012/03/25,15152
2012/03/26,15175
2012/03/27,15191
2012/03/28,15222
2012/03/29,15270
2012/03/30,15271
2012/03/31,15250
2012/04/01,15200
2012/04/02,15197
2012/04/03,15280
2012/04/04,15314
2012/04/05,15341
2012/04/06,15367
2012/04/07,15347
2012/04/08,15319
2012/04/09,15320
2012/04/10,15369
2012/04/11,15442
2012/04/12,15521
2012/04/13,15532
2012/04/14,15578
2012/04/15,15598
2012/04/16,15681
2012/04/17,15750
2012/04/18,15836
2012/04/19,15887
2012/04/20,15971
2012/04/21,15987
2012/04/22,15966
2012/04/23,15989
2012/04/24,16026
2012/04/25,16064
2012/04/26,16140
2012/04/27,16172
2012/04/28,16175
2012/04/29,16178
2012/04/30,16249
2012/05/01,16340
2012/05/02,16433
2012/05/03,16562
2012/05/04,16707
2012/05/05,16792
2012/05/06,16924
2012/05/07,17130
2012/05/08,17292
2012/05/09,17475
2012/05/10,17559
2012/05/11,17767
2012/05/12,17898
2012/05/13,17982
2012/05/14,18323
2012/05/15,18544
2012/05/16,18728
2012/05/17,18844
2012/05/18,19038
2012/05/19,19348
2012/05/20,19608
2012/05/21,19883
2012/05/22,20092
2012/05/23,20343
2012/05/24,20558
2012/05/25,20815
2012/05/26,20970
2012/05/27,21137
2012/05/28,21373
2012/05/29,21709
2012/05/30,21914
2012/05/31,22113
2012/06/01,22324
2012/06/02,22344
2012/06/03,22579
2012/06/04,23056
2012/06/05,23513
2012/06/06,23595
2012/06/07,23921
2012/06/08,24086
2012/06/09,24320
2012/06/10,24599
2012/06/11,24846
2012/06/12,24889
2012/06/13,25441
2012/06/14,26050
2012/06/15,26638
2012/06/16,27003
2012/06/17,27363
2012/06/18,27679
2012/06/19,27944
2012/06/20,28132
2012/06/21,28260
2012/06/22,28374
2012/06/23,28506
2012/06/24,28596
2012/06/25,28804
2012/06/26,29051
2012/06/27,29361
2012/06/28,29527
2012/06/29,29696
2012/06/30,29834
2012/07/01,29963
2012/07/02,30195
2012/07/03,30382
2012/07/04,30496
2012/07/05,30526
2012/07/06,30583
2012/07/07,30672
2012/07/08,30691
2012/07/09,30802
2012/07/10,31014
2012/07/11,31185
2012/07/12,31327
2012/07/13,31401
2012/07/14,31440
2012/07/15,31486
2012/07/16,31670
2012/07/17,31926
2012/07/18,32046
2012/07/19,32206
2012/07/20,32358
2012/07/21,32493
2012/07/22,32697
2012/07/23,32963
2012/07/24,33144
2012/07/25,33169
2012/07/26,33175
2012/07/27,33210
2012/07/28,33380
2012/07/29,33486
2012/07/30,33593
2012/07/31,34192
2012/08/01,34385
2012/08/02,34604
2012/08/03,34692
2012/08/04,34765
2012/08/05,34878
2012/08/06,35087
2012/08/07,35222
2012/08/08,35634
2012/08/09,35784
2012/08/10,35892
2012/08/11,35991
2012/08/12,36101
2012/08/13,36418
2012/08/14,36604
2012/08/15,36952
2012/08/16,37541
2012/08/17,38013
2012/08/18,38365
2012/08/19,38855
2012/08/20,39104
2012/08/21,39500
2012/08/22,39784
2012/08/23,39935
2012/08/24,40111
2012/08/25,40098
2012/08/26,40040
2012/08/27,40063
2012/08/28,40117
2012/08/29,40156
2012/08/30,40078
2012/08/31,40334
2012/09/01,40486
2012/09/02,40413
2012/09/03,40300
2012/09/04,40475
2012/09/05,40546
2012/09/06,40732
2012/09/07,40853
2012/09/08,40743
2012/09/09,40775
2012/09/10,40743
2012/09/11,40881
2012/09/12,40777
2012/09/13,40696
2012/09/14,40688
2012/09/15,40499
2012/09/16,40347
2012/09/17,40229
2012/09/18,40237
2012/09/19,40334
2012/09/20,40524
2012/09/21,40532
2012/09/22,40277
2012/09/23,40051
2012/09/24,39932
2012/09/25,40029
2012/09/26,40236
2012/09/27,40302
2012/09/28,40542
2012/09/29,40522
2012/09/30,40417
2012/10/01,40386
2012/10/02,40688
2012/10/03,40917
2012/10/04,41178
2012/10/05,41274
2012/10/06,41244
2012/10/07,41309
2012/10/08,41464
2012/10/09,41719
2012/10/10,41861
2012/10/11,41866
2012/10/12,41943
2012/10/13,41902
2012/10/14,41840
2012/10/15,41947
2012/10/16,41982
2012/10/17,42053
2012/10/18,42259
2012/10/19,42333
2012/10/20,42361
2012/10/21,42291
2012/10/22,42280
2012/10/23,42268
2012/10/24,42263
2012/10/25,42205
2012/10/26,42106
2012/10/27,41830
2012/10/28,41510
2012/10/29,41368
2012/10/30,41205
2012/10/31,40993
2012/11/01,40774
2012/11/02,40587
2012/11/03,40392
2012/11/04,40153
2012/11/05,40068
2012/11/06,40062
2012/11/07,40111
2012/11/08,40031
2012/11/09,39930
2012/11/10,39786
2012/11/11,39542
2012/11/12,39333
2012/11/13,39153
2012/11/14,39088
2012/11/15,39216
2012/11/16,39391
2012/11/17,39668
2012/11/18,39727
2012/11/19,39776
2012/11/20,39857
2012/11/21,39948
2012/11/22,39978
2012/11/23,39874
2012/11/24,39811
2012/11/25,39730
2012/11/26,39761
2012/11/27,39730
2012/11/28,39816
2012/11/29,39857
2012/11/30,39794
2012/12/01,39681
2012/12/02,39415
2012/12/03,39202
2012/12/04,39263
2012/12/05,39369
2012/12/06,39399
2012/12/07,39428
2012/12/08,39398
2012/12/09,39381
2012/12/10,39299
2012/12/11,39243
2012/12/12,39311
2012/12/13,39454
2012/12/14,39495
2012/12/15,39379
2012/12/16,39286
2012/12/17,39309
2012/12/18,39488
2012/12/19,39569
2012/12/20,39559
2012/12/21,39693
2012/12/22,40020
2012/12/23,40007
2012/12/24,39995
2012/12/25,39769
2012/12/26,39719
2012/12/27,39637
2012/12/28,39686
2012/12/29,39682
2012/12/30,39803
2012/12/31,39679
2013/01/01,39628
2013/01/02,39696
2013/01/03,39946
2013/01/04,40107
2013/01/05,40400
2013/01/06,40444
2013/01/07,40750
2013/01/08,41099
2013/01/09,41449
2013/01/10,41905
2013/01/11,42354
2013/01/12,42572
2013/01/13,42891
2013/01/14,42962
2013/01/15,43325
2013/01/16,43703
2013/01/17,44090
2013/01/18,44432
2013/01/19,44602
2013/01/20,44698
2013/01/21,44789
2013/01/22,45044
2013/01/23,45163
2013/01/24,45572
2013/01/25,45731
2013/01/26,45998
2013/01/27,46146
2013/01/28,46394
2013/01/29,46667
2013/01/30,46690
2013/01/31,46783
2013/02/01,47237
2013/02/02,47511
2013/02/03,47798
2013/02/04,48078
2013/02/05,48410
2013/02/06,48601
2013/02/07,48889
2013/02/08,49214
2013/02/09,49448
2013/02/10,49703
2013/02/11,49835
2013/02/12,49953
2013/02/13,50096
2013/02/14,50200
2013/02/15,50275
2013/02/16,50283
2013/02/17,50256
2013/02/18,50266
2013/02/19,50321
2013/02/20,50406
2013/02/21,50486
2013/02/22,50643
2013/02/23,50730
2013/02/24,50829
2013/02/25,51026
2013/02/26,51267
2013/02/27,51421
2013/02/28,51676
2013/03/01,51998
2013/03/02,52009
2013/03/03,51944
2013/03/04,52040
2013/03/05,52219
2013/03/06,52652
2013/03/07,53017
2013/03/08,53162
2013/03/09,53247
2013/03/10,53392
