Date,sentinusd30varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,7815599
2010/08/16,7811908
2010/08/17,7819360
2010/08/18,7773415
2010/08/19,7834466
2010/08/20,7842745
2010/08/21,7843032
2010/08/22,7825522
2010/08/23,7909211
2010/08/24,7968388
2010/08/25,7925092
2010/08/26,7998773
2010/08/27,7939151
2010/08/28,7953056
2010/08/29,8032218
2010/08/30,8044971
2010/08/31,1252997
2010/09/01,1127097
2010/09/02,1120117
2010/09/03,1119929
2010/09/04,1110045
2010/09/05,2500288
2010/09/06,2698401
2010/09/07,2652655
2010/09/08,2415310
2010/09/09,2413546
2010/09/10,2393390
2010/09/11,2427126
2010/09/12,2446992
2010/09/13,3318052
2010/09/14,3283466
2010/09/15,3126593
2010/09/16,3072288
2010/09/17,3255997
2010/09/18,3241088
2010/09/19,3268555
2010/09/20,3269205
2010/09/21,3250207
2010/09/22,3217339
2010/09/23,4175688
2010/09/24,4160900
2010/09/25,4088429
2010/09/26,4116654
2010/09/27,4050899
2010/09/28,4097305
2010/09/29,4275862
2010/09/30,4273842
2010/10/01,4247224
2010/10/02,16414820
2010/10/03,16330921
2010/10/04,45727123
2010/10/05,46934153
2010/10/06,47156510
2010/10/07,46956372
2010/10/08,47677665
2010/10/09,50935960
2010/10/10,50789784
2010/10/11,49712129
2010/10/12,48710413
2010/10/13,49352427
2010/10/14,52582972
2010/10/15,53473393
2010/10/16,56856393
2010/10/17,56511065
2010/10/18,61062508
2010/10/19,68626374
2010/10/20,69572819
2010/10/21,68886034
2010/10/22,66541024
2010/10/23,67703282
2010/10/24,64034462
2010/10/25,61216905
2010/10/26,62470440
