Date,activeaddresses30rsi
2011/03/27,54.536
2011/03/28,56.09
2011/03/29,53.787
2011/03/30,50.665
2011/03/31,52.107
2011/04/01,49.459
2011/04/02,49.534
2011/04/03,50.517
2011/04/04,53.419
2011/04/05,52.413
2011/04/06,51.026
2011/04/07,49.652
2011/04/08,50.356
2011/04/09,50.247
2011/04/10,49.911
2011/04/11,51.704
2011/04/12,52.571
2011/04/13,53.661
2011/04/14,57.485
2011/04/15,51.325
2011/04/16,54.699
2011/04/17,51.61
2011/04/18,54.7
2011/04/19,56.643
2011/04/20,53.804
2011/04/21,50.176
2011/04/22,50.692
2011/04/23,52.436
2011/04/24,51.669
2011/04/25,52.737
2011/04/26,55.364
2011/04/27,58.358
2011/04/28,54.767
2011/04/29,55.931
2011/04/30,58.865
2011/05/01,57.008
2011/05/02,53.101
2011/05/03,53.24
2011/05/04,53.961
2011/05/05,55.556
2011/05/06,54.893
2011/05/07,55.844
2011/05/08,53.441
2011/05/09,56.038
2011/05/10,54.949
2011/05/11,54.729
2011/05/12,55.064
2011/05/13,59.811
2011/05/14,58.443
2011/05/15,56.592
2011/05/16,62.962
2011/05/17,59.623
2011/05/18,63.465
2011/05/19,61.146
2011/05/20,60.183
2011/05/21,58.212
2011/05/22,58.318
2011/05/23,60.42
2011/05/24,62.137
2011/05/25,64.163
2011/05/26,63.942
2011/05/27,55.516
2011/05/28,56.844
2011/05/29,55.917
2011/05/30,58.375
2011/05/31,60.286
2011/06/01,60.143
2011/06/02,62.333
2011/06/03,65.281
2011/06/04,67.138
2011/06/05,63.713
2011/06/06,67.164
2011/06/07,63.161
2011/06/08,70.703
2011/06/09,68.904
2011/06/10,65.336
2011/06/11,64.728
2011/06/12,67.445
2011/06/13,65.506
2011/06/14,68.584
2011/06/15,65.192
2011/06/16,66.217
2011/06/17,62.199
2011/06/18,62.251
2011/06/19,63.635
2011/06/20,61.101
2011/06/21,59.785
2011/06/22,61.363
2011/06/23,58.165
2011/06/24,58.944
2011/06/25,55.658
2011/06/26,56.541
2011/06/27,62.187
2011/06/28,57.549
2011/06/29,55.548
2011/06/30,54.619
2011/07/01,59.974
2011/07/02,61.381
2011/07/03,52.014
2011/07/04,52.989
2011/07/05,52.769
2011/07/06,55.433
2011/07/07,52.094
2011/07/08,53.326
2011/07/09,51.801
2011/07/10,55.957
2011/07/11,53.657
2011/07/12,51.506
2011/07/13,54.296
2011/07/14,55.368
2011/07/15,52.029
2011/07/16,51.751
2011/07/17,52.183
2011/07/18,54.368
2011/07/19,52.08
2011/07/20,52.76
2011/07/21,52.408
2011/07/22,51.633
2011/07/23,49.661
2011/07/24,50.671
2011/07/25,53.406
2011/07/26,50.948
2011/07/27,50.686
2011/07/28,52.482
2011/07/29,49.64
2011/07/30,47.848
2011/07/31,51.097
2011/08/01,50.812
2011/08/02,49.279
2011/08/03,46.931
2011/08/04,47.369
2011/08/05,49.348
2011/08/06,48.402
2011/08/07,48.273
2011/08/08,51.798
2011/08/09,51.042
2011/08/10,48.05
2011/08/11,47.027
2011/08/12,46.193
2011/08/13,47.884
2011/08/14,49.727
2011/08/15,47.998
2011/08/16,49.409
2011/08/17,48.921
2011/08/18,49.179
2011/08/19,50.467
2011/08/20,49.533
2011/08/21,50.934
2011/08/22,52.892
2011/08/23,50.721
2011/08/24,50.24
2011/08/25,51.075
2011/08/26,49.692
2011/08/27,49.1
2011/08/28,47.065
2011/08/29,47.458
2011/08/30,46.296
2011/08/31,45.864
2011/09/01,45.824
2011/09/02,45.037
2011/09/03,43.604
2011/09/04,46.889
2011/09/05,47.614
2011/09/06,48.167
2011/09/07,46.315
2011/09/08,45.371
2011/09/09,48.359
2011/09/10,45.888
2011/09/11,45.423
2011/09/12,46.737
2011/09/13,45.105
2011/09/14,45.034
2011/09/15,45.794
2011/09/16,44.926
2011/09/17,43.558
2011/09/18,45.046
2011/09/19,47.039
2011/09/20,53.085
2011/09/21,49.138
2011/09/22,48.767
2011/09/23,51.146
2011/09/24,50.591
2011/09/25,50.393
2011/09/26,48.905
2011/09/27,49.87
2011/09/28,45.175
2011/09/29,44.342
2011/09/30,45.08
2011/10/01,44.652
2011/10/02,43.593
2011/10/03,45.891
2011/10/04,45.844
2011/10/05,45.7
2011/10/06,46.64
2011/10/07,45.914
2011/10/08,44.624
2011/10/09,44.396
2011/10/10,45.789
2011/10/11,46.264
2011/10/12,46.114
2011/10/13,43.954
2011/10/14,47.762
2011/10/15,46.196
2011/10/16,44.914
2011/10/17,47.677
2011/10/18,45.672
2011/10/19,45.979
2011/10/20,44.417
2011/10/21,45.657
2011/10/22,45.735
2011/10/23,47.231
2011/10/24,48.209
2011/10/25,47.168
2011/10/26,46.359
2011/10/27,45.16
2011/10/28,46.953
2011/10/29,47.19
2011/10/30,45.329
2011/10/31,46.254
2011/11/01,47.361
2011/11/02,47.881
2011/11/03,47.877
2011/11/04,51.814
2011/11/05,48.555
2011/11/06,46.032
2011/11/07,47.617
2011/11/08,49.158
2011/11/09,49.994
2011/11/10,50.024
2011/11/11,47.012
2011/11/12,47.069
2011/11/13,47.582
2011/11/14,49.376
2011/11/15,50.05
2011/11/16,48.546
2011/11/17,47.155
2011/11/18,47.519
2011/11/19,44.251
2011/11/20,46.423
2011/11/21,44.71
2011/11/22,46.853
2011/11/23,46.867
2011/11/24,46.074
2011/11/25,47.302
2011/11/26,45.282
2011/11/27,46.075
2011/11/28,49.145
2011/11/29,51.811
2011/11/30,53.337
2011/12/01,51.112
2011/12/02,50.037
2011/12/03,49.317
2011/12/04,47.825
2011/12/05,49.749
2011/12/06,52.974
2011/12/07,49.437
2011/12/08,51.1
2011/12/09,47.87
2011/12/10,48.119
2011/12/11,48.407
2011/12/12,47.29
2011/12/13,48.281
2011/12/14,48.266
2011/12/15,45.414
2011/12/16,46.436
2011/12/17,45.825
2011/12/18,45.324
2011/12/19,50.053
2011/12/20,51.533
2011/12/21,48.751
2011/12/22,48.989
2011/12/23,49.105
2011/12/24,46.285
2011/12/25,48.826
2011/12/26,49.422
2011/12/27,48.748
2011/12/28,47.285
2011/12/29,48.168
2011/12/30,46.942
2011/12/31,47.551
2012/01/01,48.547
2012/01/02,49.379
2012/01/03,51.499
2012/01/04,50.311
2012/01/05,55.008
2012/01/06,54.145
2012/01/07,51.527
2012/01/08,53.48
2012/01/09,53.741
2012/01/10,55.647
2012/01/11,56.964
2012/01/12,51.492
2012/01/13,52.428
2012/01/14,52.533
2012/01/15,50.805
2012/01/16,52.897
2012/01/17,51.871
2012/01/18,52.609
2012/01/19,53.175
2012/01/20,51.55
2012/01/21,50.366
2012/01/22,46.836
2012/01/23,49.937
