Date,hashrate30wma
2010/07/17,676432559
2010/07/18,748158573
2010/07/19,816612545
2010/07/20,887770343
2010/07/21,961060072
2010/07/22,1029807897
2010/07/23,1095861478
2010/07/24,1155243644
2010/07/25,1227046316
2010/07/26,1315474888
2010/07/27,1412549857
2010/07/28,1473998755
2010/07/29,1540946645
2010/07/30,1609798552
2010/07/31,1679208506
2010/08/01,1770380913
2010/08/02,1876283250
2010/08/03,1971137189
2010/08/04,2049621423
2010/08/05,2148374672
2010/08/06,2244505261
2010/08/07,2296023978
2010/08/08,2375871117
2010/08/09,2470312855
2010/08/10,2549550272
2010/08/11,2650176132
2010/08/12,2751723448
2010/08/13,2850178638
2010/08/14,2961140708
2010/08/15,3168915226
2010/08/16,3234729864
2010/08/17,3287117788
2010/08/18,3320991478
2010/08/19,3359392828
2010/08/20,3437003888
2010/08/21,3543589072
2010/08/22,3664371923
2010/08/23,3806498356
2010/08/24,3941661944
2010/08/25,4083056593
2010/08/26,4204924498
2010/08/27,4345256438
2010/08/28,4457706853
2010/08/29,4530675009
2010/08/30,4576017440
2010/08/31,4654698261
2010/09/01,4730626832
2010/09/02,4769869374
2010/09/03,4810811626
2010/09/04,4873785589
2010/09/05,4930954541
2010/09/06,4967000487
2010/09/07,4977447227
2010/09/08,5030517247
2010/09/09,5074759720
2010/09/10,5128941539
2010/09/11,5199163358
2010/09/12,5276319361
2010/09/13,5354615830
2010/09/14,5450001690
2010/09/15,5536211114
2010/09/16,5644376411
2010/09/17,5802582833
2010/09/18,5961330609
2010/09/19,6240407272
2010/09/20,6477706709
2010/09/21,6649963308
2010/09/22,6761914268
2010/09/23,6952564941
2010/09/24,7238277120
2010/09/25,7472821702
2010/09/26,7640496103
2010/09/27,7858507485
2010/09/28,8110763088
2010/09/29,8466084767
2010/09/30,8614175212
2010/10/01,8799657563
2010/10/02,8838369752
2010/10/03,8805826064
2010/10/04,8889287590
2010/10/05,8952883184
2010/10/06,9054592492
2010/10/07,9235874572
2010/10/08,9371355973
2010/10/09,9475855689
2010/10/10,9616976764
2010/10/11,9755469203
2010/10/12,9869432263
2010/10/13,10005684770
2010/10/14,10223665008
2010/10/15,10454147837
2010/10/16,10769502539
2010/10/17,11352339684
2010/10/18,11826047651
2010/10/19,12178457800
2010/10/20,12588693455
