Date,confirmationtime14wma
2010/07/17,5.169
2010/07/18,5.459
2010/07/19,5.739
2010/07/20,5.973
2010/07/21,6.08
2010/07/22,6.372
2010/07/23,6.576
2010/07/24,6.804
2010/07/25,6.844
2010/07/26,6.86
2010/07/27,7.207
2010/07/28,7.543
2010/07/29,7.674
2010/07/30,7.74
2010/07/31,7.649
2010/08/01,7.427
2010/08/02,7.217
2010/08/03,7.082
2010/08/04,6.906
2010/08/05,6.831
2010/08/06,7.196
2010/08/07,7.472
2010/08/08,7.457
2010/08/09,7.479
2010/08/10,7.479
2010/08/11,7.309
2010/08/12,7.228
2010/08/13,7.167
2010/08/14,6.909
2010/08/15,6.913
2010/08/16,7.287
2010/08/17,7.807
2010/08/18,8.236
2010/08/19,8.597
2010/08/20,8.492
2010/08/21,8.524
2010/08/22,8.361
2010/08/23,8.199
2010/08/24,8.035
2010/08/25,7.876
2010/08/26,7.737
2010/08/27,7.805
2010/08/28,7.862
2010/08/29,7.944
2010/08/30,8.111
2010/08/31,8.034
2010/09/01,8.168
2010/09/02,8.326
2010/09/03,8.437
2010/09/04,8.426
2010/09/05,8.521
2010/09/06,8.649
2010/09/07,8.74
2010/09/08,8.773
2010/09/09,9.044
2010/09/10,8.942
2010/09/11,8.957
2010/09/12,8.853
2010/09/13,8.793
2010/09/14,8.569
2010/09/15,8.541
2010/09/16,8.261
2010/09/17,8.052
2010/09/18,7.748
2010/09/19,7.57
2010/09/20,7.437
2010/09/21,7.494
2010/09/22,7.544
2010/09/23,7.315
2010/09/24,7.151
2010/09/25,7.089
2010/09/26,7.056
2010/09/27,6.936
2010/09/28,6.903
2010/09/29,7.137
2010/09/30,7.514
2010/10/01,7.791
2010/10/02,8.719
2010/10/03,9.221
2010/10/04,9.357
2010/10/05,9.74
2010/10/06,9.693
2010/10/07,9.721
2010/10/08,9.77
2010/10/09,9.757
2010/10/10,9.588
2010/10/11,9.538
2010/10/12,9.492
2010/10/13,9.275
2010/10/14,8.909
2010/10/15,8.718
2010/10/16,8.198
2010/10/17,7.73
2010/10/18,7.382
2010/10/19,7.049
