Date,sentinusd14trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,0
2010/08/17,0
2010/08/18,0
2010/08/19,0
2010/08/20,0
2010/08/21,0
2010/08/22,0
2010/08/23,0
2010/08/24,0
2010/08/25,0
2010/08/26,-2.178
2010/08/27,-2.286
2010/08/28,-2.406
2010/08/29,-2.577
2010/08/30,-2.744
2010/08/31,-2.747
2010/09/01,-2.696
2010/09/02,-2.567
2010/09/03,-2.416
2010/09/04,-2.248
2010/09/05,-1.339
2010/09/06,-0.371
2010/09/07,0.178
2010/09/08,0.41
2010/09/09,0.535
2010/09/10,0.447
2010/09/11,0.201
2010/09/12,-0.078
2010/09/13,0.306
2010/09/14,0.509
2010/09/15,0.643
2010/09/16,0.692
2010/09/17,0.936
2010/09/18,1.084
2010/09/19,1.218
2010/09/20,1.27
2010/09/21,1.178
2010/09/22,1.104
2010/09/23,1.555
2010/09/24,1.635
2010/09/25,1.542
2010/09/26,1.298
2010/09/27,1.037
2010/09/28,1.056
2010/09/29,1.314
2010/09/30,1.406
2010/10/01,1.478
2010/10/02,3.202
2010/10/03,4.215
2010/10/04,7.122
2010/10/05,8.877
2010/10/06,9.387
2010/10/07,9.2
2010/10/08,8.846
2010/10/09,8.642
2010/10/10,8.202
2010/10/11,7.36
2010/10/12,6.471
2010/10/13,5.766
2010/10/14,5.463
2010/10/15,5.245
2010/10/16,5.233
2010/10/17,5.012
2010/10/18,5.026
2010/10/19,5.253
2010/10/20,5.363
2010/10/21,5.346
2010/10/22,5.096
2010/10/23,4.502
2010/10/24,3.916
2010/10/25,3.475
2010/10/26,3.328
2010/10/27,3.523
