Date,top100cap30rsi
2011/05/02,48.403
2011/05/03,49.363
2011/05/04,51.066
2011/05/05,50.585
2011/05/06,47.908
2011/05/07,48.055
2011/05/08,46.632
2011/05/09,46.293
2011/05/10,46.127
2011/05/11,49.786
2011/05/12,51.341
2011/05/13,54.581
2011/05/14,54.693
2011/05/15,58.148
2011/05/16,58.818
2011/05/17,58.155
2011/05/18,59.336
2011/05/19,57.854
2011/05/20,56.238
2011/05/21,62.864
2011/05/22,62.141
2011/05/23,58.385
2011/05/24,57.427
2011/05/25,56.67
2011/05/26,55.98
2011/05/27,57.103
2011/05/28,56.789
2011/05/29,57.192
2011/05/30,57.369
2011/05/31,56.932
2011/06/01,57.051
2011/06/02,57.946
2011/06/03,58.853
2011/06/04,57.736
2011/06/05,58.367
2011/06/06,54.542
2011/06/07,52.537
2011/06/08,44.849
2011/06/09,43.995
2011/06/10,41.858
2011/06/11,43.517
2011/06/12,60.202
2011/06/13,61.125
2011/06/14,54.857
2011/06/15,53.759
2011/06/16,51.91
2011/06/17,50.281
2011/06/18,49.551
2011/06/19,54.515
2011/06/20,54.016
2011/06/21,53.433
2011/06/22,52.94
2011/06/23,57.017
2011/06/24,56.02
2011/06/25,53.795
2011/06/26,52.656
2011/06/27,54.51
2011/06/28,52.356
2011/06/29,50.334
2011/06/30,48.683
2011/07/01,49.178
2011/07/02,48.725
2011/07/03,48.229
2011/07/04,47.821
2011/07/05,48.237
2011/07/06,48.109
2011/07/07,47.865
2011/07/08,47.45
2011/07/09,46.985
2011/07/10,46.259
2011/07/11,46.035
2011/07/12,45.555
2011/07/13,45.02
2011/07/14,44.701
2011/07/15,44.351
2011/07/16,44
2011/07/17,43.677
2011/07/18,46.497
2011/07/19,45.674
2011/07/20,45.126
2011/07/21,44.561
2011/07/22,43.741
2011/07/23,43.456
2011/07/24,43.177
2011/07/25,42.514
2011/07/26,41.95
2011/07/27,40.929
2011/07/28,39.447
2011/07/29,39.272
2011/07/30,38.761
2011/07/31,37.423
2011/08/01,35.926
2011/08/02,35.791
2011/08/03,35.386
2011/08/04,38.333
2011/08/05,37.412
2011/08/06,43.313
2011/08/07,44.803
2011/08/08,48.824
2011/08/09,47.754
2011/08/10,47.184
2011/08/11,46.826
2011/08/12,46.503
2011/08/13,45.586
2011/08/14,44.341
2011/08/15,44.391
2011/08/16,43.664
2011/08/17,49.289
2011/08/18,48.904
2011/08/19,48.549
2011/08/20,48.138
2011/08/21,47.679
2011/08/22,47.602
2011/08/23,47.137
2011/08/24,48.322
2011/08/25,39.718
2011/08/26,39.703
2011/08/27,46.241
2011/08/28,45.954
2011/08/29,45.169
2011/08/30,44.802
2011/08/31,44.582
2011/09/01,45.115
2011/09/02,44.693
2011/09/03,43.868
2011/09/04,44.03
2011/09/05,43.591
2011/09/06,43.161
2011/09/07,50.364
2011/09/08,50.008
2011/09/09,51.285
2011/09/10,51.276
2011/09/11,63.13
2011/09/12,64.757
2011/09/13,64.228
2011/09/14,63.391
