Date,transactions14wma
2010/07/17,1022
2010/07/18,958.057
2010/07/19,906.419
2010/07/20,859.971
2010/07/21,789.029
2010/07/22,711.571
2010/07/23,632.162
2010/07/24,616.41
2010/07/25,712.61
2010/07/26,612.905
2010/07/27,531.495
2010/07/28,659.371
2010/07/29,809.076
2010/07/30,743.571
2010/07/31,676.343
2010/08/01,614.876
2010/08/02,558.714
2010/08/03,539.771
2010/08/04,490.752
2010/08/05,455.771
2010/08/06,408.733
2010/08/07,349.21
2010/08/08,305.143
2010/08/09,280.01
2010/08/10,243.448
2010/08/11,211.943
2010/08/12,195.267
2010/08/13,209.79
2010/08/14,203.076
2010/08/15,189.781
2010/08/16,203.048
2010/08/17,199.286
2010/08/18,205.067
2010/08/19,203.19
2010/08/20,207.667
2010/08/21,203.838
2010/08/22,197.524
2010/08/23,191.838
2010/08/24,187.962
2010/08/25,181.943
2010/08/26,177.41
2010/08/27,168.371
2010/08/28,167.162
2010/08/29,156.333
2010/08/30,156.533
2010/08/31,168.2
2010/09/01,174.686
2010/09/02,173.638
2010/09/03,171.495
2010/09/04,161.8
2010/09/05,159.895
2010/09/06,154.6
2010/09/07,149.914
2010/09/08,152.562
2010/09/09,156.971
2010/09/10,160.286
2010/09/11,157.962
2010/09/12,163.467
2010/09/13,176.381
2010/09/14,182.619
2010/09/15,194.533
2010/09/16,200.486
2010/09/17,197.124
2010/09/18,194.981
2010/09/19,190.048
2010/09/20,200.581
2010/09/21,259.895
2010/09/22,295.762
2010/09/23,318.133
2010/09/24,318.562
2010/09/25,325.067
2010/09/26,312.524
2010/09/27,323.914
2010/09/28,321.6
2010/09/29,389.667
2010/09/30,373.562
2010/10/01,385.59
2010/10/02,391.114
2010/10/03,374.895
2010/10/04,357.505
2010/10/05,338.99
2010/10/06,323.019
2010/10/07,302.086
2010/10/08,287.314
2010/10/09,277.686
2010/10/10,261.105
2010/10/11,244.352
2010/10/12,231.286
2010/10/13,217.8
2010/10/14,206.781
2010/10/15,194.838
2010/10/16,189.819
2010/10/17,187.41
2010/10/18,204.714
2010/10/19,266.362
2010/10/20,294.781
2010/10/21,310.105
2010/10/22,334.59
2010/10/23,342.667
2010/10/24,350.467
2010/10/25,338.057
2010/10/26,334.752
2010/10/27,341.086
2010/10/28,334.095
2010/10/29,323.038
2010/10/30,301.762
2010/10/31,274.438
2010/11/01,253.81
2010/11/02,226.133
2010/11/03,210.038
2010/11/04,194.59
2010/11/05,192.219
2010/11/06,185.724
2010/11/07,185.343
2010/11/08,190.267
2010/11/09,188.476
2010/11/10,187.762
2010/11/11,186.181
2010/11/12,177.6
2010/11/13,170.629
2010/11/14,169.505
2010/11/15,769.543
2010/11/16,1892
2010/11/17,1767
2010/11/18,1783
2010/11/19,2887
2010/11/20,3920
2010/11/21,4903
2010/11/22,4496
2010/11/23,4093
2010/11/24,4164
2010/11/25,4341
2010/11/26,3982
2010/11/27,3500
2010/11/28,3018
2010/11/29,2531
2010/11/30,2086
2010/12/01,1734
2010/12/02,1374
2010/12/03,1012
2010/12/04,737.886
2010/12/05,554.457
2010/12/06,467.362
2010/12/07,394.514
2010/12/08,313.867
