Date,sentinusd7stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,1815
2010/07/24,1578
2010/07/25,1575
2010/07/26,1910
2010/07/27,1970
2010/07/28,2205
2010/07/29,2452
2010/07/30,2400
2010/07/31,2637
2010/08/01,10245
2010/08/02,10247
2010/08/03,10177
2010/08/04,10311
2010/08/05,10156
2010/08/06,10186
2010/08/07,10104
2010/08/08,1974
2010/08/09,2661
2010/08/10,2656
2010/08/11,2804
2010/08/12,2942
2010/08/13,2821
2010/08/14,2913
2010/08/15,2767
2010/08/16,2389
2010/08/17,2521
2010/08/18,2374
2010/08/19,2299
2010/08/20,2313
2010/08/21,2097
2010/08/22,2020
2010/08/23,1527
2010/08/24,1114
2010/08/25,979.735
2010/08/26,1072
2010/08/27,1048
2010/08/28,573.242
2010/08/29,742.956
2010/08/30,761.186
2010/08/31,1239
2010/09/01,1276
2010/09/02,1321
2010/09/03,1317
2010/09/04,1271
2010/09/05,4757
2010/09/06,4635
2010/09/07,4871
2010/09/08,5006
2010/09/09,5014
2010/09/10,5185
2010/09/11,5389
2010/09/12,2615
2010/09/13,4361
2010/09/14,4302
2010/09/15,4216
2010/09/16,4215
2010/09/17,4258
2010/09/18,3876
2010/09/19,3523
2010/09/20,1611
2010/09/21,1656
2010/09/22,1639
2010/09/23,3812
2010/09/24,4060
2010/09/25,4149
2010/09/26,4298
2010/09/27,4326
2010/09/28,4522
2010/09/29,4855
2010/09/30,3391
2010/10/01,3130
2010/10/02,13624
2010/10/03,13160
2010/10/04,22554
2010/10/05,21997
2010/10/06,21742
2010/10/07,20605
2010/10/08,19173
2010/10/09,18165
2010/10/10,16866
2010/10/11,6825
2010/10/12,6961
2010/10/13,6796
2010/10/14,8598
2010/10/15,8919
2010/10/16,10141
2010/10/17,10152
2010/10/18,10060
2010/10/19,10457
2010/10/20,9050
2010/10/21,9037
2010/10/22,9436
2010/10/23,13613
2010/10/24,13474
2010/10/25,12692
2010/10/26,12474
2010/10/27,17921
2010/10/28,21041
2010/10/29,20703
2010/10/30,18173
2010/10/31,17922
