Date,mining_profitability14rsi
2011/05/05,80.617
2011/05/06,79.189
2011/05/07,78.799
2011/05/08,83.257
2011/05/09,73.793
2011/05/10,54.216
2011/05/11,67.741
2011/05/12,65.946
2011/05/13,76.858
2011/05/14,76.888
2011/05/15,63.398
2011/05/16,69.484
2011/05/17,66.721
2011/05/18,62.045
2011/05/19,41.948
2011/05/20,45.631
2011/05/21,44.55
2011/05/22,45.851
2011/05/23,49.619
2011/05/24,49.243
2011/05/25,51.24
2011/05/26,47.791
2011/05/27,37.497
2011/05/28,40.994
2011/05/29,43.578
2011/05/30,41.926
2011/05/31,42.89
2011/06/01,46.75
2011/06/02,46.081
2011/06/03,51.851
2011/06/04,60.342
2011/06/05,60.092
2011/06/06,55.606
2011/06/07,54.413
2011/06/08,63.906
2011/06/09,67.493
2011/06/10,59.524
2011/06/11,52.481
2011/06/12,46.329
2011/06/13,49.747
2011/06/14,51.629
2011/06/15,46.74
2011/06/16,40.233
2011/06/17,41.78
2011/06/18,42.333
2011/06/19,43.151
2011/06/20,42.672
2011/06/21,43.388
2011/06/22,42.438
2011/06/23,42.363
2011/06/24,38.492
2011/06/25,36.489
2011/06/26,37.948
2011/06/27,39.02
2011/06/28,38.592
2011/06/29,38.517
2011/06/30,38.995
2011/07/01,36.961
2011/07/02,37.347
2011/07/03,37.746
2011/07/04,37.776
2011/07/05,34.979
2011/07/06,38.1
2011/07/07,36.182
2011/07/08,40.753
2011/07/09,37.777
2011/07/10,38.489
2011/07/11,40.282
2011/07/12,38.915
2011/07/13,42.045
2011/07/14,38.499
2011/07/15,41.599
2011/07/16,40.157
2011/07/17,42.446
2011/07/18,41.698
2011/07/19,39.057
2011/07/20,42.626
2011/07/21,41.308
2011/07/22,41.69
2011/07/23,41.165
2011/07/24,43.001
2011/07/25,42.553
2011/07/26,44.104
2011/07/27,41.57
2011/07/28,40.622
2011/07/29,43.631
2011/07/30,42.739
2011/07/31,44.287
2011/08/01,39.703
2011/08/02,39.005
2011/08/03,36.37
2011/08/04,33.771
2011/08/05,38.528
2011/08/06,33.804
2011/08/07,33.398
2011/08/08,36.058
2011/08/09,39.302
2011/08/10,39.572
2011/08/11,39.998
2011/08/12,39.368
2011/08/13,39.278
2011/08/14,45.421
2011/08/15,42.968
2011/08/16,50.66
2011/08/17,46.237
2011/08/18,46.17
2011/08/19,46.418
2011/08/20,52.014
2011/08/21,51.095
2011/08/22,46.683
2011/08/23,44.814
2011/08/24,45.121
2011/08/25,45.955
2011/08/26,41.259
2011/08/27,38.25
2011/08/28,41.718
2011/08/29,46.418
2011/08/30,43.687
2011/08/31,42.671
2011/09/01,39.97
2011/09/02,45.475
2011/09/03,43.448
2011/09/04,43.101
2011/09/05,43.813
2011/09/06,39.622
2011/09/07,36.563
2011/09/08,39.392
2011/09/09,37.8
2011/09/10,31.814
2011/09/11,34.257
2011/09/12,42.238
2011/09/13,41.034
2011/09/14,40.094
2011/09/15,39.641
2011/09/16,34.892
2011/09/17,40.361
2011/09/18,39.642
2011/09/19,38.787
2011/09/20,47
2011/09/21,45.064
2011/09/22,43.74
2011/09/23,41.929
2011/09/24,44.955
2011/09/25,43.365
2011/09/26,43.029
2011/09/27,40.545
2011/09/28,44.832
2011/09/29,40.692
2011/09/30,42.946
2011/10/01,50.568
2011/10/02,43.102
2011/10/03,48.967
2011/10/04,43.052
2011/10/05,50.505
2011/10/06,44.757
2011/10/07,47.399
2011/10/08,42.698
2011/10/09,45.648
2011/10/10,44.701
2011/10/11,41.766
2011/10/12,46.678
2011/10/13,46.068
2011/10/14,51.025
2011/10/15,46.743
2011/10/16,45.732
2011/10/17,43.547
2011/10/18,40.447
2011/10/19,40.397
2011/10/20,39.193
2011/10/21,40.001
2011/10/22,42.793
2011/10/23,47.971
2011/10/24,47.279
2011/10/25,43.342
2011/10/26,43.582
2011/10/27,43.132
2011/10/28,48.832
2011/10/29,49.501
2011/10/30,53.182
2011/10/31,55.683
2011/11/01,57.452
2011/11/02,54.901
2011/11/03,49.487
2011/11/04,55.956
2011/11/05,49.861
2011/11/06,49.857
2011/11/07,50.823
2011/11/08,53.708
2011/11/09,51.232
2011/11/10,46.438
2011/11/11,47.961
2011/11/12,54.651
2011/11/13,50.478
2011/11/14,46.489
2011/11/15,44.018
2011/11/16,42.962
2011/11/17,44.795
2011/11/18,41.91
2011/11/19,38.909
2011/11/20,49.269
2011/11/21,42.027
2011/11/22,48.106
2011/11/23,46.566
2011/11/24,46.026
2011/11/25,51.518
2011/11/26,47.802
2011/11/27,47.663
2011/11/28,51.203
2011/11/29,52.999
2011/11/30,60.471
2011/12/01,58.943
2011/12/02,51.546
2011/12/03,57.716
2011/12/04,51.203
2011/12/05,54.472
2011/12/06,56.146
2011/12/07,50.894
2011/12/08,57.349
2011/12/09,52.308
2011/12/10,50.62
2011/12/11,57.602
2011/12/12,51.124
2011/12/13,53.751
2011/12/14,54.1
2011/12/15,47.603
2011/12/16,51.65
2011/12/17,55.701
2011/12/18,50.345
2011/12/19,54.978
2011/12/20,53.395
2011/12/21,57.423
2011/12/22,58.255
2011/12/23,54.29
2011/12/24,57.625
2011/12/25,61.025
2011/12/26,55.381
2011/12/27,50.646
2011/12/28,56.854
2011/12/29,52.337
2011/12/30,58.749
2011/12/31,55.737
2012/01/01,60.385
2012/01/02,61.387
2012/01/03,58.821
2012/01/04,57.807
2012/01/05,67.488
2012/01/06,69.397
2012/01/07,69.572
2012/01/08,65.359
2012/01/09,61.762
2012/01/10,54.565
2012/01/11,60.565
2012/01/12,56.811
2012/01/13,58.848
2012/01/14,57.462
2012/01/15,54.989
2012/01/16,63.681
2012/01/17,49.828
2012/01/18,45.669
2012/01/19,55.003
2012/01/20,53.992
2012/01/21,51.857
2012/01/22,47.605
2012/01/23,52.887
2012/01/24,49.493
2012/01/25,48.343
2012/01/26,47.632
2012/01/27,45.468
2012/01/28,45.789
2012/01/29,50.02
2012/01/30,46.959
2012/01/31,44.077
2012/02/01,48.535
2012/02/02,53.668
2012/02/03,48.128
2012/02/04,49.74
2012/02/05,46.095
2012/02/06,46.108
